lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum nll_mean nll_median nll_std

0.25 1.0 2.2529259 2.0706928 1.5133157 0.9019607843137255 46 1.1126415 0.99010015 0.35696998
0.25 0.8 3.001731 1.6923747 4.1268272 0.9215686274509803 47 1.046314 0.97625685 0.28538755
0.25 0.9 2.2280293 1.721273 1.804937 0.9411764705882353 48 1.0611211 0.9090271 0.33120766
0.25 0.85 3.1927726 1.9363358 4.4113026 0.9607843137254902 49 0.9824729 0.89365387 0.19471078
0.3 0.85 2.3274255 1.3853095 2.6998038 0.9411764705882353 48 1.0764003 1.0153158 0.24991576
0.25 0.75 2.2766695 1.9456568 2.1011536 0.9215686274509803 47 1.0550101 0.9427156 0.2630542
0.3 1.0 2.6329782 1.6610093 2.8911552 0.9215686274509803 47 1.0607109 0.9405135 0.283414
0.1 0.25 39.41694 10.565492 49.62904 0.8431372549019608 43 1.1197417 1.0180434 0.25966245
0.35 0.1 2.1879861 1.4707098 2.337315 0.9019607843137255 46 1.0228084 0.9967073 0.18456508
0.05 0.65 26.963694 26.9576 19.76069 0.8235294117647058 42 1.2791989 1.0906008 0.35937122
0.05 0.5 29.576443 27.501217 20.307465 0.8431372549019608 43 1.26329 1.2254994 0.3336436
0.15 0.45 5.1038117 4.300811 3.6008258 0.8627450980392157 44 1.1306623 1.0630848 0.19420852
0.35 0.15 2.262728 1.6209013 2.42473 0.9411764705882353 48 1.0589464 0.96482205 0.19580795
0.1 0.1 44.64692 9.757543 63.907017 0.8431372549019608 43 1.0414286 1.0227646 0.15181597
0.1 0.4 42.054886 10.83036 59.093155 0.8235294117647058 42 1.1210687 1.029171 0.2206857
0.05 0.45 32.06424 33.791924 22.968304 0.8431372549019608 43 1.2713805 1.1385655 0.37126556
0.3 0.1 2.4053073 1.5072049 2.8659868 0.9215686274509803 47 1.0498402 0.9491528 0.302949
0.15 0.25 4.70568 2.593513 4.029514 0.8431372549019608 43 1.4778982 1.095599 1.149984
0.05 0.8 30.377224 24.671707 23.425734 0.803921568627451 41 1.2299387 1.1303251 0.31719157
0.3 0.15 2.3468347 1.4227737 2.9631355 0.9411764705882353 48 1.077978 0.937449 0.3057899
0.05 0.05 32.59852 23.57513 24.888803 0.803921568627451 41 1.2887815 1.2022128 0.29679412
0.35 0.25 2.0515237 1.304436 2.252514 0.9215686274509803 47 1.0217769 0.9764548 0.19225949
0.3 0.7 2.6952746 1.6867255 2.9047854 0.9607843137254902 49 1.0945492 1.1775783 0.22698937
0.2 0.35 1.9794734 1.6843004 1.2864684 0.9607843137254902 49 0.92970276 0.87503844 0.13069925
0.05 0.6 27.224188 27.767036 18.981438 0.803921568627451 41 1.3950949 1.3222783 0.3541074
0.35 0.05 2.5147169 1.644634 2.6900558 0.9607843137254902 49 1.0385178 0.95507824 0.20414616
0.1 0.45 55.353443 16.239796 80.53343 0.8431372549019608 43 1.0531456 1.0180339 0.14648525
0.05 0.2 31.42894 25.322535 23.752825 0.7647058823529411 39 1.9297472 1.3160777 1.9158094
0.35 0.3 2.4333568 1.5150548 2.8116777 0.9215686274509803 47 1.0642804 0.98562515 0.20608611
0.05 0.25 31.917301 26.504131 25.47371 0.803921568627451 41 1.3235713 1.3219392 0.3159678
0.05 1.0 29.050327 25.993137 22.375961 0.8431372549019608 43 1.2210459 1.1390194 0.33631554
0.15 0.5 3.7550354 3.6757126 2.2179594 0.8823529411764706 45 1.1450887 1.064409 0.26513037
0.15 0.6 5.2723503 2.790662 5.3826556 0.8431372549019608 43 1.2140868 1.1159756 0.301283
0.15 0.9 4.5230803 3.4614282 3.5522096 0.8823529411764706 45 1.1566281 1.0889992 0.19179462
0.05 0.75 26.000854 17.512674 21.954388 0.8235294117647058 42 1.2514358 1.1761076 0.29387552
0.15 0.65 4.4249897 4.1434445 2.6572278 0.8431372549019608 43 1.1272175 1.131769 0.17027526
0.15 0.8 3.593567 2.555471 2.6786606 0.8627450980392157 44 1.3851738 1.0917084 0.7388289
0.3 0.05 2.593582 1.5838549 2.8296468 0.9411764705882353 48 1.0530137 0.9403897 0.28212008
0.15 0.85 4.0171227 2.996458 3.2105024 0.8627450980392157 44 1.1776581 1.0663743 0.28980318
0.05 0.85 34.495945 22.981112 31.637695 0.8235294117647058 42 1.3047647 1.2176175 0.31922138
0.05 0.9 29.42651 30.530201 19.943699 0.7843137254901961 40 1.610034 1.3227458 0.86123794
0.05 0.7 30.193731 23.181957 24.798088 0.7647058823529411 39 1.4777448 1.3376855 0.54083914
0.25 0.7 2.0300202 2.0246103 0.87737596 0.9215686274509803 47 1.1265002 0.9325079 0.33387932
0.25 0.95 2.2875025 2.069015 1.9706799 0.9411764705882353 48 1.089122 1.0848718 0.25541553
0.3 0.75 2.5491478 1.4557009 2.9592223 0.9607843137254902 49 1.152112 1.1058563 0.30193302
0.1 0.35 54.352776 13.646534 81.604126 0.8431372549019608 43 1.0849483 1.022356 0.22496955
0.05 0.95 32.993446 26.10236 26.297174 0.8431372549019608 43 1.2490855 1.092046 0.29276028
0.1 0.3 41.290657 15.6021595 55.176346 0.8431372549019608 43 1.0864923 1.0254788 0.21668348
0.15 0.7 4.174222 2.476568 3.371632 0.8823529411764706 45 1.3850096 1.0726258 0.92367566
0.15 0.95 4.775744 3.6506188 3.3291757 0.8235294117647058 42 1.1514804 1.0629364 0.22065699
0.05 0.1 30.188946 22.11984 21.454853 0.7843137254901961 40 1.5924441 1.2907603 0.93158245
0.05 0.35 33.269844 33.137623 23.738543 0.8235294117647058 42 1.2475995 1.0788857 0.37787154
0.1 0.65 42.40061 13.156065 57.75249 0.8431372549019608 43 1.1100333 1.0321271 0.23437932
0.15 0.4 3.407268 2.430488 2.393948 0.9019607843137255 46 1.1767498 1.1397369 0.30125338
0.1 0.05 41.07125 11.695325 54.791267 0.8431372549019608 43 1.062191 1.0258516 0.14330241
0.35 0.2 2.156962 1.4348626 2.3994303 0.9215686274509803 47 1.0619361 0.98483515 0.21179827
0.05 0.3 28.5327 26.74582 20.26398 0.8235294117647058 42 1.2992605 1.1476834 0.36750662
0.65 0.05 1.0541582 0.9063294 0.55369264 0.9215686274509803 47 1.0630848 0.9252468 0.43258816
0.35 1.0 2.4431827 1.76109 2.526936 0.9215686274509803 47 1.0973194 1.1129751 0.22320227
0.3 0.95 3.272892 1.9318113 3.6606176 0.9411764705882353 48 0.97159606 0.8809942 0.17323971
0.4 0.05 1.9276311 1.6508659 1.7272927 0.9607843137254902 49 0.98259914 0.89919233 0.18688172
0.1 0.15 30.726013 12.482489 36.420784 0.8235294117647058 42 1.1245898 1.0331128 0.22073014
0.15 0.35 4.743373 3.4301395 4.176192 0.8627450980392157 44 1.1348407 1.087565 0.21712554
0.05 0.4 29.357214 22.569332 22.22874 0.8431372549019608 43 1.2998562 1.2701048 0.29315436
0.6 0.95 1.0889927 0.92525923 0.57311857 0.9411764705882353 48 1.053025 0.9161127 0.4554376
0.1 0.55 46.7405 11.497788 59.865524 0.8431372549019608 43 1.0938723 1.0182787 0.24627577
0.3 0.8 2.3518171 1.4168179 2.8581896 0.9411764705882353 48 1.0889566 0.95830864 0.29789335
0.65 0.1 1.0757778 0.9513652 0.55130917 0.9607843137254902 49 0.97299516 0.90938616 0.1885925
