lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum nll_mean nll_median nll_std

0.05 0.25 3.8463085 3.8736181 0.8510601 0.8823529411764706 45 1.2931894 1.0687618 0.51071626
0.05 0.05 3.632113 3.6355782 0.5595505 0.9411764705882353 48 1.1091502 0.979457 0.29268137
0.05 0.2 3.8709779 3.9466991 0.7282427 0.8823529411764706 45 1.4123013 1.331414 0.5436408
0.05 0.15 3.519999 3.5429814 0.8057356 0.9215686274509803 47 1.2615421 1.1229285 0.3964029
0.05 0.1 3.642934 3.8086605 0.6554277 0.9019607843137255 46 1.226591 1.2054005 0.33903173
0.05 0.3 3.4345207 3.5730836 0.700889 0.9215686274509803 47 1.1571108 1.0450182 0.2956989
0.05 0.5 3.9903686 3.8941655 0.65490013 0.9215686274509803 47 1.2700421 1.1345606 0.46265692
0.05 0.4 3.522012 3.408334 0.8339694 0.9411764705882353 48 1.2063365 1.0715184 0.32049838
0.05 0.45 4.077399 4.2353916 0.6457719 0.9411764705882353 48 1.1100844 1.1531835 0.2223428
0.05 0.35 3.6088872 4.280485 1.2666562 0.9411764705882353 48 1.1705385 1.0278438 0.3707185
0.05 0.55 3.7776458 3.8209815 0.7985352 0.8823529411764706 45 1.4566457 1.2904618 0.6266544
0.05 0.7 4.426228 4.5731683 0.90983367 0.9411764705882353 48 1.0039606 0.94390035 0.1848216
0.05 0.65 3.886621 4.1096163 1.1781002 0.9019607843137255 46 1.1262815 1.1003436 0.2556048
0.05 0.6 3.9844513 4.1690016 1.294987 0.9215686274509803 47 1.1719009 1.0718126 0.33425215
0.05 0.8 3.761802 3.8077836 0.6289747 0.9607843137254902 49 1.1309491 0.96859586 0.33846134
0.05 1.0 3.5715725 3.7063186 0.66558254 0.8627450980392157 44 1.7725961 1.2768883 1.4580715
0.1 0.1 3.01953 3.034402 0.9487172 0.9019607843137255 46 1.1776881 1.1090689 0.33104333
0.05 0.75 3.9481652 3.838517 1.1084304 0.9215686274509803 47 1.1564631 1.0149362 0.37244454
0.1 0.05 2.6368177 2.2523465 1.3837521 0.9411764705882353 48 1.1154492 1.0344219 0.2845311
0.05 0.85 3.842675 3.6331358 1.1487383 0.9411764705882353 48 1.0607466 0.99599797 0.24084245
0.15 0.9 2.1288214 1.9358634 0.92029697 0.9607843137254902 49 1.039254 0.9872503 0.20906484
0.1 1.0 2.9373734 3.0834732 1.1368854 0.9215686274509803 47 1.0749853 0.9390421 0.2916095
0.15 0.85 2.4943435 2.0314207 1.1886251 0.8823529411764706 45 1.04573 1.0168304 0.21476524
0.15 0.15 2.1886063 1.8969399 1.259249 0.9019607843137255 46 1.2535174 1.2525172 0.26350817
0.2 0.1 1.7581106 1.5017915 0.8191416 0.9019607843137255 46 1.0573691 1.0683161 0.21773602
0.15 0.1 2.525095 2.37905 1.2995907 0.9607843137254902 49 1.049022 0.87049854 0.300616
0.15 0.8 2.4037852 2.4782372 0.85662717 0.9215686274509803 47 1.0192404 1.0025141 0.17730299
0.1 0.85 3.2685452 3.6915352 1.0740193 0.9607843137254902 49 1.0057163 0.9692701 0.16899231
0.1 0.75 2.9433599 2.5952206 1.223515 0.9019607843137255 46 1.0803331 1.0285823 0.17509991
0.1 0.9 3.0754282 3.3058197 0.8005376 0.9215686274509803 47 1.004994 1.0099276 0.1279906
