lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum

0.2 0.05 0.98964727 0.7976788 0.46021044 0.9019607843137255 46
0.15 1.0 1.0043348 0.8183627 0.4714205 0.9411764705882353 48
0.2 0.1 0.9973305 0.84028864 0.4559234 0.9411764705882353 48
0.15 0.75 0.9795984 0.7921047 0.50072414 0.9411764705882353 48
0.15 0.9 0.97627556 0.7924262 0.49145815 0.9411764705882353 48
0.15 0.8 0.97978723 0.7430911 0.53240603 0.9215686274509803 47
0.15 0.95 0.9765934 0.8156996 0.4612296 0.9411764705882353 48
0.15 0.85 0.96471786 0.7875571 0.47237486 0.9411764705882353 48
0.65 0.85 0.96802175 0.82539356 0.4747381 0.9215686274509803 47
0.35 0.75 0.96731365 0.8160336 0.41494823 0.9215686274509803 47
0.4 0.25 0.9476166 0.8196122 0.47239572 0.9607843137254902 49
0.4 0.75 0.914188 0.79755116 0.43242314 0.9607843137254902 49
0.65 0.9 0.96555823 0.8257837 0.47631028 0.9215686274509803 47
0.35 0.8 0.9235018 0.7887007 0.42323554 0.9607843137254902 49
0.4 0.05 0.9165493 0.82024586 0.43130693 0.9607843137254902 49
0.4 0.55 0.9160913 0.81021845 0.43242705 0.9607843137254902 49
0.35 0.65 0.92423266 0.7918457 0.42229703 0.9607843137254902 49
0.4 0.3 0.95797616 0.8179966 0.46494135 0.9607843137254902 49
0.45 0.45 0.8878523 0.74079967 0.44305128 0.9607843137254902 49
0.4 0.65 0.9251111 0.8026931 0.42399085 0.9607843137254902 49
0.35 0.95 0.91915226 0.78062564 0.4252001 0.9607843137254902 49
0.4 0.35 0.92714185 0.81715465 0.42214292 0.9607843137254902 49
0.4 0.6 0.9264326 0.80658925 0.4240458 0.9607843137254902 49
0.4 0.45 0.9568647 0.8108245 0.46573478 0.9607843137254902 49
0.4 0.1 0.9272801 0.8193277 0.42333835 0.9607843137254902 49
0.4 0.7 0.95433205 0.80174315 0.46760434 0.9607843137254902 49
