lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum nll_mean nll_median nll_std
0.05 0.05 1.211598 0.882207 0.603081 0.901961 46 1.309618 1.010461 0.601600
0.05 0.10 1.261335 1.037850 0.616183 0.921569 47 1.321971 0.997579 0.601086
0.05 0.15 1.252464 0.944832 0.655724 0.901961 46 1.321372 0.998233 0.608508
0.05 0.20 1.235599 0.953537 0.635962 0.901961 46 1.294068 0.968360 0.599692
0.05 0.25 1.214936 0.952740 0.586607 0.901961 46 1.304280 0.981391 0.598395
0.05 0.30 1.229243 0.948885 0.603503 0.901961 46 1.328339 0.999743 0.605165
0.05 0.35 1.245241 0.971005 0.597443 0.901961 46 1.324150 0.966246 0.614792
0.05 0.40 1.241151 0.919668 0.635448 0.901961 46 1.334259 1.010793 0.618575
0.05 0.45 1.248759 1.006612 0.606679 0.882353 45 1.337528 0.980851 0.613619
0.05 0.50 1.208763 0.913668 0.602899 0.901961 46 1.317955 0.961002 0.625952
0.05 0.55 1.221591 0.908212 0.605777 0.901961 46 1.336462 0.983379 0.624259
0.05 0.60 1.238934 0.941240 0.621049 0.901961 46 1.336935 0.972568 0.631429
0.05 0.65 1.216157 0.901888 0.611977 0.901961 46 1.335031 0.979434 0.632372
0.05 0.70 1.234742 0.896821 0.628362 0.901961 46 1.314124 0.975490 0.598738
0.05 0.75 1.254847 0.963407 0.622709 0.901961 46 1.342488 0.968110 0.631224
0.05 0.80 1.236600 0.921212 0.640970 0.901961 46 1.328973 0.964730 0.624024
0.05 0.85 1.244062 0.963032 0.622698 0.901961 46 1.363287 0.968738 0.670468
0.05 0.90 1.234406 0.930506 0.624077 0.901961 46 1.351657 0.968609 0.655685
0.05 0.95 1.236299 0.899923 0.634902 0.901961 46 1.352110 0.990373 0.628847
0.05 1.00 1.277367 0.990242 0.639683 0.882353 45 1.356152 0.969639 0.624947
0.10 0.05 1.169892 0.987906 0.551082 0.921569 47 1.206708 0.930520 0.493872
0.10 0.10 1.190574 1.007660 0.577964 0.901961 46 1.244384 0.952205 0.563847
0.10 0.15 1.189360 0.991007 0.596064 0.901961 46 1.242762 0.971657 0.543334
0.10 0.20 1.187630 1.034739 0.559531 0.901961 46 1.222537 0.948459 0.516290
0.10 0.25 1.192073 1.011223 0.576915 0.921569 47 1.240701 0.983522 0.528206
0.10 0.30 1.197185 1.030379 0.580540 0.901961 46 1.207807 0.965496 0.477931
0.10 0.35 1.194987 0.988463 0.586533 0.901961 46 1.221635 0.962456 0.511935
0.10 0.40 1.168800 1.015320 0.543414 0.901961 46 1.208778 0.954046 0.487307
0.10 0.45 1.164321 0.991781 0.538234 0.901961 46 1.186541 0.975333 0.440435
0.10 0.50 1.175822 1.012248 0.544459 0.901961 46 1.200063 0.959610 0.470665
0.10 0.55 1.166900 1.016906 0.524154 0.901961 46 1.224751 0.992044 0.482370
0.10 0.60 1.155487 0.994539 0.519213 0.901961 46 1.232993 0.984040 0.512421
0.10 0.65 1.149629 1.006830 0.523669 0.901961 46 1.206637 0.959935 0.488196
0.10 0.70 1.160724 0.999882 0.535231 0.921569 47 1.228298 0.986762 0.496145
0.10 0.75 1.139496 1.011345 0.497471 0.901961 46 1.196679 0.949920 0.463276
0.10 0.80 1.145766 1.001938 0.519660 0.901961 46 1.216935 0.988410 0.493902
0.10 0.85 1.150921 1.014252 0.500553 0.901961 46 1.217180 0.954810 0.489214
0.10 0.90 1.146274 1.005092 0.518285 0.901961 46 1.208587 0.969301 0.470955
0.10 0.95 1.156684 1.011945 0.513931 0.901961 46 1.215121 0.981627 0.475097
0.10 1.00 1.156544 1.006729 0.531055 0.901961 46 1.192025 0.963875 0.449481
0.15 0.05 0.967344 0.810456 0.534892 0.941176 48 1.150203 0.956759 0.508971
0.15 0.10 0.997595 0.812566 0.589046 0.941176 48 1.147869 0.955840 0.495785
0.15 0.15 0.969742 0.788962 0.559465 0.921569 47 1.157009 1.000564 0.474405
0.15 0.20 0.965530 0.800769 0.547917 0.941176 48 1.157425 0.969381 0.497111
0.15 0.25 0.984163 0.798606 0.550584 0.941176 48 1.146769 0.957600 0.506487
0.15 0.30 0.976438 0.792437 0.532629 0.941176 48 1.144875 0.955503 0.493817
0.15 0.35 0.980076 0.825215 0.513246 0.941176 48 1.142688 0.951543 0.500149
0.15 0.40 0.976234 0.792651 0.546248 0.941176 48 1.132178 0.957569 0.445003
0.15 0.45 0.966790 0.776483 0.534332 0.941176 48 1.133024 0.960040 0.445291
0.15 0.50 0.957743 0.795528 0.514771 0.941176 48 1.148127 0.953159 0.503380
0.15 0.55 0.969708 0.794401 0.523875 0.941176 48 1.163631 0.958032 0.540647
0.15 0.60 0.952370 0.778304 0.511925 0.941176 48 1.135303 0.954607 0.460889
0.15 0.65 0.982177 0.791855 0.513319 0.941176 48 1.124451 0.958724 0.439835
0.15 0.70 0.980889 0.801586 0.495571 0.941176 48 1.127611 0.957492 0.450268
0.15 0.75 0.972658 0.770612 0.505084 0.941176 48 1.130290 0.964731 0.452212
0.15 0.80 0.963973 0.770867 0.484674 0.941176 48 1.126360 0.955724 0.452272
0.15 0.85 0.972621 0.794901 0.485798 0.941176 48 1.125148 0.958098 0.438693
0.15 0.90 1.007696 0.823800 0.479627 0.941176 48 1.120942 0.954964 0.452523
0.15 0.95 0.987363 0.824733 0.477737 0.941176 48 1.126135 0.961889 0.449404
0.15 1.00 0.972888 0.814543 0.465368 0.921569 47 1.133801 0.984164 0.451600
0.20 0.05 0.997925 0.844484 0.463009 0.941176 48 1.221929 0.932083 0.582325
0.20 0.10 0.997636 0.860595 0.456672 0.921569 47 1.255553 0.929228 0.599181
0.20 0.15 1.018771 0.831163 0.444384 0.901961 46 1.237599 0.971129 0.557330
0.20 0.20 1.006730 0.842392 0.454169 0.882353 45 1.268560 1.009540 0.548339
0.20 0.25 1.004265 0.842932 0.454384 0.941176 48 1.230384 0.932652 0.570638
0.20 0.30 0.994977 0.810813 0.470337 0.901961 46 1.227650 0.964892 0.572045
0.20 0.35 0.985303 0.808865 0.451732 0.882353 45 1.247450 1.003382 0.572393
0.20 0.40 0.999581 0.825570 0.461532 0.921569 47 1.206705 0.946005 0.529087
0.20 0.45 0.995833 0.833180 0.459834 0.921569 47 1.211697 0.955346 0.543353
0.20 0.50 0.996888 0.839642 0.445999 0.901961 46 1.235807 0.983492 0.536892
0.20 0.55 0.993994 0.811689 0.454409 0.882353 45 1.231292 1.002805 0.510441
0.20 0.60 0.987302 0.809540 0.459103 0.921569 47 1.226758 1.000037 0.522270
0.20 0.65 0.991525 0.830173 0.461530 0.901961 46 1.216523 0.969699 0.523491
0.20 0.70 0.988658 0.809292 0.463871 0.901961 46 1.225066 1.001503 0.503996
0.20 0.75 0.996899 0.807261 0.482318 0.921569 47 1.197239 0.966340 0.524585
0.20 0.80 0.986703 0.809681 0.461608 0.901961 46 1.229889 0.968993 0.529531
0.20 0.85 0.992883 0.822660 0.460122 0.921569 47 1.205622 0.971137 0.502965
0.20 0.90 0.989894 0.814917 0.461277 0.901961 46 1.210311 1.006122 0.493082
0.20 0.95 1.003472 0.818232 0.448557 0.901961 46 1.210526 1.004692 0.488725
0.20 1.00 0.983985 0.816244 0.454906 0.921569 47 1.203026 0.968747 0.506604
0.25 0.05 0.912152 0.791494 0.449435 0.941176 48 1.271182 0.917674 0.905416
0.25 0.10 0.916274 0.802350 0.460225 0.941176 48 1.285163 0.919140 0.890007
0.25 0.15 0.914638 0.793277 0.447699 0.901961 46 1.336482 0.992063 0.921510
0.25 0.20 0.908849 0.792492 0.449549 0.921569 47 1.321449 0.989647 0.896992
0.25 0.25 0.919427 0.788400 0.441117 0.941176 48 1.202298 0.919725 0.803588
0.25 0.30 0.910455 0.786203 0.447528 0.901961 46 1.321238 0.949085 0.954202
0.25 0.35 0.904394 0.750018 0.453404 0.941176 48 1.288801 0.913359 0.909745
0.25 0.40 0.917718 0.807822 0.450273 0.921569 47 1.287451 0.948763 0.857721
0.25 0.45 0.920375 0.796466 0.439582 0.901961 46 1.313313 0.974761 0.911420
0.25 0.50 0.911420 0.771239 0.447044 0.901961 46 1.302115 0.950699 0.893102
0.25 0.55 0.922882 0.782069 0.435171 0.921569 47 1.237906 0.915704 0.876677
0.25 0.60 0.920038 0.788285 0.446495 0.901961 46 1.297437 0.951750 0.871874
0.25 0.65 0.932130 0.791442 0.430897 0.921569 47 1.200147 0.949685 0.749176
0.25 0.70 0.913031 0.770084 0.444255 0.941176 48 1.253275 0.951244 0.756843
0.25 0.75 0.927766 0.799573 0.431452 0.921569 47 1.201135 0.950464 0.700926
0.25 0.80 0.934779 0.804542 0.439798 0.921569 47 1.173354 0.957516 0.664866
0.25 0.85 0.931114 0.790817 0.444016 0.921569 47 1.185739 0.957165 0.702100
0.25 0.90 0.938955 0.817283 0.439448 0.941176 48 1.152286 0.957874 0.601779
0.25 0.95 0.915917 0.805019 0.448683 0.921569 47 1.218598 0.956318 0.661343
0.25 1.00 0.944745 0.796466 0.420926 0.882353 45 1.318595 0.954191 0.714533
0.30 0.05 0.930213 0.768777 0.483643 0.980392 50 1.021726 0.913433 0.243180
0.30 0.10 0.897764 0.779171 0.438341 0.921569 47 1.141022 0.943736 0.533600
0.30 0.15 0.932642 0.781086 0.483290 0.960784 49 1.029805 0.943596 0.241725
0.30 0.20 0.893330 0.761824 0.441279 0.921569 47 1.143468 0.943684 0.536842
0.30 0.25 0.899232 0.776915 0.439870 0.980392 50 1.022729 0.943199 0.207406
0.30 0.30 0.898682 0.778852 0.439499 0.960784 49 1.019420 0.943951 0.205855
0.30 0.35 0.924785 0.770506 0.482370 0.980392 50 1.013551 0.910154 0.229731
0.30 0.40 0.926594 0.739618 0.492566 0.980392 50 1.015604 0.909765 0.244940
0.30 0.45 0.928201 0.774504 0.488679 0.980392 50 1.003760 0.906925 0.233001
0.30 0.50 0.900811 0.763829 0.445008 0.960784 49 1.029535 0.949089 0.220127
0.30 0.55 0.905597 0.790016 0.436418 0.941176 48 1.057662 0.983912 0.252752
0.30 0.60 0.895779 0.756890 0.448358 0.921569 47 1.124996 0.950282 0.502743
0.30 0.65 0.894425 0.758276 0.440727 0.960784 49 1.047812 0.944440 0.296271
0.30 0.70 0.897348 0.766460 0.438067 0.941176 48 1.061982 0.944638 0.299109
0.30 0.75 0.902104 0.778339 0.441016 0.980392 50 1.022589 0.944766 0.225000
0.30 0.80 0.904513 0.777537 0.438370 0.980392 50 1.030520 0.944993 0.239720
0.30 0.85 0.903558 0.768159 0.435459 0.941176 48 1.031792 0.983453 0.206059
0.30 0.90 0.902638 0.788437 0.440086 0.941176 48 1.059033 0.971891 0.287230
0.30 0.95 0.896610 0.752059 0.441480 0.980392 50 1.023041 0.945247 0.243812
0.30 1.00 0.897744 0.769198 0.443266 0.980392 50 1.032286 0.943507 0.266933
0.35 0.05 0.929488 0.806296 0.420168 0.960784 49 1.058133 0.948032 0.259731
0.35 0.10 0.965048 0.831102 0.417454 0.941176 48 1.038379 0.946200 0.236810
0.35 0.15 0.922736 0.800228 0.424731 0.960784 49 1.030605 0.944944 0.217391
0.35 0.20 0.971435 0.830339 0.412635 0.941176 48 1.069570 0.949248 0.278883
0.35 0.25 0.928960 0.803237 0.419687 0.960784 49 1.059387 0.947548 0.262709
0.35 0.30 0.993403 0.819269 0.458227 0.941176 48 1.028326 0.923775 0.259127
0.35 0.35 0.929071 0.801815 0.419505 0.960784 49 1.060235 0.946171 0.264571
0.35 0.40 0.926770 0.799694 0.421589 0.941176 48 1.058003 0.950367 0.257077
0.35 0.45 0.956933 0.797780 0.464513 0.960784 49 1.035871 0.925620 0.266639
0.35 0.50 0.918591 0.796870 0.426052 0.960784 49 1.050712 0.944970 0.253365
0.35 0.55 0.925599 0.797753 0.422057 0.960784 49 1.051221 0.949454 0.251889
0.35 0.60 0.924270 0.794043 0.422643 0.960784 49 1.054650 0.955817 0.254677
0.35 0.65 0.948658 0.794879 0.470024 0.960784 49 1.012346 0.942854 0.217658
0.35 0.70 0.919009 0.791827 0.426789 0.941176 48 1.028656 0.944964 0.208066
0.35 0.75 0.919426 0.790053 0.426096 0.941176 48 1.044255 0.950622 0.232061
0.35 0.80 0.966518 0.815048 0.415657 0.941176 48 1.065313 0.947461 0.277728
0.35 0.85 0.919682 0.780025 0.425118 0.960784 49 1.053679 0.954427 0.250401
0.35 0.90 0.919319 0.781659 0.425383 0.941176 48 1.048279 0.958354 0.238729
0.35 0.95 0.919386 0.780935 0.425326 0.941176 48 1.051977 0.963781 0.243238
0.35 1.00 0.919995 0.777064 0.425932 0.960784 49 1.045172 0.945150 0.244023
0.40 0.05 0.957568 0.819474 0.465361 0.960784 49 1.026985 0.940492 0.265089
0.40 0.10 0.946235 0.817709 0.472742 0.960784 49 0.996582 0.940821 0.194007
0.40 0.15 0.957196 0.820380 0.465297 0.960784 49 1.026596 0.939842 0.266488
0.40 0.20 0.926001 0.817487 0.422534 0.960784 49 1.043003 0.963108 0.257847
0.40 0.25 0.926749 0.815243 0.423774 0.960784 49 1.045031 0.972729 0.256451
0.40 0.30 0.927859 0.817162 0.421554 0.960784 49 1.045463 0.967943 0.256697
0.40 0.35 0.928168 0.817042 0.423865 0.960784 49 1.044940 0.966361 0.259681
0.40 0.40 0.945371 0.814033 0.473685 0.960784 49 1.000250 0.939350 0.202870
0.40 0.45 0.945510 0.815409 0.473756 0.960784 49 1.000303 0.940466 0.205083
0.40 0.50 0.926326 0.814153 0.422378 0.960784 49 1.043807 0.963894 0.261442
0.40 0.55 0.927268 0.807228 0.423774 0.960784 49 1.045779 0.968693 0.261765
0.40 0.60 0.916299 0.809867 0.430846 0.960784 49 1.022454 0.966079 0.204857
0.40 0.65 0.926484 0.807015 0.424095 0.960784 49 1.045269 0.966128 0.262328
0.40 0.70 0.954343 0.801784 0.467480 0.960784 49 1.027866 0.939509 0.272286
0.40 0.75 0.923896 0.799428 0.426510 0.960784 49 1.044295 0.966810 0.262804
0.40 0.80 0.923176 0.794986 0.426473 0.960784 49 1.043712 0.964811 0.264032
0.40 0.85 0.912573 0.792264 0.432894 0.960784 49 1.028853 0.967114 0.224469
0.40 0.90 0.948442 0.787860 0.470707 0.960784 49 1.026131 0.936471 0.271495
0.40 0.95 0.940388 0.786650 0.475794 0.960784 49 1.015201 0.935468 0.243579
0.40 1.00 0.919536 0.785629 0.428653 0.960784 49 1.043550 0.966003 0.265305
0.45 0.05 0.927007 0.739950 0.480711 0.960784 49 1.020628 0.926046 0.274523
0.45 0.10 0.891212 0.739554 0.440531 0.960784 49 1.039086 0.969280 0.265694
0.45 0.15 0.918706 0.737398 0.486189 0.960784 49 1.019810 0.926982 0.273579
0.45 0.20 0.923618 0.741973 0.481538 0.960784 49 1.022459 0.925474 0.274814
0.45 0.25 0.937412 0.765138 0.474243 0.960784 49 1.024316 0.928638 0.273161
0.45 0.30 0.921792 0.742602 0.482899 0.960784 49 1.021537 0.927254 0.276946
0.45 0.35 0.889661 0.740651 0.441960 0.960784 49 1.039515 0.972575 0.267677
0.45 0.40 0.947434 0.793596 0.471437 0.960784 49 1.026426 0.929187 0.273187
0.45 0.45 0.947532 0.791750 0.470712 0.960784 49 1.028336 0.930699 0.273576
0.45 0.50 0.918225 0.738944 0.484782 0.960784 49 1.023513 0.928973 0.277800
0.45 0.55 0.937092 0.755467 0.474903 0.960784 49 1.025029 0.930210 0.275422
0.45 0.60 0.935523 0.753810 0.475369 0.960784 49 1.026186 0.928955 0.275873
0.45 0.65 0.887051 0.732127 0.442981 0.960784 49 1.039561 0.967091 0.269737
0.45 0.70 0.919900 0.730079 0.483938 0.960784 49 1.022826 0.928971 0.278431
0.45 0.75 0.916390 0.732218 0.486019 0.960784 49 1.022787 0.929547 0.279991
0.45 0.80 0.901776 0.732777 0.434144 0.960784 49 1.044274 0.969628 0.268206
0.45 0.85 0.933140 0.748280 0.475995 0.941176 48 1.028699 0.932284 0.277612
0.45 0.90 0.938257 0.771589 0.474690 0.941176 48 1.028422 0.927820 0.278188
0.45 0.95 0.938356 0.770599 0.474825 0.960784 49 1.028210 0.927495 0.278927
0.45 1.00 0.929989 0.730274 0.477604 0.941176 48 1.027773 0.929979 0.280109
0.50 0.05 0.907165 0.724869 0.489475 0.941176 48 1.030440 0.965861 0.272915
0.50 0.10 0.907579 0.723842 0.489109 0.941176 48 1.033218 0.965503 0.273152
0.50 0.15 0.908960 0.726873 0.487928 0.941176 48 1.029272 0.963367 0.274755
0.50 0.20 0.909957 0.728754 0.487080 0.941176 48 1.029914 0.963814 0.274649
0.50 0.25 0.909939 0.728806 0.487002 0.941176 48 1.029401 0.965021 0.274630
0.50 0.30 0.908202 0.721989 0.487864 0.941176 48 1.030109 0.968013 0.272415
0.50 0.35 0.875690 0.727167 0.446249 0.941176 48 1.046123 0.968796 0.266226
0.50 0.40 0.908984 0.725877 0.487492 0.941176 48 1.032025 0.967051 0.274585
0.50 0.45 0.909040 0.732489 0.487953 0.941176 48 1.032857 0.964874 0.275968
0.50 0.50 0.909454 0.729905 0.487839 0.941176 48 1.029886 0.967835 0.276380
0.50 0.55 0.909147 0.727692 0.487785 0.941176 48 1.031863 0.967323 0.276089
0.50 0.60 0.909278 0.733313 0.488034 0.941176 48 1.033107 0.968776 0.276807
0.50 0.65 0.910524 0.736294 0.487382 0.941176 48 1.033320 0.968860 0.277158
0.50 0.70 0.910177 0.739226 0.487973 0.941176 48 1.032054 0.969752 0.277334
0.50 0.75 0.913967 0.741556 0.485438 0.941176 48 1.033701 0.970611 0.277357
0.50 0.80 0.912764 0.742389 0.486222 0.941176 48 1.034713 0.971828 0.277078
0.50 0.85 0.912656 0.745839 0.486252 0.941176 48 1.036971 0.972126 0.276442
0.50 0.90 0.912732 0.746180 0.486303 0.941176 48 1.034850 0.973188 0.276835
0.50 0.95 0.884858 0.750850 0.441083 0.941176 48 1.055910 0.987464 0.265314
0.50 1.00 0.916849 0.756365 0.483417 0.921569 47 1.038283 0.974718 0.274447
0.55 0.05 0.909947 0.713177 0.488512 0.960784 49 1.023319 0.917195 0.281291
0.55 0.10 0.909796 0.713301 0.488896 0.960784 49 1.022324 0.917061 0.280735
0.55 0.15 0.917161 0.750124 0.484536 0.960784 49 1.026813 0.917650 0.281074
0.55 0.20 0.900339 0.688450 0.492528 0.960784 49 1.023641 0.923772 0.281763
0.55 0.25 0.910516 0.720365 0.487148 0.960784 49 1.022066 0.917695 0.279906
0.55 0.30 0.918528 0.761231 0.483977 0.960784 49 1.024301 0.917149 0.278426
0.55 0.35 0.910501 0.720085 0.487075 0.960784 49 1.023897 0.917418 0.280904
0.55 0.40 0.918715 0.763925 0.483188 0.960784 49 1.023090 0.917759 0.277018
0.55 0.45 0.903613 0.702973 0.491210 0.960784 49 1.021611 0.917833 0.280987
0.55 0.50 0.904433 0.705553 0.490720 0.960784 49 1.020443 0.918308 0.278630
0.55 0.55 0.914979 0.731987 0.483966 0.960784 49 1.028591 0.945419 0.276798
0.55 0.60 0.904912 0.710447 0.489309 0.941176 48 1.018385 0.919179 0.276004
0.55 0.65 0.906768 0.715311 0.489193 0.941176 48 1.018765 0.926905 0.273577
0.55 0.70 0.905913 0.720583 0.490421 0.941176 48 1.020588 0.920306 0.275614
0.55 0.75 0.908353 0.720405 0.488392 0.941176 48 1.019625 0.920856 0.273114
0.55 0.80 0.935795 0.720817 0.489773 0.941176 48 1.009806 0.921232 0.250524
0.55 0.85 0.920419 0.752382 0.481876 0.941176 48 1.024820 0.938168 0.267521
0.55 0.90 0.915744 0.724506 0.484689 0.941176 48 1.026395 0.958252 0.264499
0.55 0.95 0.921995 0.754593 0.482095 0.941176 48 1.022232 0.923088 0.265027
