lengthscale l2regularizer bma_mean_rmse_mean bma_mean_rmse_median bma_mean_std bma_mean_cov nll_bma_mean_mean nll_bma_mean_median nll_bma_mean_std 

0.1 1.85 1.4604934 1.2990433 0.59123105 0.8431372549019608 1.6627754 1.2266276 1.1448065
0.1 1.9 1.4576354 1.3200918 0.5930122 0.8431372549019608 1.6789446 1.221302 1.1814147
0.1 2.0 1.4610397 1.3294425 0.59800035 0.8431372549019608 1.6764253 1.2290347 1.1557449
0.15 1.2 1.2871715 1.2649541 0.5372638 0.8627450980392157 1.4133135 1.0639176 0.8684561
0.1 1.95 1.4681703 1.3186672 0.6025499 0.8431372549019608 1.6738287 1.2255692 1.1658897
0.15 0.15 1.2367033 1.1445773 0.45937532 0.8823529411764706 1.4903692 1.1082189 0.8292671
0.15 1.0 1.2479769 1.1775887 0.5423192 0.8627450980392157 1.3652085 1.034037 0.78352004
0.15 0.9 1.2392099 1.1939768 0.52666306 0.8627450980392157 1.4007217 1.082158 0.8136893
0.15 0.95 1.2498194 1.1549736 0.5504893 0.8627450980392157 1.4081453 1.0798893 0.8368387
0.15 0.7 1.2055763 1.0845461 0.5749308 0.8627450980392157 1.3857273 1.0127975 0.82538104
0.15 0.1 1.1853863 1.1729002 0.5336838 0.9019607843137255 1.4758544 1.0955615 0.7554521
0.1 1.75 1.4586679 1.3107444 0.6039119 0.8431372549019608 1.654068 1.2416894 1.1148697
0.15 0.05 1.2407486 1.2742196 0.5332569 0.9019607843137255 1.5193135 1.1148249 0.73616695
0.15 0.05 1.2407486 1.2742196 0.5332569 0.9019607843137255 1.5193135 1.1148249 0.73616695
0.15 0.05 1.2407486 1.2742196 0.5332569 0.9019607843137255 1.5193135 1.1148249 0.73616695
0.15 1.1 1.2731833 1.2128696 0.53278357 0.8627450980392157 1.4369031 1.0647128 0.9259564
0.15 1.15 1.2717755 1.2384679 0.54520565 0.8627450980392157 1.4180393 1.0445408 0.89796793
0.05 1.35 1.3211658 1.4315968 0.7236954 0.8431372549019608 1.3642057 1.0282212 0.7178009
0.15 0.5 1.222931 1.1195533 0.58141845 0.8627450980392157 1.3821625 1.0777162 0.77210903
0.15 0.2 1.2724279 1.1147537 0.6348482 0.8823529411764706 1.5161833 1.188026 0.9090264
0.15 1.05 1.269013 1.2308347 0.5346152 0.8627450980392157 1.3542222 1.045504 0.75442964
0.15 1.25 1.274328 1.2339673 0.53661376 0.8627450980392157 1.4417197 1.0639986 0.93162245
0.15 0.65 1.2023321 1.0873985 0.5794217 0.8627450980392157 1.3595252 1.0597674 0.72378063
0.1 1.8 1.4585379 1.3225082 0.58267975 0.8431372549019608 1.659161 1.236813 1.1251711
0.15 0.75 1.1972487 1.0985787 0.5693884 0.8627450980392157 1.3704315 1.0187478 0.7978069
0.05 0.5 1.2704443 1.2728086 0.66797936 0.9019607843137255 1.3620572 1.1214554 0.58736
0.05 0.65 1.2929207 1.316873 0.7303398 0.8823529411764706 1.3657793 1.0526729 0.6465621
0.05 0.95 1.2963601 1.3206234 0.7081275 0.8823529411764706 1.364318 1.0531712 0.6539708
0.05 1.05 1.3045281 1.3383718 0.7418027 0.8627450980392157 1.3489164 1.0265166 0.69051826
0.15 1.65 1.2816263 1.2764299 0.5046513 0.8627450980392157 1.468565 1.056897 0.98072565
0.05 0.55 1.2649988 1.285963 0.6709685 0.9019607843137255 1.3734463 1.1111157 0.60176927
0.05 1.0 1.3114614 1.3808248 0.705659 0.8431372549019608 1.3689939 1.044239 0.6883623
0.15 1.75 1.2785966 1.2691004 0.51015705 0.8627450980392157 1.4390603 1.053465 0.9131608
0.2 0.15 1.0880927 1.0395073 0.5005057 0.8823529411764706 1.3511449 1.0740218 0.65158856
0.05 2.0 1.328882 1.4224145 0.7450366 0.8823529411764706 1.4300833 1.0505282 0.84092575
0.05 1.55 1.3165592 1.4161917 0.74492055 0.8627450980392157 1.3851461 1.0377465 0.7519545
0.15 1.35 1.2768683 1.2532604 0.51387054 0.8627450980392157 1.3946718 1.0479283 0.8209141
