lengthscale l2regularizer bma_mean_rmse_mean bma_mean_rmse_median bma_mean_std bma_mean_cov nll_bma_mean_mean nll_bma_mean_median nll_bma_mean_std 
0.025 0.05 1.2881576 1.0973983 0.6446368 0.9019607843137255 1.3939424 1.1618348 0.51394504
0.025 1.6 1.2600307 1.194339 0.6295855 0.8627450980392157 1.4358362 1.1551844 0.72304213
0.025 0.3 1.1546412 1.0985801 0.49806422 0.8235294117647058 1.575727 1.1871022 0.88692147
0.025 0.15 1.2286717 1.0516323 0.6392679 0.8431372549019608 1.5714979 1.1421788 0.7775096
0.025 0.2 1.2224473 1.0879428 0.63322866 0.8627450980392157 1.5328407 1.1645381 0.69807845
0.025 1.05 1.2353421 1.1807454 0.6293594 0.8823529411764706 1.4611679 1.1741804 0.752459
0.025 0.35 1.2004489 1.1023517 0.61108804 0.8627450980392157 1.5284213 1.2128245 0.7362148
0.025 0.25 1.1748639 1.0682225 0.5599897 0.8823529411764706 1.5510296 1.1937112 0.72094584
0.025 0.1 1.2344178 1.0337045 0.66210544 0.8823529411764706 1.4771408 1.158257 0.64264065
0.05 0.1 1.2192272 1.2686567 0.62267953 0.9215686274509803 1.4945976 1.1648114 0.7998548
0.025 0.5 1.1966782 1.1285467 0.6184073 0.8235294117647058 1.5586119 1.1559622 0.8356004
0.025 0.4 1.2118006 1.1477801 0.580957 0.8431372549019608 1.4647232 1.1562512 0.6488225
0.025 0.45 1.2278928 1.1873276 0.6116871 0.8235294117647058 1.6096057 1.2023444 0.796945
0.05 0.45 1.2508855 1.3139465 0.6635075 0.9019607843137255 1.37711 1.0850903 0.6579346
0.05 0.3 1.2679712 1.2677093 0.727302 0.9215686274509803 1.5663232 1.150009 0.9083575
0.025 0.6 1.2053546 1.1236384 0.61913496 0.8823529411764706 1.448234 1.1575389 0.6652128
0.025 0.7 1.2070818 1.1710926 0.59897095 0.8823529411764706 1.4761858 1.1644821 0.76302177
0.05 0.5 1.2704443 1.2728086 0.66797936 0.9019607843137255 1.3620572 1.1214554 0.58736
0.025 0.8 1.2394209 1.1706154 0.63731265 0.8823529411764706 1.5073589 1.1666074 0.75385827
0.025 0.65 1.218969 1.1803596 0.6341869 0.8823529411764706 1.4914695 1.1779423 0.7531331
0.05 0.4 1.2665502 1.2504458 0.7250499 0.9215686274509803 1.3232374 1.0563467 0.61366713
0.025 0.75 1.1922011 1.1713197 0.56970525 0.9019607843137255 1.5015836 1.1828926 0.7679846
0.05 0.35 1.270529 1.259496 0.7128148 0.8627450980392157 1.6029514 1.1099887 1.0080762
0.025 0.9 1.2305257 1.1998038 0.62050235 0.8823529411764706 1.4941708 1.1552896 0.7953625
0.025 0.95 1.2351848 1.1615388 0.6402505 0.8627450980392157 1.4762921 1.1571457 0.75210494
0.05 0.55 1.2649988 1.285963 0.6709685 0.9019607843137255 1.3734463 1.1111157 0.60176927
0.05 1.1 1.3001788 1.3661834 0.7603813 0.8823529411764706 1.3700327 1.0268108 0.7435958
0.025 1.25 1.2640082 1.1809223 0.6395657 0.8627450980392157 1.4735557 1.1703684 0.7729086
0.025 1.3 1.2573372 1.183899 0.6463436 0.8823529411764706 1.488197 1.1795536 0.7429513
0.05 0.65 1.2929207 1.316873 0.7303398 0.8823529411764706 1.3657793 1.0526729 0.6465621
0.025 1.4 1.2626574 1.2012553 0.6528736 0.8823529411764706 1.4797536 1.1762044 0.75390583
0.025 1.35 1.2745565 1.2147119 0.65855813 0.8627450980392157 1.4719702 1.1854523 0.7366356
0.025 0.85 1.2442739 1.1584803 0.62427735 0.8823529411764706 1.4790053 1.1783462 0.74052745
0.025 1.0 1.2530143 1.181785 0.65256846 0.9019607843137255 1.4679006 1.1597416 0.74299765
0.025 1.75 1.2487831 1.170724 0.625484 0.8431372549019608 1.4564466 1.152563 0.76908934
0.025 1.45 1.2508026 1.1770699 0.6398819 0.8431372549019608 1.5063409 1.1844038 0.7755987
0.025 1.95 1.2376148 1.1588328 0.6304318 0.8431372549019608 1.4747928 1.1599127 0.7953534
0.025 1.85 1.2301425 1.161535 0.612481 0.8431372549019608 1.458948 1.1563945 0.7797161
0.025 1.7 1.2414495 1.1645205 0.62662864 0.8431372549019608 1.4647622 1.1688213 0.7686146
