lengthscale l2regularizer rmse_mean rmse_std

0.04 0.25 1.1136467 0.43517482
0.04 0.2 1.0888563 0.47146514
0.04 0.15 1.2168785 0.7044897
0.04 0.14 1.1725186 0.61412305
0.04 0.13 1.1896585 0.5793058
0.04 0.25 1.1952138 0.5823589
0.04 0.2 1.0773932 0.5164514
0.04 0.15 1.1674567 0.5700711
0.04 0.14 1.1536955 0.46944258
0.04 0.13 1.1818812 0.5537614
0.04 0.12 1.1260635 0.42214376
0.04 0.11 1.1470801 0.5711924
0.04 0.1 1.1905947 0.53831756
0.04 0.09 1.1019682 0.58404166
0.04 0.08 1.1483986 0.48872533
0.04 0.07 1.1579305 0.5983738
0.04 0.06 1.24491 0.6183448
0.04 0.05 1.1707511 0.647061
0.04 0.04 1.1696743 0.57114786
0.045 0.25 1.1734201 0.5397942
0.045 0.2 1.2121933 0.5297671
0.045 0.15 1.1707367 0.508705
0.045 0.14 1.1383438 0.5475296
0.045 0.13 1.0984617 0.4962445
0.045 0.12 1.0908763 0.5350976
0.045 0.11 1.2743889 0.6549828
0.045 0.1 1.1682415 0.50792736
0.045 0.09 1.1561205 0.5246859
0.045 0.08 1.262755 0.7049856
0.045 0.07 1.1708413 0.4884756
0.045 0.06 1.1240232 0.46918547
0.045 0.05 1.1809981 0.52771574
0.045 0.04 1.0995457 0.51208925
0.05 0.25 1.1224177 0.4971939
0.05 0.2 1.1929343 0.544601
0.05 0.15 1.211312 0.43827415
0.05 0.14 1.1788552 0.54214805
0.05 0.13 1.1568087 0.54307944
0.05 0.12 1.216266 0.58248585
0.05 0.11 1.1640966 0.5104848
0.05 0.1 1.130226 0.54244345
0.05 0.09 1.1207634 0.5250205
0.05 0.08 1.0682638 0.51034003
0.05 0.07 1.173352 0.66884816
0.05 0.06 1.1076648 0.43038362
0.05 0.05 1.0877461 0.53989965
0.05 0.04 1.1275266 0.5254293
0.055 0.25 1.0712721 0.53541243
0.055 0.2 1.1467898 0.57176006
0.055 0.15 1.1587694 0.46899068
0.055 0.14 1.2392561 0.5861419
0.055 0.13 1.2096549 0.6073872
0.055 0.12 1.1365408 0.42012134
0.055 0.11 1.2275332 0.6842188
0.055 0.1 1.1230836 0.48001763
0.055 0.09 1.2280288 0.63435054
0.055 0.08 1.0422375 0.46981966
0.055 0.07 1.2209414 0.58083993
0.055 0.06 1.1935194 0.59529275
0.055 0.05 1.1164824 0.43384725
0.055 0.04 1.1107019 0.5436083
0.056 0.25 1.2544367 0.6599391
0.056 0.2 1.1650741 0.50079143
0.056 0.15 1.1225249 0.5154177
0.056 0.14 1.1017853 0.50821894
0.056 0.13 1.1835501 0.60602504
0.056 0.12 1.1364257 0.56210417
0.056 0.11 1.1343609 0.57796973
0.056 0.1 1.096061 0.551947
0.056 0.09 1.1273596 0.5058084
0.056 0.08 1.2160009 0.66395664
0.056 0.07 1.1127778 0.487939
0.056 0.06 1.1198192 0.41834652
0.056 0.05 1.1541197 0.49398685
0.056 0.04 1.1652957 0.5587578
0.057 0.25 1.0448507 0.5020805
0.057 0.2 1.2436931 0.57005
0.057 0.15 1.0882314 0.5257984
0.057 0.14 1.1249139 0.5570147
0.057 0.13 1.2013495 0.55776185
0.057 0.12 1.1864384 0.55634797
0.057 0.11 1.1486313 0.53428155
0.057 0.1 1.1838672 0.60507417
0.057 0.09 1.1267426 0.4659547
0.057 0.08 1.1416986 0.6190138
0.057 0.07 1.0892628 0.4453364
0.057 0.06 1.1563479 0.53671014
0.057 0.05 1.1750517 0.5168324
0.057 0.04 1.1220366 0.5102884
0.058 0.25 1.2323666 0.6803992
0.058 0.2 1.1550386 0.6047051
0.058 0.15 1.1607066 0.5507991
0.058 0.14 1.1903422 0.5542333
0.058 0.13 1.1928089 0.61417633
0.058 0.12 1.1983398 0.5649409
0.058 0.11 1.162474 0.56085336
0.058 0.1 1.1478654 0.5924364
0.058 0.09 1.208729 0.63278776
0.058 0.08 1.1291506 0.47846472
0.058 0.07 1.1727154 0.59375244
0.058 0.06 1.1672745 0.6202292
0.058 0.05 1.2942245 0.69547695
0.058 0.04 1.161601 0.4584948
0.059 0.25 1.1858627 0.59479845
0.059 0.2 1.2244143 0.58731085
0.059 0.15 1.1699619 0.4937156
0.059 0.14 1.1646221 0.6412276
0.059 0.13 1.210222 0.55318207
0.059 0.12 1.2525219 0.56601083
0.059 0.11 1.2212855 0.6477232
0.059 0.1 1.0618563 0.46353906
0.059 0.09 1.1930873 0.534536
0.059 0.08 1.1354965 0.5039185
0.059 0.07 1.136669 0.39879873
0.059 0.06 1.1913463 0.46047357
0.059 0.05 1.1245874 0.4846051
0.059 0.04 1.1436583 0.49213982
0.06 0.25 1.1094017 0.4915967
0.06 0.2 1.0923153 0.4364936
0.06 0.15 1.2151313 0.60253406
0.06 0.14 1.149876 0.5477964
0.06 0.13 1.1387464 0.5035325
0.06 0.12 1.1875855 0.50120574
0.06 0.11 1.1189822 0.47856873
0.06 0.1 1.1263084 0.5332547
0.06 0.09 1.1876094 0.54393893
0.06 0.08 1.1295674 0.5494896
0.06 0.07 1.132437 0.5064732
0.06 0.06 1.1094621 0.5436843
0.06 0.05 1.1071577 0.5545533
0.06 0.04 1.0769889 0.5220286
0.061 0.25 1.1230314 0.4748027
0.061 0.2 1.2734311 0.6647215
0.061 0.15 1.1923727 0.5411687
0.061 0.14 1.1701896 0.49161735
0.061 0.13 1.2750223 0.64947623
0.061 0.12 1.2357628 0.5916576
0.061 0.11 1.3070475 0.6914071
0.061 0.1 1.210939 0.5968544
0.061 0.09 1.0964016 0.4438008
0.061 0.08 1.0804797 0.50899553
0.061 0.07 1.118411 0.52745813
0.061 0.06 1.2053821 0.60421735
0.061 0.05 1.1306698 0.48571956
0.061 0.04 1.1206241 0.58042854
0.062 0.25 1.12506 0.52718115
0.062 0.2 1.2215225 0.6060872
0.062 0.15 1.1845014 0.58114755
0.062 0.14 1.2643902 0.6729521
0.062 0.13 1.1064045 0.5517873
0.062 0.12 1.179171 0.6349061
0.062 0.11 1.169871 0.52369624
0.062 0.1 1.1676836 0.53147703
0.062 0.09 1.1825634 0.528232
0.062 0.08 1.1018997 0.5051645
0.062 0.07 1.2125242 0.70074296
0.062 0.06 1.1044 0.50484
0.062 0.05 1.1286385 0.5318094
0.062 0.04 1.1810945 0.50733906
0.063 0.25 1.1512558 0.58479553
0.063 0.2 1.1904069 0.707372
0.063 0.15 1.1576681 0.523816
0.063 0.14 1.1362283 0.5118255
0.063 0.13 1.1142685 0.5368452
0.063 0.12 1.1031922 0.48040923
0.063 0.11 1.13061 0.4140942
0.063 0.1 1.1012505 0.585589
0.063 0.09 1.1458113 0.56639534
0.063 0.08 1.1404244 0.4741031
0.063 0.07 1.1544592 0.56228524
0.063 0.06 1.1550556 0.40532276
0.063 0.05 1.1756605 0.5972581
0.063 0.04 1.1075202 0.4613622
0.064 0.25 1.2064798 0.5441897
0.064 0.2 1.139691 0.6295005
0.064 0.15 1.1917324 0.539123
0.064 0.14 1.2055973 0.48958138
0.064 0.13 1.0039724 0.45180705
0.064 0.12 1.1343069 0.45884037
0.064 0.11 1.1816403 0.63988805
0.064 0.1 1.2367297 0.6315895
0.064 0.09 1.1498843 0.5035307
0.064 0.08 1.1905773 0.62190276
0.064 0.07 1.2365892 0.5703452
0.064 0.06 1.1590513 0.62199754
0.064 0.05 1.2045364 0.59962106
0.064 0.04 1.2138901 0.6277539
0.065 0.25 1.1511774 0.52802634
0.065 0.2 1.1702032 0.5200456
0.065 0.15 1.125901 0.47306052
0.065 0.14 1.144583 0.61709726
0.065 0.13 1.1314179 0.6036655
0.065 0.12 1.195008 0.64788383
0.065 0.11 1.1735106 0.5469663
0.065 0.1 1.1829112 0.5541174
0.065 0.09 1.1063398 0.5140457
0.065 0.08 1.1311922 0.4918568
0.065 0.07 1.0911809 0.43711397
0.065 0.06 1.1937888 0.5252099
0.065 0.05 1.170224 0.5549875
0.065 0.04 1.0869954 0.51038104
0.066 0.25 1.1304146 0.54354984
0.066 0.2 1.0696486 0.4467323
0.066 0.15 1.1657953 0.41478935
0.066 0.14 1.1550596 0.38887995
0.066 0.13 1.1705885 0.58044946
0.066 0.12 1.2159271 0.72900003
0.066 0.11 1.1641445 0.4943362
0.066 0.1 1.1206243 0.48623
0.066 0.09 1.0839369 0.48952717
0.066 0.08 1.16196 0.468968
0.066 0.07 1.1661133 0.54510736
0.066 0.06 1.1860983 0.5215822
0.066 0.05 1.1950846 0.5270352
0.066 0.04 1.1252412 0.44465622
0.067 0.25 1.1677636 0.63403714
0.067 0.2 1.178699 0.53684443
0.067 0.15 1.1306245 0.45364347
0.067 0.14 1.105309 0.4493894
0.067 0.13 1.2558925 0.63421124
0.067 0.12 1.0831693 0.45062238
0.067 0.11 1.1580515 0.5778143
0.067 0.1 1.1407518 0.50221205
0.067 0.09 1.0817436 0.4759309
0.067 0.08 1.1775051 0.5000456
0.067 0.07 1.200522 0.555945
0.067 0.06 1.1692972 0.50846213
0.067 0.05 1.1556373 0.4841926
0.067 0.04 1.1322172 0.4238581
0.068 0.25 1.1150007 0.4722179
0.068 0.2 1.1534641 0.561987
0.068 0.15 1.1588333 0.53830683
0.068 0.14 1.047264 0.45140603
0.068 0.13 1.0916402 0.5075829
0.068 0.12 1.1109003 0.45034644
0.068 0.11 1.1767193 0.63273144
0.068 0.1 1.1523249 0.48569706
0.068 0.09 1.1609124 0.5237058
0.068 0.08 1.1483449 0.48476228
0.068 0.07 1.1672671 0.51573867
0.068 0.06 1.1912105 0.61624694
0.068 0.05 1.0808132 0.42968756
0.068 0.04 1.1962898 0.52875245
0.069 0.25 1.1603633 0.5306593
0.069 0.2 1.2085438 0.57449865
0.069 0.15 1.08082 0.41380864
0.069 0.14 1.1172981 0.5412572
0.069 0.13 1.1658335 0.3711944
0.069 0.12 1.1380584 0.5615978
0.069 0.11 1.2434204 0.6826691
0.069 0.1 1.2007562 0.55684143
0.069 0.09 1.0803801 0.48129305
0.069 0.08 1.0815619 0.42699617
0.069 0.07 1.0996256 0.50812936
0.069 0.06 1.1384549 0.50599635
0.069 0.05 1.0752388 0.4811642
0.069 0.04 1.2356275 0.49900034
0.07 0.25 1.1195352 0.48378
0.07 0.2 1.1563795 0.3886005
0.07 0.25 1.1310189 0.5386152
0.07 0.25 1.1758115 0.52324176
0.07 0.2 1.1849871 0.5579825
0.07 0.15 1.0026028 0.42879403
0.07 0.14 1.1594827 0.603141
0.07 0.13 1.1356018 0.4566174
0.07 0.12 1.1052784 0.4995543
0.07 0.11 1.1934996 0.54559684
0.07 0.1 1.1631416 0.56500757
0.07 0.25 1.2129676 0.47475278
0.5 0.25 1.1729653 0.527795
0.5 0.2 1.1020582 0.50253785
0.5 0.15 1.0783083 0.5317933
0.5 0.14 1.2118486 0.6354635
0.5 0.13 1.088122 0.4558725
0.5 0.12 1.2555523 0.7437581
0.5 0.11 1.1630901 0.5357823
0.5 0.1 1.2626691 0.58375543
0.5 0.09 1.1691468 0.52339107
0.5 0.08 1.21011 0.5541135
0.5 0.07 1.062267 0.50061846
0.5 0.06 1.1443062 0.43045405
0.5 0.05 1.1874466 0.5956915
0.5 0.04 1.2019688 0.6858204
0.3 0.25 1.1655444 0.5620387
0.3 0.2 1.0627797 0.48751634
0.3 0.15 1.1776665 0.4953239
0.3 0.14 1.1345562 0.5197158
0.3 0.13 1.1154732 0.56442106
0.3 0.12 1.0604179 0.4819618
0.3 0.11 1.2719061 0.648811
0.3 0.1 1.21696 0.6202006
0.3 0.09 1.0658569 0.35125315
0.3 0.08 1.1626146 0.47583628
0.3 0.07 1.1100104 0.5510621
0.3 0.06 1.1001633 0.38350785
0.3 0.05 1.1612914 0.56418943
0.3 0.04 1.228596 0.5322313
0.25 0.25 1.189587 0.540628
0.25 0.2 1.1047314 0.41245225
0.25 0.15 1.0457386 0.48195437
0.25 0.14 1.1311029 0.5022857
0.25 0.13 1.2277743 0.57350606
0.25 0.12 1.1773765 0.4675175
0.25 0.11 1.1548115 0.56452435
0.25 0.1 1.124335 0.5719755
0.25 0.09 1.145988 0.5824044
0.25 0.08 1.0935585 0.56140447
0.25 0.07 1.1542865 0.490087
0.25 0.06 1.151097 0.38118812
0.25 0.05 1.2088697 0.56649137
0.25 0.04 1.0574125 0.41141927
0.2 0.25 1.1925004 0.55415434
