lengthscale l2regularizer rmse_mean rmse_std

0.275 0.6 1.1344945 0.66502756
0.275 0.65 1.14557 0.5273845
0.275 0.625 1.0720947 0.5055263
0.25 0.425 1.1156567 0.4637955
0.25 0.375 1.2216586 0.5954361
0.25 0.35 1.1269454 0.5125644
0.25 1.0 1.1607218 0.5703176
0.225 0.65 1.1736634 0.62375534
0.25 0.575 1.235967 0.6004415
0.225 0.575 1.1619793 0.45724648
0.25 0.4 1.1085575 0.46357316
0.25 0.275 1.0775225 0.60352
0.25 0.45 1.1637559 0.50501835
0.275 0.575 1.1580436 0.5759273
0.225 1.0 1.1673082 0.5098825
0.225 0.925 1.2285279 0.6189824
0.225 0.725 1.0933983 0.48160496
0.225 0.7 1.1551988 0.5054203
0.25 0.675 1.0690801 0.55560833
0.25 0.025 1.1365879 0.5997921
0.25 0.225 1.1238687 0.44721892
0.25 0.775 1.17297 0.59243935
0.25 0.6 1.1581298 0.4893371
0.225 0.6 1.0844022 0.46729416
0.225 0.975 1.123225 0.52794075
0.225 0.775 1.1686323 0.50499636
0.225 0.75 1.1886562 0.5400983
0.25 0.125 1.1415831 0.47998866
0.25 0.3 1.2433068 0.7211134
0.25 0.75 1.1886003 0.44690603
0.25 0.7 1.1600002 0.65802944
0.25 0.725 1.1918346 0.6468946
0.25 0.075 1.1009407 0.5649311
0.225 0.825 1.1350476 0.5541104
0.25 0.975 1.0961008 0.47800598
0.225 0.85 1.1826074 0.55789995
0.225 0.9 1.1052635 0.41362393
0.25 0.525 1.1374769 0.48731735
0.225 0.8 1.2121084 0.5338394
0.25 0.825 1.1164329 0.5476306
0.25 0.15 1.0615758 0.42562166
0.225 0.275 1.2083752 0.6477977
0.225 0.675 1.1518946 0.6395437
0.25 0.05 1.263347 0.6223584
0.225 0.525 1.1324856 0.48388726
0.25 0.2 1.1122493 0.54838693
0.225 0.95 1.150486 0.4902124
0.225 0.15 1.0565236 0.42845616
0.225 0.375 1.0598752 0.4221418
0.25 0.1 1.1162814 0.44040075
0.25 0.175 1.1915487 0.6078172
0.225 0.325 1.1122977 0.64792717
0.225 0.05 1.1511242 0.4872598
0.225 0.625 1.1927259 0.54521495
0.25 0.875 1.1997409 0.5298878
0.225 0.2 1.1607262 0.48884705
0.225 0.025 1.2049835 0.606776
0.225 0.35 1.141633 0.54413265
0.25 0.8 1.1140845 0.50054836
0.25 0.85 1.0833037 0.5815083
0.225 0.425 1.1337951 0.4851071
0.225 0.5 1.1569195 0.44061127
0.225 0.4 1.1685836 0.6930148
0.25 0.95 1.064831 0.49160513
0.225 0.475 1.1074817 0.54949397
0.225 0.25 1.2014418 0.7076441
0.25 0.25 1.1178881 0.51805514
0.25 0.925 1.134916 0.5450886
0.225 0.55 1.1450993 0.42280528
0.225 0.225 1.2026234 0.6120642
0.225 0.45 1.1156795 0.59531224
0.275 0.275 1.1567852 0.5093168
0.225 0.075 1.2195356 0.65426606
0.25 0.325 1.1992373 0.65034217
0.225 0.175 1.2393012 0.63147354
0.25 0.9 1.1285334 0.4715224
0.25 0.625 1.1685311 0.54542136
0.25 0.55 1.102278 0.5404064
0.225 0.1 1.1505262 0.5606009
0.225 0.125 1.1135174 0.44562897
0.25 0.5 1.1346165 0.55217224
0.25 0.475 1.1281325 0.5770198
0.225 0.875 1.06155 0.35620907
0.275 0.9 1.1513838 0.44828156
0.25 0.65 1.1753067 0.5986857
0.275 0.25 1.0660853 0.4958603
0.275 0.825 1.1102512 0.59049696
0.275 0.925 1.2131919 0.5358938
0.275 0.3 1.0854397 0.537269
0.275 0.675 1.1399341 0.61574614
0.275 0.8 1.148131 0.48951995
0.275 0.45 1.1214724 0.598283
0.275 0.475 1.118344 0.5888954
0.275 0.7 1.1709841 0.5331123
0.275 0.75 1.142375 0.4600858
0.275 0.525 1.0765748 0.5067225
0.275 0.55 1.11812 0.50266516
0.275 0.725 1.203022 0.547649
0.275 0.775 1.1740005 0.62890583
0.275 0.95 1.1164749 0.46968257
0.275 0.225 1.1232471 0.56236327
0.275 0.175 1.0694624 0.4981246
0.275 0.975 1.076577 0.46561292
0.275 0.5 1.0946068 0.48563024
0.275 0.125 1.2101614 0.7223535
0.275 0.1 1.1250098 0.56421036
0.275 0.2 1.1691024 0.6843486
0.275 1.0 1.1122764 0.5545975
0.275 0.075 1.1295667 0.54191154
0.275 0.025 1.1038008 0.51706076
0.275 0.325 1.178756 0.5845271
0.275 0.05 1.2042481 0.56270164
0.275 0.85 1.1924725 0.5413088
0.275 0.35 1.1423086 0.5753927
0.275 0.375 1.1200405 0.48210686
0.225 0.3 1.1668663 0.6085392
0.275 0.15 1.1492589 0.54147714
0.275 0.875 1.0884308 0.48988315
0.275 0.425 1.1749192 0.60206944
0.275 0.4 1.1302686 0.55967444
