lengthscale l2regularizer rmse_mean rmse_std pi_cov pi_sum

0.125 0.85 3.332725 1.171225 0.9019607843137255 46
0.2 0.2 2.7459579 1.7129045 0.9607843137254902 49
0.15 0.2 2.3636284 1.1927259 0.8823529411764706 45
0.125 0.65 2.8330169 0.86410767 0.9411764705882353 48
0.125 0.35 3.0876203 1.5779946 0.8627450980392157 44
0.1 0.9 4.232033 1.786148 0.9019607843137255 46
0.125 0.95 2.8754241 1.2515833 0.9607843137254902 49
0.15 0.25 2.9000301 1.8194048 0.9411764705882353 48
0.15 0.1 2.4736333 1.2716606 0.9411764705882353 48
0.2 0.5 2.4935105 1.131281 0.9215686274509803 47
0.1 0.95 4.1201167 2.5286076 0.9215686274509803 476
0.125 0.15 2.5101104 1.369632 0.9411764705882353 48
0.205 0.6 2.245791 1.8319229 0.9215686274509803 47
0.125 0.25 2.748614 1.1435097 0.9411764705882353 48
0.125 0.4 3.0196426 1.7336552 0.8823529411764706 45
0.125 0.6 3.1030107 1.3206406 0.9411764705882353 48
0.125 0.2 2.899437 1.0733203 0.9215686274509803 47
0.15 0.15 2.3951519 1.3146402 0.9215686274509803 47
0.2 0.4 2.386972 1.462746 0.9803921568627451 50
0.125 0.05 3.3809898 2.195318 0.9019607843137255 46
0.125 0.5 3.3271637 1.327334 0.9607843137254902 49
0.125 0.9 3.199869 1.3540403 0.9019607843137255 46
0.205 1.0 2.4957073 1.469238 0.9607843137254902 49
0.175 0.1 2.4491048 1.198482 0.9607843137254902 49
0.125 0.75 3.1011996 1.0353372 0.8823529411764706 45
0.125 0.8 3.0493655 1.1671374 0.9215686274509803 47
0.205 0.5 2.350063 1.3435701 0.9411764705882353 48
0.205 0.2 2.0670664 1.2062317 0.9803921568627451 50
0.2 0.25 2.4882932 1.4192151 0.9803921568627451 50
0.2 0.1 2.4194322 1.6919463 0.9215686274509803 47
0.2 0.6 2.8185267 1.6919608 0.9411764705882353 48
0.205 0.3 2.404221 1.6894931 1.0 51
0.2 0.3 2.4339113 1.4111127 0.9607843137254902 49
0.125 0.55 2.5513859 0.8403267 0.9019607843137255 46
0.125 1.0 2.9902244 1.5391382 0.9215686274509803 47
0.1 1.0 3.9187913 1.256379 0.9803921568627451 50
0.2 0.65 2.5075786 1.6818221 0.9411764705882353 48
0.2 0.8 2.517097 1.872733 0.9803921568627451 50
0.2 0.35 2.1993425 1.3992223 0.9803921568627451 50
0.125 0.1 2.9634223 1.2615712 0.9019607843137255 46
0.15 0.05 2.7077594 1.2035406 0.9215686274509803 47
0.2 0.95 2.5038524 1.5327901 0.8823529411764706 45
0.2 0.55 2.339113 1.3630624 0.9607843137254902 49
0.2 0.9 2.4947782 1.4628145 0.9411764705882353 48
0.2 0.15 2.182493 1.0902691 0.9411764705882353 48
0.21 0.55 2.421391 1.5465776 0.9215686274509803 47
0.205 0.55 2.5646732 1.5570034 0.9607843137254902 49
0.205 0.1 2.4536288 1.2423784 0.9411764705882353 48
0.175 0.15 2.1735098 1.3634169 0.9803921568627451 50
0.205 0.15 2.4821773 1.6543505 0.9019607843137255 46
0.205 0.65 1.8503304 1.0680305 0.9411764705882353 48
0.21 0.45 2.5323224 1.3700444 0.9411764705882353 48
0.21 0.2 2.1654894 1.2315646 0.9607843137254902 49
0.205 0.25 2.345717 1.7276626 0.9607843137254902 49
0.21 0.5 2.101722 1.3257667 0.9411764705882353 48
0.205 0.4 2.3612974 1.8286082 0.9411764705882353 48
0.2 0.45 2.4714785 2.2410893 0.9019607843137255 46
0.2 0.85 2.5685067 1.477628 0.9215686274509803 47
0.205 0.35 2.4840984 1.7998048 0.9215686274509803 47
0.21 0.1 2.4839349 1.3287499 0.9411764705882353 48
0.2 0.05 2.4595344 1.6800452 0.8823529411764706 45
0.175 0.45 2.3834448 1.1912198 0.8627450980392157 44
0.21 0.85 2.424272 0.8972641 0.9411764705882353 48
0.21 0.15 2.3326473 1.3307558 0.9411764705882353 48
0.21 0.75 2.336537 1.6855012 0.9607843137254902 49
0.21 0.25 2.261656 1.3149191 0.9411764705882353 48
0.21 0.8 2.4811833 1.6938637 0.9411764705882353 48
0.175 0.25 2.4648325 1.3191448 0.9607843137254902 49
0.175 0.9 2.1969771 1.2361381 0.8823529411764706 45
