lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum nll_mean nll_median nll_std

0.05 0.05 3.632113 3.635578 0.559550 0.941176 48 1.109150 0.979457 0.292681
0.05 0.10 3.642934 3.808660 0.655428 0.901961 46 1.226591 1.205401 0.339032
0.05 0.15 3.519999 3.542981 0.805736 0.921569 47 1.261542 1.122928 0.396403
0.05 0.20 3.870978 3.946699 0.728243 0.882353 45 1.412301 1.331414 0.543641
0.05 0.25 3.846309 3.873618 0.851060 0.882353 45 1.293189 1.068762 0.510716
0.05 0.30 3.434521 3.573084 0.700889 0.921569 47 1.157111 1.045018 0.295699
0.05 0.35 3.608887 4.280485 1.266656 0.941176 48 1.170538 1.027844 0.370719
0.05 0.40 3.522012 3.408334 0.833969 0.941176 48 1.206336 1.071518 0.320498
0.05 0.45 4.077399 4.235392 0.645772 0.941176 48 1.110084 1.153183 0.222343
0.05 0.50 3.990369 3.894166 0.654900 0.921569 47 1.270042 1.134561 0.462657
0.05 0.55 3.777646 3.820981 0.798535 0.882353 45 1.456646 1.290462 0.626654
0.05 0.60 3.984451 4.169002 1.294987 0.921569 47 1.171901 1.071813 0.334252
0.05 0.65 3.886621 4.109616 1.178100 0.901961 46 1.126281 1.100344 0.255605
0.05 0.70 4.426228 4.573168 0.909834 0.941176 48 1.003961 0.943900 0.184822
0.05 0.75 3.948165 3.838517 1.108430 0.921569 47 1.156463 1.014936 0.372445
0.05 0.80 3.761802 3.807784 0.628975 0.960784 49 1.130949 0.968596 0.338461
0.05 0.85 3.842675 3.633136 1.148738 0.941176 48 1.060747 0.995998 0.240842
0.05 0.90 4.143282 4.232682 0.805297 0.941176 48 1.231741 0.933590 0.776610
0.05 0.95 3.894634 3.840053 0.575744 0.941176 48 1.362127 1.208753 0.599175
0.05 1.00 3.571572 3.706319 0.665583 0.862745 44 1.772596 1.276888 1.458071
0.10 0.05 2.636818 2.252346 1.383752 0.941176 48 1.115449 1.034422 0.284531
0.10 0.10 3.019530 3.034402 0.948717 0.901961 46 1.177688 1.109069 0.331043
0.10 0.15 3.291149 2.950772 1.263942 0.921569 47 1.094042 1.046269 0.252515
0.10 0.20 2.954528 2.546530 1.186513 0.921569 47 1.205163 1.125432 0.373483
0.10 0.25 3.219677 3.207261 1.091053 0.901961 46 0.996620 0.897221 0.233959
0.10 0.30 2.489705 2.333160 1.092558 0.960784 49 1.186571 0.950881 0.447364
0.10 0.35 2.767586 2.715093 1.086319 0.921569 47 1.041404 0.986981 0.208618
0.10 0.40 3.002703 3.015041 0.905431 0.882353 45 1.103971 1.049514 0.238363
0.10 0.45 3.208070 3.075402 1.110155 0.960784 49 1.065278 1.102846 0.166558
0.10 0.50 2.956032 3.363085 1.350835 0.960784 49 1.009096 0.994888 0.140973
0.10 0.55 2.635121 2.556720 1.280339 0.901961 46 1.073686 0.983975 0.287221
0.10 0.60 2.766418 2.201938 1.379401 0.901961 46 1.109058 0.972741 0.381972
0.10 0.65 3.325114 3.309528 0.740618 0.901961 46 1.083129 1.111847 0.181219
0.10 0.70 2.805305 2.775585 0.791800 0.901961 46 1.035319 1.025697 0.201354
0.10 0.75 2.943360 2.595221 1.223515 0.901961 46 1.080333 1.028582 0.175100
0.10 0.80 3.095194 3.134315 1.529019 0.960784 49 1.077799 1.003499 0.318569
0.10 0.85 3.268545 3.691535 1.074019 0.960784 49 1.005716 0.969270 0.168992
0.10 0.90 3.075428 3.305820 0.800538 0.921569 47 1.004994 1.009928 0.127991
0.10 0.95 2.896069 2.808841 0.765845 0.921569 47 1.086101 1.064392 0.261187
0.10 1.00 2.937373 3.083473 1.136885 0.921569 47 1.074985 0.939042 0.291610
0.15 0.05 2.363225 2.190472 1.252359 0.941176 48 1.018229 0.950282 0.218808
0.15 0.10 2.525095 2.379050 1.299591 0.960784 49 1.049022 0.870499 0.300616
0.15 0.15 2.188606 1.896940 1.259249 0.901961 46 1.253517 1.252517 0.263508
0.15 0.20 2.362997 2.075840 1.068820 0.960784 49 1.035554 1.005266 0.269279
0.15 0.25 2.253147 2.225828 1.054080 0.941176 48 1.316531 0.946029 0.600384
0.15 0.30 2.099283 1.890747 1.212138 0.941176 48 1.057341 0.914883 0.416856
0.15 0.35 2.420541 2.293903 0.905294 0.901961 46 1.022517 0.929496 0.264229
0.15 0.40 2.125829 1.662993 1.125811 0.980392 50 1.089345 0.988232 0.361907
0.15 0.45 2.147986 1.953661 1.107747 0.901961 46 1.230484 1.197155 0.319932
0.15 0.50 1.744438 1.582694 0.974696 0.941176 48 1.369794 0.914888 1.339700
0.15 0.55 2.358510 1.855161 1.393019 0.941176 48 1.196440 0.925572 0.527782
0.15 0.60 2.351711 1.953555 1.059905 0.941176 48 0.907612 0.839285 0.152961
0.15 0.65 2.650340 2.730902 1.197680 0.941176 48 1.032469 0.980384 0.244495
0.15 0.70 2.747158 2.128779 1.153976 0.960784 49 1.076427 1.039256 0.250500
0.15 0.75 2.707388 2.618756 1.019272 0.941176 48 0.948832 0.903284 0.139791
0.15 0.80 2.403785 2.478237 0.856627 0.921569 47 1.019240 1.002514 0.177303
0.15 0.85 2.494343 2.031421 1.188625 0.882353 45 1.045730 1.016830 0.214765
0.15 0.90 2.128821 1.935863 0.920297 0.960784 49 1.039254 0.987250 0.209065
0.15 0.95 2.125561 2.063922 0.712800 0.960784 49 0.969045 0.983601 0.109831
0.15 1.00 2.412327 2.328276 1.343271 0.921569 47 1.159054 0.906515 0.434564
