lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum nll_mean nll_median nll_std

0.45 0.3 1.1656085 1.0772816 0.5621847 0.9411764705882353 48 1.0868622 0.97183865 0.28427812
0.45 0.2 1.1641805 1.127826 0.567227 0.9215686274509803 47 1.0979092 0.96469796 0.30629912
0.45 0.25 1.162987 1.0775404 0.55780005 0.9019607843137255 46 1.101669 0.97520626 0.29457107
0.05 0.45 4.481562 4.1286573 1.8372105 0.9411764705882353 48 1.2852222 1.0372825 0.49992368
0.05 0.4 4.4797077 4.183192 1.6744881 0.8823529411764706 45 1.31862 1.0468931 0.5708658
0.05 0.35 4.266175 3.7272685 1.8611895 0.9607843137254902 49 1.2873918 1.0524642 0.5181038
0.6 0.45 1.066972 1.0222738 0.49345776 0.9411764705882353 48 0.9837781 0.9565668 0.14845875
0.6 0.95 1.064884 1.0201313 0.49133247 0.9411764705882353 48 0.98110545 0.93742716 0.148898
0.65 0.8 1.066154 1.0316381 0.48888323 0.9607843137254902 49 0.974717 0.9351679 0.14847858
0.65 0.05 1.0694683 1.0328937 0.4879452 0.9607843137254902 49 0.9764799 0.9361583 0.14548887
0.6 0.85 1.0665194 1.0294418 0.49051434 0.9411764705882353 48 0.9820925 0.9389405 0.15066963
0.6 1.0 1.065945 1.0246882 0.4918311 0.9411764705882353 48 0.98228645 0.94629216 0.15036339
0.6 0.5 1.0668833 1.0112448 0.49327618 0.9411764705882353 48 0.9780633 0.9379345 0.14796495
0.6 0.75 1.0674329 1.0195714 0.49165633 0.9411764705882353 48 0.9796066 0.93904173 0.15052617
0.7 0.2 1.0594473 1.0165412 0.48832816 0.9607843137254902 49 0.9828232 0.9681195 0.14874268
0.6 0.65 1.0630653 1.0164616 0.49038106 0.9411764705882353 48 0.98219347 0.93751776 0.15079805
0.6 0.55 1.0609975 1.015239 0.49071857 0.9411764705882353 48 0.98385704 0.932569 0.15545918
0.7 0.05 1.0592519 1.0134046 0.48950106 0.9607843137254902 49 0.9816958 0.96709836 0.14924322
0.05 0.5 4.3545117 4.1277394 1.8730745 0.9215686274509803 47 1.3155955 1.0208125 0.6015985
0.6 0.9 1.066957 1.0143064 0.4927259 0.9411764705882353 48 0.98537445 0.95877635 0.1487508
0.6 0.35 1.0659728 1.019383 0.48870227 0.9411764705882353 48 0.9839754 0.9432292 0.15236606
0.7 0.1 1.0600717 1.0182498 0.4883748 0.9607843137254902 49 0.9819563 0.9683843 0.14785746
0.6 0.6 1.0638707 1.014086 0.49249136 0.9411764705882353 48 0.9840661 0.9500781 0.15068515
0.65 0.9 1.0646858 1.0239697 0.48808485 0.9607843137254902 49 0.9767394 0.93647754 0.14914368
0.65 0.65 1.0666025 1.0289176 0.48616838 0.9607843137254902 49 0.97811544 0.9442408 0.14696139
0.6 0.7 1.062982 1.021548 0.49124968 0.9411764705882353 48 0.98674643 0.94884706 0.15276118
0.65 0.85 1.0715665 1.0296578 0.4903857 0.9607843137254902 49 0.977022 0.94109976 0.14587349
0.65 1.0 1.0642135 1.031317 0.4900701 0.9607843137254902 49 0.97404814 0.9394249 0.14605264
0.65 0.6 1.0661683 1.0290897 0.48747045 0.9607843137254902 49 0.9772458 0.9357211 0.1480521
0.65 0.1 1.0711248 1.032433 0.48834008 0.9607843137254902 49 0.98097974 0.9388043 0.14935169
0.65 0.95 1.0651108 1.031518 0.48624787 0.9607843137254902 49 0.9802791 0.944111 0.14701341
0.7 0.15 1.0587982 1.017209 0.491137 0.9607843137254902 49 0.9826759 0.9749085 0.14791773
0.65 0.7 1.0676057 1.0300651 0.4885451 0.9607843137254902 49 0.9832443 0.9461588 0.15159592
0.7 0.25 1.0577452 1.0157421 0.48890263 0.9607843137254902 49 0.9844265 0.97906405 0.14826924
