lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum nll_mean nll_median nll_std

0.5 0.75 0.9139673 0.7415558 0.48543844 0.9411764705882353 48 1.0337012 0.97061074 0.27735683
0.5 0.7 0.91017705 0.7392261 0.48797315 0.9411764705882353 48 1.0320542 0.9697516 0.27733412
0.5 0.8 0.9127637 0.74238944 0.48622167 0.9411764705882353 48 1.0347131 0.97182757 0.27707824
0.05 0.4 1.2411505 0.9196681 0.6354483 0.9019607843137255 46 1.3342586 1.0107931 0.6185754
0.15 0.1 0.9975945 0.81256634 0.5890456 0.9411764705882353 48 1.1478689 0.95584023 0.49578506
0.05 0.35 1.2452413 0.9710051 0.59744346 0.9019607843137255 46 1.3241495 0.96624565 0.61479175
0.7 0.4 0.9552065 0.8258381 0.48219985 0.9215686274509803 47 1.0313631 0.95910823 0.25203997
0.7 0.05 0.96730566 0.8262423 0.47008047 0.9215686274509803 47 1.037173 0.9629057 0.24635734
0.65 0.75 0.964865 0.82589775 0.47656947 0.9215686274509803 47 1.0334404 0.9593234 0.25122127
0.65 0.85 0.9674495 0.8253114 0.47409132 0.9215686274509803 47 1.0343952 0.9593116 0.25157064
0.7 0.35 0.9675995 0.8257643 0.4700563 0.9215686274509803 47 1.0374398 0.96151817 0.24777907
0.7 0.1 0.9532038 0.82635283 0.483249 0.9215686274509803 47 1.0303622 0.96233094 0.25194818
0.7 0.25 0.9676158 0.825721 0.47077388 0.9215686274509803 47 1.0370239 0.9619354 0.24687093
0.65 0.8 0.9575628 0.7891365 0.47791252 0.9215686274509803 47 1.0282171 0.9592902 0.25089595
0.7 0.3 0.9653436 0.8259008 0.47225088 0.9215686274509803 47 1.036203 0.9601984 0.24752143
0.65 0.95 0.96537226 0.8258836 0.47527108 0.9215686274509803 47 1.034463 0.96014297 0.25256056
0.7 0.15 0.9536327 0.8266766 0.4834217 0.9215686274509803 47 1.0311925 0.95994943 0.24965921
0.75 0.7 0.966774 0.8263943 0.47190228 0.9215686274509803 47 1.0385983 0.95963097 0.25197038
0.05 0.45 1.2487593 1.0066123 0.60667855 0.8823529411764706 45 1.3375283 0.9808508 0.61361897
0.65 1.0 0.968701 0.8261161 0.4745864 0.9215686274509803 47 1.0352197 0.96086764 0.25222933
0.65 0.9 0.96778476 0.8254806 0.4739147 0.9215686274509803 47 1.0347604 0.95971906 0.25221553
0.05 0.3 1.2292433 0.9488853 0.6035031 0.9019607843137255 46 1.328339 0.99974275 0.6051654
0.65 0.65 0.96373415 0.8248084 0.4761589 0.9215686274509803 47 1.032818 0.9590406 0.2505281
0.75 0.15 0.96508515 0.8260474 0.4721425 0.9215686274509803 47 1.0371507 0.96197474 0.24819021
0.05 0.5 1.2087632 0.9136682 0.60289913 0.9019607843137255 46 1.3179548 0.96100235 0.6259524
0.7 0.95 0.9566838 0.8264195 0.4815068 0.9215686274509803 47 1.0332733 0.9613184 0.2556532
0.8 0.05 0.9650877 0.8261544 0.47234938 0.9215686274509803 47 1.037183 0.95977813 0.24955079
0.65 0.7 0.9669592 0.82518864 0.4742656 0.9215686274509803 47 1.0337552 0.9592943 0.25036618
0.7 1.0 0.95972407 0.8265748 0.4793349 0.9215686274509803 47 1.0342216 0.96207124 0.25530827
0.75 0.05 0.96501446 0.8262508 0.47225583 0.9215686274509803 47 1.0369483 0.96122086 0.24792524
0.75 0.75 0.96696156 0.8262801 0.4717445 0.9215686274509803 47 1.0389825 0.96002996 0.25239557
0.75 1.0 0.9711727 0.82722265 0.46802187 0.9215686274509803 47 1.0414326 0.9649282 0.2528113
0.75 0.95 0.96814215 0.82703847 0.47061732 0.9215686274509803 47 1.0404873 0.9636762 0.2532884
0.7 0.2 0.96505034 0.82659817 0.47215602 0.9215686274509803 47 1.0368986 0.96226394 0.24703972
0.75 0.85 0.9704796 0.826923 0.46883976 0.9215686274509803 47 1.0403783 0.96179485 0.25229305
0.75 0.8 0.96725637 0.8264674 0.47152004 0.9215686274509803 47 1.039336 0.9607215 0.2526865
0.75 0.1 0.9649445 0.82618153 0.4722555 0.9215686274509803 47 1.0368807 0.96082914 0.248114
0.75 0.9 0.967827 0.82697505 0.47100863 0.9215686274509803 47 1.040081 0.962674 0.25308007
0.8 0.1 0.96372527 0.82604 0.4735905 0.9215686274509803 47 1.0372565 0.9604771 0.24965985
0.05 0.6 1.2389336 0.94124 0.6210486 0.9019607843137255 46 1.3369347 0.97256804 0.63142854
0.1 0.35 1.1949866 0.98846316 0.5865326 0.9019607843137255 46 1.2216346 0.96245575 0.5119346
0.15 0.5 0.95774335 0.7955278 0.5147712 0.9411764705882353 48 1.1481266 0.9531585 0.5033801
0.05 0.65 1.2161573 0.9018879 0.6119772 0.9019607843137255 46 1.3350308 0.97943443 0.6323722
0.05 0.8 1.2366002 0.92121226 0.64097023 0.9019607843137255 46 1.328973 0.9647299 0.6240237
0.1 0.4 1.1687996 1.0153203 0.5434142 0.9019607843137255 46 1.2087777 0.954046 0.48730728
0.15 0.3 0.9764379 0.7924373 0.53262913 0.9411764705882353 48 1.1448753 0.95550346 0.49381706
0.15 0.45 0.96678984 0.7764834 0.53433186 0.9411764705882353 48 1.1330242 0.9600398 0.44529065
0.15 0.55 0.9697076 0.7944013 0.52387536 0.9411764705882353 48 1.1636314 0.9580318 0.54064703
0.15 0.6 0.9523696 0.778304 0.51192456 0.9411764705882353 48 1.1353029 0.9546066 0.46088865
0.1 0.15 1.1893597 0.99100715 0.5960636 0.9019607843137255 46 1.2427619 0.971657 0.54333365
0.15 0.75 0.9726585 0.7706123 0.5050841 0.9411764705882353 48 1.1302897 0.9647308 0.45221162
0.05 0.95 1.2362993 0.89992297 0.6349024 0.9019607843137255 46 1.3521096 0.99037254 0.6288474
0.1 0.05 1.1698916 0.9879058 0.55108196 0.9215686274509803 47 1.2067075 0.9305204 0.49387226
0.15 0.4 0.97623396 0.7926514 0.5462481 0.9411764705882353 48 1.1321776 0.9575695 0.44500312
0.2 0.15 1.0187706 0.83116275 0.4443837 0.9019607843137255 46 1.2375988 0.97112906 0.55732954
0.15 0.35 0.98007596 0.8252146 0.51324564 0.9411764705882353 48 1.1426876 0.95154285 0.5001487
0.15 0.7 0.98088866 0.80158603 0.49557105 0.9411764705882353 48 1.1276109 0.95749176 0.45026803
0.1 0.2 1.1876302 1.0347395 0.5595309 0.9019607843137255 46 1.2225368 0.948459 0.51629025
0.2 0.1 0.997636 0.86059546 0.4566722 0.9215686274509803 47 1.2555535 0.9292281 0.59918123
0.2 0.05 0.9979254 0.8444838 0.46300912 0.9411764705882353 48 1.2219287 0.9320827 0.5823247
0.05 0.75 1.2548468 0.96340686 0.62270933 0.9019607843137255 46 1.3424885 0.96811044 0.63122356
0.2 0.5 0.99688816 0.8396424 0.4459993 0.9019607843137255 46 1.2358072 0.98349226 0.5368918
0.2 0.4 0.9995812 0.8255703 0.46153152 0.9215686274509803 47 1.2067053 0.9460045 0.5290872
0.1 0.8 1.1457658 1.001938 0.5196601 0.9019607843137255 46 1.2169346 0.98841 0.49390236
0.15 1.0 0.97288764 0.8145428 0.46536797 0.9215686274509803 47 1.1338013 0.9841641 0.45160046
0.05 0.85 1.2440617 0.96303236 0.6226975 0.9019607843137255 46 1.3632871 0.96873784 0.6704676
0.1 0.75 1.1394956 1.0113451 0.4974713 0.9019607843137255 46 1.1966792 0.9499198 0.46327585
0.1 0.9 1.146274 1.0050919 0.51828516 0.9019607843137255 46 1.2085874 0.96930146 0.47095466
0.1 0.65 1.1496294 1.00683 0.52366936 0.9019607843137255 46 1.2066367 0.9599352 0.48819607
0.1 0.45 1.1643207 0.9917815 0.53823423 0.9019607843137255 46 1.1865413 0.97533315 0.44043505
0.1 0.1 1.1905744 1.0076599 0.5779636 0.9019607843137255 46 1.2443836 0.9522049 0.56384665
0.1 0.5 1.1758223 1.012248 0.5444588 0.9019607843137255 46 1.2000631 0.9596096 0.4706646
0.1 0.6 1.1554868 0.994539 0.51921284 0.9019607843137255 46 1.2329931 0.9840402 0.51242137
0.15 0.2 0.9655296 0.80076915 0.5479172 0.9411764705882353 48 1.1574252 0.96938086 0.4971111
0.15 0.05 0.96734416 0.81045604 0.5348925 0.9411764705882353 48 1.1502035 0.9567586 0.50897115
0.1 0.7 1.1607236 0.9998824 0.5352311 0.9215686274509803 47 1.2282984 0.9867625 0.496145
0.5 0.65 0.9105238 0.73629355 0.4873823 0.9411764705882353 48 1.0333203 0.9688598 0.27715847
0.2 0.45 0.9958329 0.83318037 0.4598344 0.9215686274509803 47 1.2116973 0.9553459 0.54335254
0.05 1.0 1.2773666 0.9902418 0.6396835 0.8823529411764706 45 1.3561517 0.9696392 0.6249472
0.15 0.15 0.9697424 0.78896165 0.5594655 0.9215686274509803 47 1.1570092 1.0005642 0.47440487
0.1 0.55 1.1669002 1.0169065 0.524154 0.9019607843137255 46 1.2247512 0.99204385 0.48236993
0.2 0.35 0.9853034 0.8088646 0.45173198 0.8823529411764706 45 1.2474499 1.0033822 0.57239336
0.1 0.95 1.1566842 1.0119449 0.513931 0.9019607843137255 46 1.2151207 0.98162687 0.47509718
0.95 1.0 0.9869844 0.8295443 0.45686236 0.9215686274509803 47 1.0591544 1.007683 0.25355333
0.05 0.55 1.2215912 0.9082125 0.60577685 0.9019607843137255 46 1.3364624 0.983379 0.6242585
0.15 0.25 0.98416346 0.7986063 0.55058396 0.9411764705882353 48 1.1467693 0.9575999 0.50648695
0.4 0.45 0.94550955 0.81540906 0.47375646 0.9607843137254902 49 1.0003034 0.94046617 0.20508283
0.1 1.0 1.1565441 1.0067289 0.53105503 0.9019607843137255 46 1.1920252 0.96387464 0.44948122
0.35 0.75 0.9194263 0.7900534 0.42609555 0.9411764705882353 48 1.044255 0.9506217 0.23206082
0.05 0.9 1.2344059 0.93050617 0.624077 0.9019607843137255 46 1.3516569 0.96860856 0.65568507
0.1 0.85 1.1509209 1.0142517 0.5005529 0.9019607843137255 46 1.2171804 0.95480967 0.48921442
0.4 0.75 0.92389643 0.79942775 0.42651045 0.9607843137254902 49 1.0442951 0.96680963 0.26280385
0.4 0.1 0.94623506 0.81770915 0.4727421 0.9607843137254902 49 0.9965819 0.9408208 0.19400652
0.5 0.1 0.90757877 0.7238418 0.48910922 0.9411764705882353 48 1.0332177 0.96550286 0.27315176
0.6 0.5 0.9292563 0.8058403 0.4798494 0.9411764705882353 48 1.0198182 0.91403437 0.26568136
0.45 1.0 0.929989 0.730274 0.47760442 0.9411764705882353 48 1.0277731 0.9299789 0.28010932
0.05 0.25 1.2149357 0.9527404 0.58660674 0.9019607843137255 46 1.3042796 0.981391 0.5983946
0.5 0.6 0.9092779 0.73331285 0.4880342 0.9411764705882353 48 1.033107 0.9687757 0.27680674
0.05 0.2 1.2355987 0.95353687 0.6359621 0.9019607843137255 46 1.2940677 0.9683601 0.59969234
0.5 0.55 0.9091474 0.7276925 0.4877855 0.9411764705882353 48 1.0318633 0.9673229 0.27608874
0.75 0.2 0.9651036 0.8262548 0.47221237 0.9215686274509803 47 1.0371187 0.9610097 0.24847516
0.45 0.95 0.93835604 0.77059937 0.47482488 0.9607843137254902 49 1.0282096 0.92749476 0.2789265
0.35 0.9 0.91931885 0.78165865 0.4253827 0.9411764705882353 48 1.0482786 0.958354 0.2387292
0.35 0.25 0.92895985 0.80323696 0.41968733 0.9607843137254902 49 1.059387 0.94754773 0.26270905
0.35 0.2 0.97143537 0.83033895 0.4126352 0.9411764705882353 48 1.0695696 0.9492484 0.2788826
0.75 0.25 0.9650866 0.8259535 0.47218847 0.9215686274509803 47 1.0371792 0.9612404 0.24863654
0.4 0.2 0.9260011 0.81748736 0.4225339 0.9607843137254902 49 1.0430033 0.9631078 0.2578473
0.2 0.25 1.0042651 0.8429316 0.4543836 0.9411764705882353 48 1.2303841 0.93265164 0.5706381
0.15 0.85 0.97262114 0.7949009 0.48579836 0.9411764705882353 48 1.1251482 0.95809805 0.43869284
0.15 0.8 0.9639732 0.7708665 0.4846736 0.9411764705882353 48 1.1263596 0.95572424 0.45227194
0.55 0.95 0.9219948 0.75459284 0.482095 0.9411764705882353 48 1.0222318 0.92308795 0.26502708
0.35 0.95 0.9193859 0.7809354 0.42532602 0.9411764705882353 48 1.0519773 0.9637815 0.24323751
0.35 0.85 0.9196817 0.78002477 0.42511797 0.9607843137254902 49 1.0536793 0.9544275 0.25040066
0.75 0.5 0.9657947 0.8257307 0.47223264 0.9215686274509803 47 1.0375509 0.9592359 0.25029406
0.05 0.7 1.2347416 0.89682055 0.6283619 0.9019607843137255 46 1.3141245 0.9754899 0.598738
0.75 0.6 0.96630365 0.8260205 0.47215074 0.9215686274509803 47 1.0379566 0.95883334 0.25118175
0.75 0.45 0.96557033 0.8257265 0.4722443 0.9215686274509803 47 1.0373266 0.9594557 0.24988233
0.2 0.3 0.9949767 0.8108127 0.4703374 0.9019607843137255 46 1.2276497 0.9648918 0.57204515
0.15 0.9 1.0076959 0.8238 0.47962737 0.9411764705882353 48 1.1209425 0.9549643 0.4525229
