lengthscale l2regularizer bma_mean_rmse_mean bma_mean_rmse_median bma_mean_std bma_mean_cov bma_rmse_mean bma_rmse_median bma_std bma_cov bae_rmse_mean bae_rmse_median bae_std bae_cov


0.66 5.0 0.98316604 0.8892796 0.34249136 0.8431372549019608 0.97303295 0.88290083 0.33060223 0.8431372549019608 2.744303 3.2456532 1.1435293 0.9411764705882353
0.05 0.9 1.2130735 0.9690105 0.70310074 0.8627450980392157 1.1898693 0.9555441 0.70932686 0.9019607843137255 2.923568 3.0821939 0.9335444 0.9019607843137255
0.05 1.0 1.2089671 0.9650058 0.7428375 0.8823529411764706 1.1865561 0.950593 0.74883395 0.9019607843137255 3.0180311 3.1535392 0.9460516 0.9019607843137255
0.1 0.85 1.1894846 1.0706127 0.49807507 0.8823529411764706 1.1705291 1.033751 0.49414802 0.9019607843137255 2.881107 3.1163702 0.91539747 0.9019607843137255
0.1 0.65 1.1495289 0.9975893 0.4829074 0.9019607843137255 1.1300374 0.9706312 0.4806703 0.9215686274509803 2.7716327 2.9622495 0.9108972 0.9019607843137255
0.1 0.6 1.1430621 0.9889966 0.44901115 0.8823529411764706 1.1235354 0.9716917 0.44750667 0.8823529411764706 2.778664 2.9763026 0.92236465 0.9215686274509803
0.15 0.6 0.9438375 0.81558686 0.4375445 0.8627450980392157 0.9318698 0.77694637 0.4309337 0.8431372549019608 2.7798305 2.9319558 1.0302769 0.9019607843137255
0.1 0.55 1.1327627 1.0054325 0.47935554 0.9019607843137255 1.1123863 0.9869021 0.47805464 0.9215686274509803 2.6845603 2.9213848 0.8653068 0.9215686274509803
0.1 0.8 1.1875283 1.105512 0.49666756 0.8823529411764706 1.1691804 1.0687643 0.49388343 0.9215686274509803 2.8917174 3.242458 0.9407314 0.9019607843137255
0.15 0.05 1.0667623 1.0495131 0.4723686 0.8431372549019608 1.0179359 1.0233053 0.48790607 0.8823529411764706 1.6008549 1.4909074 0.51857954 0.9411764705882353
0.15 0.9 0.94789314 0.83113146 0.41846183 0.9019607843137255 0.93563664 0.8183162 0.41348258 0.8823529411764706 2.8218408 2.9708586 0.99796057 0.9215686274509803
0.05 0.05 1.141629 1.1701493 0.52036345 0.9019607843137255 1.1007855 1.1034672 0.5353226 0.9019607843137255 1.8922977 1.848024 0.7818879 0.9607843137254902
0.05 0.15 1.0813807 0.9742037 0.5791725 0.8235294117647058 1.0515702 0.944719 0.58619046 0.8431372549019608 2.1257374 1.9655979 0.788882 0.9215686274509803
0.05 0.55 1.1778909 0.9978485 0.64160275 0.8431372549019608 1.1531069 0.992465 0.6493135 0.8823529411764706 2.9484916 2.9884608 0.9377316 0.9019607843137255
0.15 0.1 1.0135281 0.90353703 0.47898793 0.8823529411764706 0.9812645 0.8752786 0.48785377 0.8823529411764706 1.8969167 2.0027103 0.76844144 0.9607843137254902
0.1 0.9 1.1877124 1.0839484 0.5139218 0.8823529411764706 1.1695002 1.0472779 0.51019233 0.9019607843137255 2.858742 3.194891 0.94100785 0.9019607843137255
0.1 0.7 1.1626334 1.0488889 0.51802915 0.9019607843137255 1.1443499 1.0113769 0.5161211 0.9019607843137255 2.8264246 3.1611395 0.9095621 0.9215686274509803
