lengthscale l2regularizer bma_rmse_mean bma_rmse_median bma_std bma_cov nll_bma_mean nll_bma_median bae_rmse_mean bae_rmse_median bae_std bae_cov nll_bae_mean nll_bae_median
0.05 1.3 0.9028508 0.8479496 0.3928854 0.9215686274509803 1.0760862 0.9210139 1.1362275 1.088073 0.4108989 0.9607843137254902 1.051468 0.9511978
0.05 1.35 0.90283823 0.84789205 0.39313766 0.9215686274509803 1.076686 0.9209726 1.1279831 1.0848722 0.42069396 0.9803921568627451 1.0632645 0.97979677
0.05 0.15 185142.48 167194.81 40441.066 0.9019607843137255 1.0372154 0.9655082 2.5720184 2.3736854 0.7602018 0.9019607843137255 1.1677649 0.9642134
0.05 0.1 2085413800.0 1883367300.0 455445380.0 0.9019607843137255 1.0372133 0.96541095 2.6780007 2.6624155 0.47922578 0.9019607843137255 1.1968894 0.9708957
0.05 0.45 0.90288454 0.8481972 0.39285958 0.9215686274509803 1.07613 0.92106855 2.1899464 2.102426 0.4221058 0.8823529411764706 1.1427511 0.9601873
0.05 0.3 0.902879 0.84820503 0.3928442 0.9215686274509803 1.0761203 0.9210739 2.7284 2.7243972 0.6372013 0.8823529411764706 1.291821 0.933573
0.05 0.4 0.9028857 0.84820557 0.39284402 0.9215686274509803 1.0761209 0.9210743 2.2655141 2.2134497 0.47913995 0.9215686274509803 1.2231313 0.990345
0.05 0.2 0.9027877 0.84794927 0.39304337 0.9215686274509803 1.0761576 0.92107916 2.5926692 2.4673114 0.7207279 0.9019607843137255 1.1527406 1.0131485
0.05 0.35 0.9028807 0.8482052 0.39283738 0.9215686274509803 1.0761197 0.92107415 2.4978175 2.5240936 0.51263475 0.9019607843137255 1.2868384 0.95598876
0.05 0.05 inf inf nan 1.0 nan nan 2.628589 2.5193906 0.7310989 0.9019607843137255 1.3475507 1.075705
0.05 0.25 0.9028783 0.8482045 0.39284068 0.9215686274509803 1.07612 0.92107356 2.433011 2.2733479 0.4724849 0.9019607843137255 1.1696172 1.0032382
0.05 0.5 0.90289617 0.84820557 0.39286166 0.9215686274509803 1.0761204 0.921069 2.142988 1.9579189 0.70829964 0.9215686274509803 1.1685742 0.9095198
0.05 1.0 0.90290457 0.8482195 0.3928577 0.9215686274509803 1.0760854 0.9210439 1.2972585 1.2161143 0.4324869 1.0 0.964447 0.91067386
0.05 0.9 0.90289354 0.8482145 0.39284116 0.9215686274509803 1.0761207 0.9210427 1.4068538 1.2052659 0.4409149 0.9607843137254902 1.0505105 0.8973706
0.05 0.65 0.9028926 0.8481984 0.39285323 0.9215686274509803 1.0761234 0.9210703 1.7132082 1.4345984 0.5158906 0.9607843137254902 1.1434811 0.9142355
0.05 0.95 0.9029053 0.8482193 0.392857 0.9215686274509803 1.0760845 0.9210433 1.3572072 1.2027981 0.40483725 0.9411764705882353 1.0359821 0.9107889
0.05 0.85 0.9028979 0.8482071 0.3928706 0.9215686274509803 1.0761214 0.92106247 1.4319044 1.3683293 0.3399951 0.9215686274509803 1.1371773 0.96650827
0.05 1.05 0.9028265 0.84797394 0.39288303 0.9215686274509803 1.0760871 0.9210446 1.2369486 1.1387141 0.4173219 0.9607843137254902 0.99227875 0.91242635
0.05 1.1 0.9028352 0.84797406 0.39290354 0.9215686274509803 1.076093 0.9210564 1.2364779 1.1449711 0.44563034 0.9803921568627451 0.9781396 0.9091195
0.05 1.15 0.902827 0.847975 0.3928828 0.9215686274509803 1.0760922 0.9210466 1.2312405 1.1450973 0.44197357 0.9607843137254902 1.0263916 0.9083028
0.05 1.2 0.9028482 0.8479756 0.39286506 0.9215686274509803 1.0760931 0.9210472 1.1472503 1.091801 0.41045776 1.0 1.0138116 0.90816134
0.05 1.5 0.9028067 0.84783554 0.39313173 0.9215686274509803 1.0765585 0.92097694 1.125867 1.0945882 0.46810892 0.9803921568627451 1.0490246 0.94632214
0.05 2.0 0.9028599 0.8479403 0.39314532 0.9215686274509803 1.0765773 0.9209679 1.0462545 1.014042 0.48479265 1.0 1.0249423 0.9393606
0.05 1.45 0.9028082 0.8478357 0.39314732 0.9215686274509803 1.0765532 0.92096925 1.1187794 1.0288748 0.46699455 1.0 0.9914663 0.9317778
0.05 1.4 0.9028279 0.847874 0.3931358 0.9215686274509803 1.07669 0.9209802 1.1416653 1.0361228 0.46052814 0.9803921568627451 1.0367556 0.9318062
0.05 1.8 0.9028376 0.84783673 0.39318383 0.9215686274509803 1.0765635 0.92095757 1.0700049 1.030464 0.47381213 1.0 1.018195 0.9340263
0.05 1.75 0.9028371 0.84783685 0.39318445 0.9215686274509803 1.0765597 0.92095673 1.0817223 1.0277995 0.4786379 1.0 1.0093548 0.9243686
0.05 1.95 0.90283865 0.84788036 0.39315075 0.9215686274509803 1.0765632 0.9209349 1.0578898 1.014502 0.48712093 1.0 1.0188547 0.91858035
0.05 1.25 0.9028531 0.84797555 0.39287335 0.9215686274509803 1.0760945 0.9210417 1.1690227 1.1294355 0.40645728 0.9803921568627451 1.0242071 0.91774607
