lengthscale l2regularizer bae_rmse_mean bae_rmse_median bae_std bae_cov nll_bae_mean nll_bae_median
5.0 5.0 1.0045359 0.7902261 0.4237867 0.9019607843137255 0.9353705 0.9228191
0.05 0.3 2.9891434 3.0449455 0.81216544 0.9411764705882353 1.2722207 1.1541399
0.05 0.35 2.9005575 3.0165472 0.8728863 0.9411764705882353 1.1367284 1.0261068
0.05 0.05 3.4761393 3.5800097 0.8139559 0.9019607843137255 1.3721844 1.2644937
0.05 0.2 3.1241353 3.2880795 0.851107 0.9411764705882353 1.2246257 1.045791
0.05 0.25 3.1846 3.2539082 1.165714 0.9411764705882353 1.1472019 1.0450673
0.05 0.55 2.4650323 2.5254169 0.58999276 0.9411764705882353 1.1013633 0.9346697
0.05 0.6 2.242485 2.4390569 0.6512165 0.9019607843137255 1.1726081 1.048754
0.05 0.1 3.5382414 3.6672604 1.0062588 0.9019607843137255 1.2219876 1.0520556
0.05 0.95 1.676466 1.63118 0.4000456 0.9411764705882353 1.0481544 0.93872714
0.05 0.9 1.737614 1.6413457 0.42772698 0.9215686274509803 1.1620611 0.9072821
0.05 0.85 1.879038 1.8212142 0.4247902 0.9411764705882353 1.1358451 0.94563377
0.05 0.15 3.3683445 3.678256 0.9174731 0.9215686274509803 1.3280526 1.1341039
0.05 0.45 2.5838563 2.5639482 0.6797305 0.9411764705882353 1.2651728 1.1434078
0.05 0.5 2.5770006 2.668454 0.7858007 0.9411764705882353 1.1664511 1.017372
0.05 1.0 1.6001276 1.5290444 0.36061713 0.9411764705882353 1.0966041 0.9197173
0.05 1.05 1.5421458 1.4322975 0.38848072 0.9411764705882353 1.0298393 0.8966658
0.05 1.6 1.2637746 1.171663 0.45494843 1.0 0.97984076 0.9486436
0.05 1.75 1.2293812 1.1100335 0.49884355 1.0 0.9643076 0.913507
0.05 1.65 1.2794815 1.1707914 0.48286256 1.0 1.0034889 0.95557106
0.05 1.7 1.2531062 1.1628417 0.47685954 1.0 0.9964137 0.91285425
0.05 1.85 1.2440748 1.1431953 0.49484402 1.0 1.0100403 0.9152069
0.05 1.9 1.2361845 1.1762038 0.51658374 1.0 1.0454106 0.9194766
0.05 1.95 1.2516593 1.1275113 0.447071 0.9803921568627451 0.9967262 0.9440044
0.05 1.1 1.4557177 1.2988064 0.40622708 0.9411764705882353 1.0061221 0.8971052
0.05 2.1 1.2634822 1.1353319 0.5039754 0.9803921568627451 1.0456061 0.96555555
0.05 1.15 1.4420676 1.3399591 0.40072268 0.9607843137254902 1.0626756 0.90288365
0.05 1.55 1.3170356 1.2209187 0.5111065 1.0 0.9581721 0.9272835
0.05 2.0 1.2249676 1.1316869 0.49092525 1.0 1.0013782 0.9190662
0.05 2.05 1.237323 1.1219399 0.54343235 0.9803921568627451 1.0162408 0.9358609
0.05 1.8 1.2872051 1.1512146 0.5175021 1.0 1.0077876 0.9200794
0.05 1.3 1.3641628 1.298075 0.39200276 0.9803921568627451 0.98255444 0.90584904
0.05 1.25 1.3733104 1.2343715 0.4159586 0.9411764705882353 1.0158241 0.8963
0.05 1.45 1.3232774 1.2646668 0.40375945 1.0 0.98701286 0.9376907
0.05 2.15 1.2298942 1.1086899 0.51074684 0.9803921568627451 1.0012497 0.9362862
0.05 2.2 1.2268957 1.1100967 0.5263847 0.9803921568627451 0.9956894 0.92519146
0.05 2.5 1.2240826 1.1009724 0.5501499 0.9803921568627451 1.0146865 0.9458281
0.05 1.4 1.2992338 1.2465749 0.3984428 0.9607843137254902 0.99590355 0.94222474
0.05 2.35 1.2289424 1.1059109 0.53134567 0.9803921568627451 1.0102606 0.93960845
0.05 2.7 1.2199737 1.100332 0.549646 0.9803921568627451 1.0174235 0.9433731
0.05 2.8 1.2160285 1.098677 0.5366442 0.9803921568627451 1.0196844 0.9451599
0.05 2.25 1.2300372 1.1093695 0.52320427 0.9803921568627451 0.99951285 0.93560934
0.05 2.75 1.209819 1.0996258 0.53053695 0.9803921568627451 1.02002 0.94756067
0.05 2.95 1.2142878 1.099177 0.5265051 0.9803921568627451 1.02066 0.95004964
0.05 2.3 1.2197568 1.1061449 0.5084898 0.9803921568627451 1.0016668 0.9331349
0.05 2.9 1.2293942 1.1000938 0.54518086 0.9803921568627451 1.0148891 0.9472478
0.05 3.0 1.2165152 1.0980719 0.52958846 0.9803921568627451 1.019002 0.95431495
0.05 3.1 1.2185196 1.0991381 0.5220607 0.9803921568627451 1.0266998 0.9598856
0.05 3.15 1.233024 1.0981611 0.5437213 0.9803921568627451 1.0305637 0.9591747
0.05 3.25 1.212449 1.0947993 0.531003 0.9803921568627451 1.0264145 0.9621257
0.05 3.2 1.2225581 1.0972946 0.53557587 0.9803921568627451 1.0304314 0.96437275
0.05 3.05 1.2238477 1.1083221 0.5203475 0.9803921568627451 1.0260034 0.9553503
0.05 3.3 1.2219682 1.0939982 0.5239516 0.9803921568627451 1.0284244 0.96285665
0.05 3.35 1.2189249 1.0932186 0.5259716 0.9803921568627451 1.0302042 0.964712
0.05 3.4 1.2193419 1.0925807 0.5290896 0.9803921568627451 1.0288688 0.965345
0.05 3.55 1.2158676 1.0886637 0.5310573 0.9803921568627451 1.0311836 0.96527845
0.05 3.5 1.2182022 1.0901275 0.52881855 0.9803921568627451 1.0271381 0.965127
0.05 3.45 1.2172729 1.0906781 0.52862984 0.9803921568627451 1.0319475 0.9656905
0.05 3.6 1.2215886 1.0897224 0.5314191 0.9803921568627451 1.0293895 0.96572614
0.05 3.75 1.2132112 1.0793006 0.53449583 0.9803921568627451 1.0238549 0.95604515
0.05 4.05 1.2261702 1.1024079 0.5343971 0.9803921568627451 1.0212783 0.96333873
0.05 4.0 1.2209119 1.0884054 0.5337378 0.9803921568627451 1.0243772 0.9623349
0.05 4.25 1.2158533 1.0745642 0.5357957 0.9803921568627451 1.0233301 0.9614031
0.05 4.15 1.2177562 1.0859437 0.54563934 0.9803921568627451 1.0256225 0.96509886
0.05 4.2 1.2211548 1.0775161 0.5544442 0.9803921568627451 1.0229888 0.95990384
0.05 4.3 1.2115353 1.0705922 0.538953 0.9803921568627451 1.0232259 0.9613534
0.05 4.35 1.2186173 1.07546 0.5349093 0.9607843137254902 1.0226663 0.9602495
0.05 4.4 1.2181535 1.0765661 0.53531754 0.9803921568627451 1.0214648 0.96152663
0.05 4.8 1.2236165 1.070846 0.5407693 0.9607843137254902 1.0208228 0.96079075
0.05 4.45 1.2180759 1.0763004 0.53379685 0.9803921568627451 1.021866 0.9630964
0.05 4.75 1.2225025 1.0700964 0.5391051 0.9803921568627451 1.0227203 0.9662969
0.05 4.55 1.2268995 1.0709352 0.5410887 0.9607843137254902 1.0226227 0.9591238
0.05 4.6 1.2203388 1.0686332 0.5384355 0.9803921568627451 1.0208236 0.95913815
0.1 0.05 4.3279023 3.930518 2.2100496 0.9019607843137255 1.305152 1.0116107
0.05 4.65 1.2231784 1.076781 0.5399963 0.9803921568627451 1.0173877 0.964093
0.05 4.7 1.2250155 1.0717095 0.5460938 0.9803921568627451 1.0196447 0.96058726
0.05 4.85 1.2233889 1.0731314 0.54206944 0.9803921568627451 1.0196997 0.96072006
0.05 4.95 1.2189072 1.0707234 0.53242105 0.9803921568627451 1.0220221 0.96745574
0.05 4.9 1.22166 1.0834455 0.53077203 0.9803921568627451 1.0224108 0.96452737
0.1 0.6 3.3041363 2.9601514 1.5857964 0.8627450980392157 1.2925979 0.9754405
0.05 5.0 1.2220985 1.0678711 0.52478254 0.9803921568627451 1.0257407 0.968657
0.1 0.25 4.171666 3.622233 2.3123825 0.8823529411764706 1.4055973 1.2558634
0.1 0.2 4.218679 3.7799137 2.406156 0.8823529411764706 1.2979051 1.0254794
0.1 0.1 4.338762 3.8282838 2.3267007 0.8627450980392157 1.33747 1.0731372
0.1 0.4 3.8712273 3.4208374 1.8947399 0.8627450980392157 1.3266805 1.0038507
0.1 0.15 4.473306 4.3503933 2.0920184 0.9019607843137255 1.3769976 1.1757464
0.1 0.45 3.6841252 3.3161526 1.7693183 0.8627450980392157 1.3210337 1.0544298
0.1 0.65 3.2401762 2.9766912 1.3194666 0.8627450980392157 1.2971324 0.96873105
0.1 0.5 3.5421226 3.132689 1.6959033 0.8627450980392157 1.2907037 1.0022944
0.1 0.3 4.157322 3.6768546 1.9369646 0.8627450980392157 1.5172796 1.431493
0.1 0.35 3.770419 3.3170385 1.9404784 0.8823529411764706 1.2925811 0.985742
0.1 0.7 3.036897 2.645393 1.3277923 0.8627450980392157 1.2280291 0.9065579
0.1 3.05 1.4867401 1.2873273 0.6111101 0.9411764705882353 1.1619514 1.152554
0.1 0.8 2.83237 2.4308522 1.1887437 0.8627450980392157 1.2813865 0.9316486
0.1 0.85 2.7726257 2.4452064 1.0448143 0.8627450980392157 1.3273317 0.98201823
0.1 1.25 2.1106546 2.0256004 0.8290352 0.9215686274509803 1.3018026 0.94560707
0.1 1.15 2.2015436 2.115961 0.82192546 0.8823529411764706 1.3502048 0.9307935
0.1 2.1 1.6175984 1.3965793 0.73093504 0.9803921568627451 1.1018934 1.0467125
0.1 1.4 1.9399452 1.7531705 0.743267 0.9019607843137255 1.206519 0.9387872
0.1 1.1 2.271332 2.0519857 0.81968635 0.8823529411764706 1.3246907 0.9240496
0.1 1.75 1.7477736 1.4537505 0.7590278 0.9607843137254902 1.1104324 1.032213
0.1 0.9 2.6365643 2.2832298 1.005203 0.8823529411764706 1.2951732 0.9534707
0.1 1.05 2.381785 2.1230395 0.87843984 0.8823529411764706 1.3155174 0.92888176
0.1 1.7 1.776784 1.4701416 0.76410663 0.9411764705882353 1.1452202 1.0592167
0.1 2.3 1.5840319 1.3731751 0.7013339 0.9803921568627451 1.1076437 1.0615873
0.1 1.55 1.8633057 1.513 0.768507 0.9411764705882353 1.1856663 1.0219053
0.1 1.3 2.0507977 1.851419 0.83491117 0.9019607843137255 1.2752222 0.95775974
0.1 0.95 2.5042813 2.135301 0.9395547 0.8823529411764706 1.2344307 0.92334765
0.1 1.85 1.6900824 1.4237278 0.72167295 0.9803921568627451 1.1193173 1.05639
0.1 1.35 2.0001028 1.8292089 0.7904489 0.9019607843137255 1.258947 0.95367324
0.1 1.95 1.652638 1.4121519 0.72867095 0.9803921568627451 1.1192056 1.1061095
0.1 1.65 1.7727321 1.4407632 0.7687061 0.9411764705882353 1.1471459 1.0075884
0.1 1.6 1.8116897 1.4566536 0.75864464 0.9411764705882353 1.1930498 1.049399
0.1 2.05 1.6142966 1.3994126 0.7461086 0.9803921568627451 1.0807725 1.0216482
0.1 1.8 1.7392417 1.4295835 0.78134036 0.9803921568627451 1.1293529 1.0622396
0.1 2.0 1.6389551 1.4054666 0.7187243 0.9803921568627451 1.0922393 1.0669225
0.1 2.6 1.5283085 1.3412032 0.6446972 0.9607843137254902 1.1248993 1.0995834
0.1 2.45 1.559505 1.35533 0.68976694 0.9607843137254902 1.1056894 1.0545756
0.1 1.5 1.8437756 1.5965652 0.7085636 0.9411764705882353 1.1687121 0.9778923
0.1 2.75 1.5181183 1.3260982 0.64283854 0.9411764705882353 1.146964 1.0992944
0.1 1.9 1.6662899 1.4172623 0.7132492 0.9803921568627451 1.112267 1.083458
0.1 2.65 1.531099 1.3238697 0.6627404 0.9411764705882353 1.1209067 1.0739594
0.1 2.55 1.5365806 1.3470465 0.66534024 0.9607843137254902 1.11055 1.088687
0.1 2.25 1.5986391 1.3798287 0.7016731 0.9803921568627451 1.0991242 1.0456655
0.1 2.7 1.5291386 1.3417375 0.644892 0.9411764705882353 1.1363803 1.1141627
0.1 2.15 1.621565 1.3853328 0.7363613 0.9803921568627451 1.0946144 1.0391456
0.1 2.4 1.5633098 1.3621964 0.6910329 0.9607843137254902 1.0991322 1.0533152
0.1 2.5 1.5514531 1.3494817 0.6759666 0.9607843137254902 1.1060395 1.0739956
0.1 2.8 1.5124243 1.3285363 0.6377695 0.9411764705882353 1.1458287 1.1238666
0.1 2.35 1.5645452 1.3664303 0.6810082 0.9803921568627451 1.1096041 1.0461006
0.1 2.2 1.5984863 1.3844377 0.71352893 0.9803921568627451 1.0989784 1.0388092
0.1 3.2 1.4635371 1.2491064 0.5946608 0.9411764705882353 1.154097 1.1069335
0.1 2.9 1.5001551 1.30829 0.62941915 0.9411764705882353 1.1465335 1.1334903
0.1 3.35 1.4480156 1.2378801 0.58697456 0.9411764705882353 1.1582283 1.1260166
0.1 2.95 1.4851999 1.2825298 0.6149327 0.9411764705882353 1.1445239 1.0812439
0.1 2.85 1.5018921 1.3201746 0.630335 0.9411764705882353 1.1444517 1.1285158
