lengthscale l2regularizer bne_rmse_mean bne_rmse_median bne_std bne_cov nll_bne_mean nll_bne_median
0.05 0.9 1.220198 1.2384052 0.29530895 0.9803921568627451 0.9182089 0.9027178
0.05 0.3 2.1636357 1.8432833 1.3212451 0.9411764705882353 0.9530749 0.9467979
0.05 0.5 1.4732379 1.5199571 0.44242713 0.9803921568627451 0.9388671 0.9304536
0.05 0.4 2.120454 1.5819142 1.5224015 0.9607843137254902 0.93484396 0.92791265
0.05 0.8 1.3645868 1.42853 0.2945451 0.9803921568627451 0.937787 0.92002165
0.05 0.7 2.1464615 1.5733128 1.7560946 0.9803921568627451 0.9441778 0.9314877
0.05 0.05 2.1362019 2.2119431 0.8063692 0.9215686274509803 0.9016102 0.9057853
0.05 0.2 3.4028776 1.6268141 4.3373613 0.9215686274509803 1.0364121 1.0610982
0.05 0.6 1.6750027 1.6842288 0.40528396 0.9803921568627451 1.114762 0.957754
0.05 1.5 1.1823145 1.0789045 0.39222732 1.0 0.96449614 0.9150574
0.05 1.3 1.1920803 1.0001198 0.35638934 0.9803921568627451 0.9816776 0.96833235
0.05 1.4 1.1326243 1.0076172 0.3530046 1.0 0.9781293 0.98410773
0.05 1.2 1.1770785 1.0228773 0.313003 0.9803921568627451 0.9475511 0.9122404
0.05 1.1 1.3142835 1.3469417 0.3509215 1.0 0.908752 0.91453826
0.05 1.0 1.2329665 1.1460989 0.36274064 1.0 0.9359661 0.92034453
0.05 0.1 2.5577152 1.5836623 1.883424 0.9411764705882353 0.9713678 0.91157985
0.05 1.8 1.0928975 0.9941623 0.39143565 1.0 0.98612803 0.93996567
0.05 1.7 1.1045705 0.99542487 0.39186358 1.0 0.99185306 0.91634166
0.05 3.0 1.077321 1.0569785 0.505653 0.9803921568627451 1.0686256 0.96727014
0.05 4.25 1.0697792 1.0750961 0.51719916 0.9803921568627451 1.1172076 1.0050905
0.05 2.75 1.0877106 1.0699301 0.47152504 1.0 1.0688037 0.9510966
0.05 1.9 1.1352664 1.0135944 0.4405008 1.0 0.994205 0.9495561
0.05 3.5 1.0717369 1.063391 0.5208722 0.9803921568627451 1.0872141 0.97200453
0.05 2.5 1.0967264 1.0542343 0.45001826 1.0 1.0633742 0.94864583
0.05 3.25 1.0774802 1.0938799 0.5074308 1.0 1.1076351 0.97323745
0.05 1.6 1.1244832 1.0073702 0.33934924 1.0 1.0339738 0.90625983
0.05 2.25 1.0958701 1.0531235 0.45807764 0.9607843137254902 1.1074489 0.9737125
0.1 0.3 2.236471 2.0245252 1.1542577 0.9215686274509803 1.2197218 0.96131814
0.05 4.5 1.0721215 1.0868351 0.5166649 0.9607843137254902 1.1120905 0.99827087
0.1 0.5 2.1810634 2.1948013 0.83624 0.9019607843137255 1.3604865 1.0423055
0.05 4.0 1.0823816 1.0975367 0.51049095 0.9803921568627451 1.1259009 1.0030606
0.05 3.75 1.0976173 1.1096984 0.5289379 0.9803921568627451 1.1301483 0.9851924
0.1 0.6 1.865266 1.8111827 0.7293267 0.8823529411764706 1.2348336 0.9873956
0.1 0.05 3.0165272 2.454389 1.5478851 0.9019607843137255 1.1390496 1.0049646
0.1 0.2 2.5954223 2.3224273 0.91432834 0.9215686274509803 1.0725808 0.9596266
0.05 5.0 1.0708952 1.0858091 0.5165619 0.9607843137254902 1.1109048 0.9963058
0.05 4.75 1.0782853 1.1020331 0.5248624 0.9607843137254902 1.1216314 1.0036879
0.05 2.0 1.0768117 1.0595037 0.4134183 1.0 1.0516587 0.92265165
0.1 0.4 3.2166498 2.4164639 2.1003022 0.8431372549019608 1.4695129 1.0167651
0.1 3.0 1.2041512 1.1145396 0.36581606 0.9607843137254902 1.1356353 1.0274693
0.1 0.9 2.0114434 1.9279497 0.62600493 0.9215686274509803 1.0659895 0.9195429
0.1 1.5 1.4534373 1.3304609 0.5102591 0.9607843137254902 1.0552043 1.0045698
0.1 3.25 1.1923468 1.1049447 0.3589743 0.9607843137254902 1.1682523 0.9916276
0.1 0.1 2.311413 1.9648254 0.95846564 0.9803921568627451 1.0864996 0.9660298
0.1 0.8 1.8456348 1.8895769 0.7101656 0.9215686274509803 1.0738875 0.9204841
0.1 1.0 1.779055 1.6531107 0.5801398 0.9607843137254902 1.0588907 0.92195
0.1 3.5 1.1635476 1.1067412 0.35226643 0.9607843137254902 1.1847838 0.98976207
0.1 2.75 1.2205725 1.1005995 0.38073695 0.9607843137254902 1.1213651 1.027464
0.1 1.2 1.5549461 1.5300058 0.5903702 0.9607843137254902 1.0422661 0.98019385
0.1 1.3 1.5493364 1.4764218 0.601919 0.9411764705882353 1.0595082 0.9205781
0.1 0.7 2.063296 2.1104994 0.6953751 0.9803921568627451 1.049517 0.9417356
