lengthscale l2regularizer bne_rmse_mean bne_rmse_median bne_std bne_cov nll_bne_mean nll_bne_median
0.05 0.8 559.96405 448.63837 480.76938 0.7450980392156863 1.8278602 1.4971621
0.05 0.7 521.5893 598.86566 322.40234 0.8235294117647058 1.7092829 1.6275437
0.05 0.6 496.72824 580.4264 251.6981 0.7843137254901961 1.7541794 1.6364329
0.05 0.05 777.18964 849.0986 480.0035 0.7843137254901961 1.5756445 1.4261546
0.05 0.5 632.4682 633.1999 369.97418 0.803921568627451 1.5453901 1.4179428
0.05 0.2 734.72565 721.6262 522.83887 0.803921568627451 1.5922245 1.4773047
0.05 0.1 761.99854 864.98486 462.63632 0.8235294117647058 1.7090937 1.4549612
0.05 0.9 433.63614 423.3119 258.6276 0.8431372549019608 1.7328271 1.626426
0.05 0.4 787.1203 699.9773 595.4715 0.8235294117647058 1.5857677 1.5688756
0.05 1.6 216.56657 202.0838 113.6537 0.803921568627451 2.032482 1.5953739
0.05 1.8 210.11322 239.86221 93.74681 0.7843137254901961 2.021184 1.7904605
0.05 1.3 303.98715 306.89713 156.60631 0.8431372549019608 1.7095585 1.5744785
0.05 1.2 301.8854 254.3739 188.77118 0.8431372549019608 1.7909423 1.7392726
0.05 1.1 353.2371 317.09195 228.7455 0.8431372549019608 1.7311335 1.6956353
0.05 1.7 205.03172 196.12523 105.461426 0.803921568627451 1.8359194 1.7342654
0.05 1.4 259.7088 285.9721 118.30185 0.8431372549019608 1.7816787 1.659324
0.05 1.9 189.4848 186.14081 91.91105 0.803921568627451 2.1029685 1.7118881
0.05 1.5 245.20964 228.68066 153.50964 0.8431372549019608 1.7903026 1.5423113
0.05 1.0 450.80826 378.15375 317.20087 0.8235294117647058 1.726786 1.6464999
0.05 0.3 861.1738 737.03766 587.8185 0.8235294117647058 1.6298785 1.5415013
0.05 3.25 101.16571 104.67881 49.80952 0.7647058823529411 2.2106502 1.7531976
0.05 3.75 78.71361 68.43852 40.191357 0.7843137254901961 2.6173677 1.8793181
0.05 4.0 65.67287 62.68103 32.685402 0.7058823529411765 3.0252216 2.2223496
0.05 3.0 120.07082 123.59886 54.626476 0.7647058823529411 2.2100306 1.6745543
0.05 4.25 63.850327 55.773544 33.063164 0.7450980392156863 2.9617522 2.2581682
0.05 3.5 95.01139 89.47633 48.617672 0.7843137254901961 2.3258543 1.9638693
0.1 0.05 1584.2021 1625.2114 1250.01 0.803921568627451 1.6460592 1.5120308
0.1 0.4 1571.6167 1050.7158 1536.9465 0.803921568627451 1.6239659 1.4165323
0.05 4.75 51.729794 45.28221 27.531818 0.6470588235294118 3.4204414 2.7857084
0.1 0.3 1155.5511 1092.9916 866.18414 0.7647058823529411 1.6708426 1.527501
0.05 5.0 49.325603 44.732914 26.687601 0.6862745098039216 3.4919968 2.9463093
0.1 0.1 1692.1058 1573.1985 904.3204 0.8627450980392157 1.5109922 1.3364704
0.05 4.5 59.042557 52.035866 31.913517 0.7254901960784313 3.1251671 2.4581308
0.2 1.2 23.18783 1.8807957 41.684708 0.9019607843137255 1.308875 1.2622553
0.1 0.6 1526.1459 1247.9534 1357.7509 0.8235294117647058 1.4805034 1.3223126
0.1 1.9 296.04645 238.51134 228.46205 0.8627450980392157 1.638192 1.493723
0.2 1.3 9.250753 1.8425477 15.165146 0.8823529411764706 1.3413495 1.1776545
0.2 1.1 10.815918 2.2927375 16.862087 0.8823529411764706 1.3761439 1.3043132
0.1 0.5 757.76495 702.1787 450.5163 0.8235294117647058 1.5841206 1.4606094
0.1 1.0 865.7376 562.8395 770.30524 0.8431372549019608 1.5058264 1.4266305
0.05 2.5 137.6457 142.1711 59.91505 0.7254901960784313 2.0952892 1.6696417
0.1 1.5 429.5681 247.01193 343.42084 0.8235294117647058 1.686275 1.53758
0.1 2.0 268.04678 222.40189 177.84055 0.8431372549019608 1.5538764 1.5406125
0.1 3.5 112.468834 81.27598 88.02099 0.7843137254901961 1.9836434 1.7383654
0.1 2.25 220.2006 159.9355 169.65825 0.803921568627451 1.6707779 1.549773
0.1 0.7 780.2006 732.54834 492.86465 0.8235294117647058 1.6820583 1.505627
0.05 2.0 184.00923 199.07666 74.618744 0.7843137254901961 2.004343 1.4754702
0.1 3.0 153.2923 117.06859 122.06759 0.803921568627451 1.6622778 1.5750048
0.1 3.25 113.07845 119.03636 69.867775 0.7843137254901961 1.888759 1.5980797
0.1 1.4 505.62497 308.86774 408.48285 0.8431372549019608 1.6398989 1.5065979
0.2 0.7 8.412907 1.3352561 14.775613 0.8823529411764706 1.2700353 1.1978209
0.2 0.3 20.043585 3.1662228 37.95973 0.9019607843137255 1.1695355 1.0098513
0.1 1.7 298.16934 246.5362 169.73642 0.8431372549019608 1.5677167 1.5533497
0.05 2.75 129.35402 126.42325 60.69338 0.7254901960784313 2.186605 1.5546238
0.1 2.75 158.57573 145.92302 112.46712 0.803921568627451 1.6443988 1.5491445
0.1 1.3 559.87897 533.61206 356.49646 0.803921568627451 1.6925879 1.5384998
0.1 1.8 316.1361 204.31618 245.87103 0.8627450980392157 1.4704746 1.4415631
0.1 0.2 1051.4868 966.7977 806.09357 0.8823529411764706 1.6318332 1.4487166
0.2 0.6 9.756822 1.8421564 17.583473 0.8627450980392157 1.3433156 1.3187385
0.2 1.0 12.158385 2.8469594 17.134426 0.8823529411764706 1.284291 1.2378138
0.1 0.9 749.01447 500.95587 561.54767 0.8627450980392157 1.3805293 1.4104551
0.1 2.5 188.05449 148.5171 139.31747 0.8235294117647058 1.6580206 1.5817423
0.1 4.0 84.5154 71.31735 61.187298 0.7843137254901961 2.0562398 1.7379076
0.05 2.25 169.80603 179.12561 86.04186 0.7647058823529411 1.9368275 1.5728011
0.1 3.75 95.722015 84.08928 63.640785 0.7843137254901961 1.8710223 1.5897243
0.2 0.1 19.06989 2.326367 32.79221 0.8823529411764706 1.1216644 0.9786476
0.2 0.8 15.652901 1.206754 25.343222 0.9019607843137255 1.3908687 1.4661697
0.2 0.2 20.499487 2.8760204 40.42354 0.9019607843137255 1.2422557 1.1791179
0.1 4.75 67.43615 52.632767 50.521744 0.7647058823529411 2.2274404 2.0135863
0.1 4.25 73.76353 71.81618 45.207386 0.7843137254901961 2.12775 1.7019355
0.2 0.05 15.873906 1.5168186 23.776297 0.9019607843137255 1.3538796 1.1635514
0.2 0.9 42.66653 1.9883898 83.53942 0.8823529411764706 1.2753967 1.190659
