lengthscale l2regularizer bma_mean_rmse_mean bma_mean_rmse_median bma_mean_std bma_mean_cov bma_rmse_mean bma_rmse_median bma_std bma_cov bae_rmse_mean bae_rmse_median bae_std bae_cov

0.4 0.1 0.9286712 0.88555443 0.45919898 0.9019607843137255 0.92330384 0.87331367 0.46990642 0.9411764705882353 2.1348045 1.9159319 0.8947975 0.9215686274509803
0.4 0.1 0.9286712 0.88555443 0.45919898 0.9019607843137255 0.92330384 0.87331367 0.46990642 0.9411764705882353 2.1348045 1.9159319 0.8947975 0.9215686274509803
0.4 0.4 1.1023507 1.0555271 0.32431406 0.8823529411764706 1.0971559 1.0470278 0.33419308 0.8823529411764706 2.5744634 2.2388597 0.78323185 0.9215686274509803
0.4 0.2 1.0540143 1.031379 0.30540615 0.8823529411764706 1.049905 1.0245684 0.31516773 0.8823529411764706 2.4973388 2.254102 0.8668241 0.9215686274509803
0.4 0.15 1.0226144 1.0160414 0.40970853 0.9019607843137255 1.0182633 1.0049736 0.41755405 0.9215686274509803 2.4961548 2.2137609 0.9392387 0.9215686274509803
0.1 0.35 1.3247333 1.2077434 0.5563767 0.8235294117647058 1.3166806 1.2052128 0.56279725 0.8235294117647058 2.6592157 2.259126 0.8083441 0.8431372549019608
0.05 0.9 1.3184216 1.3481305 0.7286637 0.8627450980392157 1.3122528 1.3458033 0.7351488 0.8823529411764706 2.9993289 2.5645118 1.2255942 0.9019607843137255
0.1 0.25 1.3612727 1.2614051 0.6612454 0.8431372549019608 1.3533136 1.2580355 0.668579 0.8627450980392157 2.4870818 2.069128 0.93169504 0.9019607843137255
0.1 0.05 1.1905195 1.1646967 0.5973387 0.8235294117647058 1.1831961 1.1664686 0.60835046 0.8627450980392157 2.0187752 2.0443683 0.87554204 0.9019607843137255
0.1 0.6 1.420691 1.2025137 0.6578989 0.8627450980392157 1.4127601 1.1987902 0.6632019 0.8627450980392157 2.9909382 2.4112878 0.9963114 0.8431372549019608
0.05 0.85 1.3142037 1.3786876 0.7192936 0.8823529411764706 1.3072635 1.3765442 0.7265742 0.8823529411764706 3.0480301 2.5456085 1.247916 0.9019607843137255
0.05 1.0 1.306118 1.3699594 0.703304 0.8431372549019608 1.2991029 1.3671004 0.70988005 0.8431372549019608 3.0116293 2.6760192 1.2047493 0.9019607843137255
0.1 0.1 1.2476377 1.2162588 0.62659216 0.8823529411764706 1.2423913 1.2166842 0.63324213 0.8823529411764706 1.9477247 1.671671 0.7921439 0.9019607843137255
0.1 0.8 1.3889934 1.2130456 0.61838627 0.8627450980392157 1.3817625 1.215776 0.6236041 0.8627450980392157 3.045284 2.5620403 0.94162035 0.8431372549019608
0.05 0.8 1.2990543 1.343406 0.74112844 0.8823529411764706 1.2922841 1.3406451 0.7481658 0.8823529411764706 3.0141294 2.6017404 1.2346236 0.9019607843137255
