lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum nll_mean nll_median nll_std

0.15 0.75 2.3904026 1.8916962 1.1881474 0.9803921568627451 50 0.9881447 0.87850404 0.24397282
0.15 0.65 2.2644207 1.7322359 1.3900373 0.9607843137254902 49 0.9631854 0.9497293 0.1339507
0.15 0.7 2.254216 1.5798694 1.3654196 0.9803921568627451 50 0.917881 0.85826415 0.1581754
0.05 0.3 5.718501 5.3213053 1.2085998 0.9019607843137255 46 1.1918036 0.958088 0.4195353
0.1 0.45 3.9330597 3.5421386 1.9345818 0.8823529411764706 45 1.1794546 1.0298812 0.45868048
0.1 0.5 4.0759454 3.9969177 2.1499796 0.8823529411764706 45 1.1480087 1.0147201 0.43356505
0.1 0.9 4.3656187 4.232453 2.2825668 0.9019607843137255 46 1.1622223 1.0024704 0.4323179
0.1 1.0 4.0354724 3.108471 2.225705 0.8823529411764706 45 1.1421758 0.9898273 0.41406843
0.1 0.95 4.1137 3.375414 2.244405 0.8823529411764706 45 1.1667947 1.0707326 0.4442218
0.05 0.4 5.412369 4.9814224 1.5000973 0.9411764705882353 48 1.0954133 0.96318746 0.34697905
0.05 0.6 5.57238 5.86234 1.4290612 0.9411764705882353 48 1.1494552 0.9694592 0.3624602
0.1 0.1 3.898952 3.9013503 2.2440035 0.8627450980392157 44 1.1466529 0.9274459 0.4456862
0.05 0.95 5.920144 6.1867404 0.94632816 0.9411764705882353 48 1.1683031 0.9134282 0.42036211
0.05 0.55 5.9150023 5.4012384 1.5777669 0.8823529411764706 45 1.3716483 0.93041563 1.029394
0.05 0.2 5.550725 5.6361647 1.3577282 0.9019607843137255 46 1.351295 0.9636388 0.82893705
0.1 0.05 3.9478123 3.5545137 2.0580027 0.9019607843137255 46 1.1360307 0.91311634 0.4316855
0.05 0.35 5.567238 5.5109825 1.3349202 0.9215686274509803 47 1.2613726 0.9877079 0.48857272
0.05 0.5 5.845571 5.483919 1.7467629 0.9411764705882353 48 1.1179521 0.93167967 0.34199747
0.05 0.45 5.427868 5.681288 1.6110711 0.9019607843137255 46 1.1431949 1.0776001 0.30701846
0.05 1.0 5.5253057 5.2511272 1.6451578 0.9607843137254902 49 1.0378101 0.9020139 0.25984323
0.05 0.25 5.040864 4.890643 1.2189162 0.8823529411764706 45 1.5283446 0.9990458 1.3261746
0.05 0.7 5.7558494 5.77912 1.4573678 0.9607843137254902 49 1.0719616 0.9572072 0.32930368
0.05 0.05 5.3932943 5.578905 1.2027358 0.9215686274509803 47 1.1939116 0.9102416 0.4404004
0.2 0.1 2.2087667 2.0072594 1.5495629 0.9803921568627451 50 1.017503 0.8604602 0.27921933
0.15 1.0 2.248919 1.8744485 1.0300175 0.9607843137254902 49 0.96453017 0.93509233 0.15375465
0.25 0.5 2.8261342 2.3513904 1.8679855 0.9411764705882353 48 1.0596261 0.9784639 0.21621448
0.05 0.75 5.5866404 5.5120144 1.3588012 0.9411764705882353 48 1.1766303 0.9586507 0.46583664
0.25 0.55 2.5601685 2.0850863 1.5639534 0.9411764705882353 48 1.040713 0.95927453 0.23221089
0.05 0.8 5.4970055 5.1376534 0.99064404 0.9607843137254902 49 1.0528334 0.9188896 0.25768214
0.15 0.35 2.2368846 1.6137316 1.3710299 0.9411764705882353 48 0.9746448 0.89970934 0.20677917
0.15 0.15 2.2351494 1.8080173 1.2628287 0.9411764705882353 48 1.0356976 1.0181458 0.2186483
0.15 0.1 2.512238 1.7608145 1.5883831 0.9215686274509803 47 1.0282065 0.95825374 0.26597336
0.15 0.05 2.3680935 1.6992762 1.6101729 0.9215686274509803 47 1.0853708 0.9374332 0.41373876
0.05 0.9 5.0894985 5.324072 1.4327508 0.9411764705882353 48 1.089543 0.88974416 0.4279158
0.2 0.2 2.5713024 2.0567641 1.941626 0.9803921568627451 50 0.98772895 0.8508009 0.2562443
0.2 0.15 2.4780812 1.7711648 1.9285686 0.9215686274509803 47 1.1544832 0.9954215 0.41125834
0.05 0.85 5.8614225 5.9145746 1.9956199 0.9019607843137255 46 1.3448622 0.9974149 0.6310479
0.15 0.2 2.0794075 1.4739007 1.3371242 0.9411764705882353 48 1.0057611 0.9357368 0.13691981
0.15 0.45 2.4054255 1.9273529 1.6545318 0.8823529411764706 45 1.0218706 1.0105225 0.17862844
0.15 0.4 2.2921438 1.7293108 1.4171835 0.9411764705882353 48 0.97252285 0.8984699 0.17500755
0.3 0.35 1.9993222 1.5309341 1.3038859 0.9607843137254902 49 0.9711466 0.88409895 0.1750851
0.15 0.6 2.3365605 1.6716721 1.3405175 0.9019607843137255 46 0.9896434 0.9632841 0.13597238
0.15 0.8 2.3837626 2.100061 1.1487585 0.9411764705882353 48 1.0016787 0.92287356 0.2435737
0.1 0.4 4.2311125 3.8285866 2.0054493 0.8823529411764706 45 1.1744044 1.056609 0.40211713
0.15 0.95 2.3600419 1.7858841 1.2673562 0.9411764705882353 48 0.9859899 0.8957509 0.20495807
0.3 0.6 1.6591823 1.4010932 0.89226806 0.9607843137254902 49 0.95070374 0.8906383 0.15773
0.2 0.55 2.3842552 1.7419004 1.8241662 0.9215686274509803 47 1.0905073 0.9908986 0.2636671
0.15 0.3 2.4979308 1.986919 1.4996158 0.9215686274509803 47 0.9675444 0.88979983 0.16557632
0.2 0.05 2.5157795 1.6615617 2.2504745 0.9215686274509803 47 1.1666118 0.9427589 0.39655066
0.5 0.15 1.1108726 1.026952 0.5643391 0.9411764705882353 48 1.0455464 1.0864152 0.15805118
0.5 0.1 1.1028825 1.0176401 0.56327 0.9411764705882353 48 1.086438 1.1409264 0.19281924
0.5 0.2 1.1155447 1.0258694 0.55915236 0.9411764705882353 48 1.0630666 1.0832188 0.17729625
0.2 0.75 2.343797 1.6927409 1.7771884 0.9215686274509803 47 1.0457085 0.93326294 0.29624555
0.25 0.45 2.856834 2.4354417 1.9109933 0.9019607843137255 46 1.052974 1.0099876 0.2181705
0.2 0.25 2.2292864 1.8380246 1.6884271 0.9607843137254902 49 0.93248814 0.8888237 0.10846573
0.15 0.55 2.2725472 1.611522 1.4643682 0.9215686274509803 47 1.0417118 0.9728702 0.26467818
0.15 0.9 2.2027473 1.8137846 1.1593901 0.9411764705882353 48 0.97963846 0.94330454 0.17693138
0.15 0.5 2.3707898 1.6681035 1.5754638 0.9803921568627451 50 0.9356559 0.85199994 0.19655423
0.2 0.65 2.3138855 1.4855763 1.7738186 0.9411764705882353 48 1.0833855 0.98976564 0.29237437
0.25 0.1 2.5591865 2.280773 1.6123106 0.9607843137254902 49 1.077136 0.9636538 0.29927644
0.25 0.3 2.6271539 2.1491442 1.9310967 0.9215686274509803 47 1.0024029 0.90746236 0.2000898
0.2 0.85 2.5515783 1.9228166 1.9756773 0.9215686274509803 47 0.94961005 0.8576157 0.16307725
0.25 0.05 2.5976732 2.131261 1.7378267 0.9215686274509803 47 0.9705199 0.87612593 0.19789661
0.2 0.5 2.3446164 1.7304658 1.8127226 0.9215686274509803 47 1.3405598 0.97918504 0.9832768
0.1 0.35 4.142638 3.8602717 1.9285289 0.9215686274509803 47 1.1090639 0.8939286 0.4291036
0.2 0.9 2.2675004 1.4601734 1.5595407 0.9019607843137255 46 1.0963376 0.908504 0.4136686
0.25 0.2 2.5596921 2.0960155 1.8862869 0.9411764705882353 48 1.0059493 0.90852344 0.2108479
0.25 0.25 2.5846822 2.191151 1.5509719 0.9411764705882353 48 1.0046679 0.8585819 0.2454424
0.2 0.8 2.5725532 1.7296553 1.8678674 0.9411764705882353 48 1.0195435 0.971725 0.16619201
0.25 0.75 2.4238355 1.776319 1.7506065 0.9411764705882353 48 1.0048702 0.903293 0.21338747
0.2 0.3 2.6115515 2.1251414 1.9691839 0.9019607843137255 46 1.2331363 1.0858026 0.48265666
0.25 0.7 2.4311662 1.8806946 1.7038938 0.9411764705882353 48 1.0164998 0.8646418 0.25730386
0.3 0.65 2.2133744 1.9292718 1.2214324 0.9607843137254902 49 0.9619606 0.8771612 0.17798598
0.25 0.6 2.373597 2.1656742 1.5981219 0.9607843137254902 49 0.9834591 0.87483466 0.21546194
0.2 0.7 2.4920354 1.9800596 2.0795958 0.9215686274509803 47 1.0328686 0.95555735 0.21338266
0.25 0.95 2.4620914 2.2230697 1.6562628 0.9411764705882353 48 1.0158815 0.9962261 0.15208821
0.1 0.3 3.797762 3.216777 1.9674021 0.9019607843137255 46 1.1828824 1.0411217 0.47056577
0.25 0.15 2.4957788 2.0524788 1.632665 0.9215686274509803 47 1.1561178 0.95723784 0.508524
0.3 0.55 2.0986867 1.3777001 1.3781123 0.9607843137254902 49 0.96988666 0.8656484 0.17427024
0.3 0.4 1.9994875 1.710971 1.1120422 0.9411764705882353 48 1.0164173 0.9289425 0.22273377
0.25 0.65 2.3749173 2.0532985 1.3977886 0.9607843137254902 49 1.0065621 0.87432045 0.23592563
0.4 0.2 1.5403534 1.5573301 0.7272526 0.9411764705882353 48 1.3361927 1.2871048 0.6397102
0.5 0.7 1.1310247 1.0494239 0.5639167 0.9411764705882353 48 1.1026732 1.1102312 0.22696885
0.35 0.45 1.6703297 1.2851146 0.9409699 0.8823529411764706 45 1.1675751 0.9787277 0.44036183
0.3 0.7 2.0421019 1.5456576 1.2480972 0.9411764705882353 48 0.99050254 0.8529378 0.23980181
0.3 0.8 2.1057045 1.9390359 1.1289359 0.9411764705882353 48 0.99884975 0.93284035 0.19037277
0.3 0.5 1.7396214 1.4855359 0.8908914 0.9411764705882353 48 0.9382445 0.8471917 0.15702271
0.5 0.8 1.1436424 1.1240199 0.5725452 0.9607843137254902 49 1.0184811 1.0599473 0.13980174
0.3 0.75 1.9771049 1.7783128 0.97033787 0.9411764705882353 48 1.017102 0.94816375 0.17723775
0.4 0.35 1.5483782 1.5705342 0.6834268 0.9019607843137255 46 1.2759134 1.2092733 0.59613395
0.4 0.5 1.5574131 1.492863 0.7360153 0.9019607843137255 46 1.2763302 1.2556851 0.593132
0.1 0.75 4.004739 3.565267 2.3448598 0.8823529411764706 45 1.1269531 0.9376929 0.439729
0.5 0.65 1.1193725 1.0212326 0.5721829 0.9411764705882353 48 1.0880116 1.1199448 0.20109081
0.3 0.45 1.9590232 1.4515538 1.1597767 0.9803921568627451 50 0.95084935 0.8719641 0.15773489
0.35 0.55 1.8064581 1.1738224 1.2690767 0.9411764705882353 48 1.171227 1.0574262 0.4143219
0.35 0.35 1.756485 1.4584522 0.9119317 0.9215686274509803 47 1.0785229 0.9919903 0.26652667
0.1 0.2 4.0818806 4.512811 2.423746 0.8823529411764706 45 1.1636199 1.0696352 0.41166115
0.3 0.3 2.0804691 1.5793086 1.3122833 0.9607843137254902 49 0.9566952 0.9760619 0.10327815
0.55 0.1 1.1111081 0.99008703 0.5490581 0.9803921568627451 50 0.994465 1.0081793 0.13970625
0.35 0.65 1.6939604 1.4411534 0.8547068 0.9215686274509803 47 1.0720398 0.99211085 0.27752382
0.35 0.9 1.7251377 1.6519439 0.8970601 0.9019607843137255 46 1.1478115 1.0692997 0.3810726
0.1 0.85 3.9471679 3.3792415 2.3012574 0.9019607843137255 46 1.1902571 0.9929797 0.46015042
0.35 0.75 1.5528376 1.2056401 0.85608083 0.9215686274509803 47 1.1818354 1.0145761 0.44683355
0.35 0.95 1.5948822 1.2904347 0.8472352 0.9215686274509803 47 1.1832196 1.1041965 0.40439147
0.1 0.25 4.1381507 4.2429943 2.0845098 0.8823529411764706 45 1.1351048 0.9957015 0.41439283
0.4 0.3 1.5827863 1.5702033 0.78000504 0.9215686274509803 47 1.3299625 1.2771597 0.6668796
0.25 1.0 2.2861605 1.7851305 1.6623638 0.9803921568627451 50 0.93945646 0.8679653 0.17821
0.1 0.8 3.8925145 3.5979106 1.9142836 0.8823529411764706 45 1.1858175 0.9894143 0.4889011
0.4 0.4 1.5180795 1.5824153 0.7263295 0.9411764705882353 48 1.3199723 1.222163 0.6444102
0.45 0.9 1.2657543 1.239266 0.5916916 0.9215686274509803 47 1.1632874 1.243011 0.29356235
0.45 0.25 1.3040292 1.3550931 0.6145566 0.9215686274509803 47 1.1921912 1.2375586 0.33583456
0.45 0.05 1.2912233 1.3325976 0.59074956 0.9215686274509803 47 1.1927207 1.2505615 0.33661202
0.45 0.85 1.2894819 1.3401091 0.62988466 0.9215686274509803 47 1.1637474 1.2300825 0.2947986
0.45 0.1 1.291527 1.3149897 0.632188 0.9215686274509803 47 1.1582257 1.2180594 0.28344315
