lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum nll_mean nll_median nll_std

0.05 0.05 5.393294 5.578905 1.202736 0.921569 47 1.193912 0.910242 0.440400
0.05 0.10 4.961818 5.178205 1.001083 0.941176 48 1.239309 0.943408 0.529963
0.05 0.15 5.514341 5.575932 0.783195 0.901961 46 1.246831 0.943672 0.538743
0.05 0.20 5.550725 5.636165 1.357728 0.901961 46 1.351295 0.963639 0.828937
0.05 0.25 5.040864 4.890643 1.218916 0.882353 45 1.528345 0.999046 1.326175
0.05 0.30 5.718501 5.321305 1.208600 0.901961 46 1.191804 0.958088 0.419535
0.05 0.35 5.567238 5.510982 1.334920 0.921569 47 1.261373 0.987708 0.488573
0.05 0.40 5.412369 4.981422 1.500097 0.941176 48 1.095413 0.963187 0.346979
0.05 0.45 5.427868 5.681288 1.611071 0.901961 46 1.143195 1.077600 0.307018
0.05 0.50 5.845571 5.483919 1.746763 0.941176 48 1.117952 0.931680 0.341997
0.05 0.55 5.915002 5.401238 1.577767 0.882353 45 1.371648 0.930416 1.029394
0.05 0.60 5.572380 5.862340 1.429061 0.941176 48 1.149455 0.969459 0.362460
0.05 0.65 5.211900 5.500519 1.054619 0.921569 47 1.280757 1.106326 0.460981
0.05 0.70 5.755849 5.779120 1.457368 0.960784 49 1.071962 0.957207 0.329304
0.05 0.75 5.586640 5.512014 1.358801 0.941176 48 1.176630 0.958651 0.465837
0.05 0.80 5.497006 5.137653 0.990644 0.960784 49 1.052833 0.918890 0.257682
0.05 0.85 5.861422 5.914575 1.995620 0.901961 46 1.344862 0.997415 0.631048
0.05 0.90 5.089499 5.324072 1.432751 0.941176 48 1.089543 0.889744 0.427916
0.05 0.95 5.920144 6.186740 0.946328 0.941176 48 1.168303 0.913428 0.420362
0.05 1.00 5.525306 5.251127 1.645158 0.960784 49 1.037810 0.902014 0.259843
0.10 0.05 3.947812 3.554514 2.058003 0.901961 46 1.136031 0.913116 0.431685
0.10 0.10 3.898952 3.901350 2.244003 0.862745 44 1.146653 0.927446 0.445686
0.10 0.15 4.189809 3.915000 2.425093 0.901961 46 1.093065 0.867272 0.438342
0.10 0.20 4.081881 4.512811 2.423746 0.882353 45 1.163620 1.069635 0.411661
0.10 0.25 4.138151 4.242994 2.084510 0.882353 45 1.135105 0.995702 0.414393
0.10 0.30 3.797762 3.216777 1.967402 0.901961 46 1.182882 1.041122 0.470566
0.10 0.35 4.142638 3.860272 1.928529 0.921569 47 1.109064 0.893929 0.429104
0.10 0.40 4.231113 3.828587 2.005449 0.882353 45 1.174404 1.056609 0.402117
0.10 0.45 3.933060 3.542139 1.934582 0.882353 45 1.179455 1.029881 0.458680
0.10 0.50 4.075945 3.996918 2.149980 0.882353 45 1.148009 1.014720 0.433565
0.10 0.55 4.228966 3.628631 2.115183 0.862745 44 1.113242 1.006799 0.399306
0.10 0.60 4.026530 3.498832 2.215180 0.901961 46 1.144243 0.973768 0.447853
0.10 0.65 4.039452 3.900012 1.941547 0.862745 44 1.125009 0.994945 0.412791
0.10 0.70 4.192923 4.444086 2.180097 0.862745 44 1.134111 0.937632 0.484539
0.10 0.75 4.004739 3.565267 2.344860 0.882353 45 1.126953 0.937693 0.439729
0.10 0.80 3.892514 3.597911 1.914284 0.882353 45 1.185817 0.989414 0.488901
0.10 0.85 3.947168 3.379242 2.301257 0.901961 46 1.190257 0.992980 0.460150
0.10 0.90 4.365619 4.232453 2.282567 0.901961 46 1.162222 1.002470 0.432318
0.10 0.95 4.113700 3.375414 2.244405 0.882353 45 1.166795 1.070733 0.444222
0.10 1.00 4.035472 3.108471 2.225705 0.882353 45 1.142176 0.989827 0.414068
0.15 0.05 2.368094 1.699276 1.610173 0.921569 47 1.085371 0.937433 0.413739
0.15 0.10 2.512238 1.760814 1.588383 0.921569 47 1.028207 0.958254 0.265973
0.15 0.15 2.235149 1.808017 1.262829 0.941176 48 1.035698 1.018146 0.218648
0.15 0.20 2.079407 1.473901 1.337124 0.941176 48 1.005761 0.935737 0.136920
