lengthscale l2regularizer rmse_mean rmse_std

0.05 0.025 1.1498162 0.51677513
0.05 0.05 1.1672926 0.5544525
0.05 0.075 1.1177696 0.5890966
0.05 0.1 1.2039865 0.58823395
0.05 0.125 1.1552542 0.59721935
0.05 0.15 1.0787891 0.52974516
0.05 0.175 1.160902 0.44174978
0.05 0.2 1.0874592 0.48393717
0.05 0.225 1.195367 0.4562405
0.05 0.25 1.1847659 0.54707885
0.05 0.275 1.1427591 0.5273521
0.05 0.3 1.2396377 0.51792663
0.05 0.325 1.1275088 0.499214
0.05 0.35 1.1197081 0.5620293
0.05 0.375 1.0512398 0.4715593
0.05 0.4 1.0792732 0.47967267
0.05 0.425 1.1189051 0.45976278
0.05 0.45 1.1755388 0.5829224
0.05 0.475 1.1931738 0.6052709
0.05 0.5 1.1632593 0.49093902
0.05 0.525 1.141216 0.49450544
0.05 0.55 1.2130861 0.643733
0.05 0.575 1.1238925 0.5057845
0.05 0.6 1.1228502 0.49828506
0.05 0.625 1.1174772 0.50825113
0.05 0.65 1.1861236 0.6228716
0.05 0.675 1.2140112 0.58602756
0.05 0.7 1.0740567 0.48346683
0.05 0.725 1.115516 0.48703304
0.05 0.75 1.1800036 0.56456494
0.05 0.775 1.1943458 0.60237855
0.05 0.8 1.0838165 0.4715388
0.05 0.825 1.1693958 0.6340534
0.05 0.85 1.1410439 0.54161686
0.05 0.875 1.119355 0.5405416
0.05 0.9 1.1830897 0.59996104
0.05 0.925 1.2092546 0.60407645
0.05 0.95 1.1448376 0.5740343
0.05 0.975 1.1036867 0.5850529
0.05 1.0 1.1105912 0.5821681
0.075 0.025 1.228561 0.60729265
0.075 0.05 1.1851188 0.4485777
0.075 0.075 1.1075523 0.52840143
0.075 0.1 1.1192579 0.4896292
0.075 0.125 1.2249364 0.63336515
0.075 0.15 1.1355685 0.49163586
0.075 0.175 1.1397245 0.54692405
0.075 0.2 1.1819727 0.5623717
0.075 0.225 1.1465153 0.5294953
0.075 0.25 1.2137421 0.5775639
0.075 0.275 1.2162175 0.65634805
0.075 0.3 1.079127 0.40832928
0.075 0.325 1.188485 0.57497793
0.075 0.35 1.096075 0.53687763
0.075 0.375 1.1072052 0.54726565
0.075 0.4 1.1128943 0.4894328
0.075 0.425 1.1679128 0.5363815
0.075 0.45 1.1241539 0.48704737
0.075 0.475 1.154986 0.501493
0.075 0.5 1.1453577 0.46584806
0.075 0.525 1.1860543 0.57200277
0.075 0.55 1.0826491 0.5854035
0.075 0.575 1.2123153 0.6086611
0.075 0.6 1.1993377 0.45497566
0.075 0.625 1.0796559 0.4128569
0.075 0.65 1.2064327 0.6303697
0.075 0.675 1.1227573 0.57160443
0.075 0.7 1.1478157 0.59062403
0.075 0.725 1.1241297 0.44760594
0.075 0.75 1.0883179 0.54793733
0.075 0.775 1.1465819 0.555909
0.075 0.8 1.0998046 0.5309597
0.075 0.825 1.1291136 0.5592318
0.075 0.85 1.1617805 0.55408585
0.075 0.875 1.2137156 0.55978423
0.075 0.9 1.1501744 0.58855397
0.075 0.925 1.1840736 0.5426391
0.075 0.95 1.0459255 0.5718128
0.075 0.975 1.1572889 0.6101603
0.075 1.0 1.1185747 0.46467587
0.1 0.025 1.0900028 0.45395237
0.1 0.05 1.1686239 0.5225107
0.1 0.075 1.1199982 0.45877337
0.1 0.1 1.105355 0.52270293
0.1 0.125 1.1504824 0.60593885
0.1 0.15 1.1325753 0.6648972
0.1 0.175 1.181517 0.54986084
0.1 0.2 1.1421146 0.55248046
0.1 0.225 1.1837941 0.5428102
0.1 0.25 1.2229756 0.5382893
0.1 0.275 1.1644863 0.5091011
0.1 0.3 1.146978 0.6578616
0.1 0.325 1.1373743 0.45531687
0.1 0.35 1.1782615 0.6322175
0.1 0.375 1.1457254 0.513047
0.1 0.4 1.1500862 0.51770574
0.1 0.425 1.156605 0.5154518
0.1 0.45 1.0949396 0.5539324
0.1 0.475 1.1120288 0.47274464
0.1 0.5 1.1003402 0.6088083
0.1 0.525 1.2121124 0.63865894
0.1 0.55 1.1375482 0.41865915
0.1 0.575 1.1470047 0.61771417
0.1 0.6 1.1895708 0.54197913
0.1 0.625 1.1388837 0.59541374
0.1 0.65 1.1870475 0.56415725
0.1 0.675 1.1470817 0.4403084
0.1 0.7 1.2422891 0.67304814
0.1 0.725 1.1369071 0.52662367
0.1 0.75 1.147445 0.56054497
0.1 0.775 1.0876583 0.46220043
0.1 0.8 1.1251552 0.56750125
