lengthscale l2regularizer rmse_mean rmse_std

0.625 0.025 1.1324193 0.62303853
0.625 0.05 1.2098655 0.6102368
0.625 0.075 1.176571 0.4854665
0.625 0.1 1.095508 0.5784394
0.625 0.125 1.1781964 0.5044061
0.625 0.15 1.0444418 0.5546012
0.625 0.175 1.0842043 0.47654095
0.625 0.2 1.0812637 0.53820807
0.625 0.225 1.0778682 0.41787928
0.625 0.25 1.2020898 0.7169034
0.625 0.275 1.0506548 0.5403663
0.625 0.3 1.1940451 0.49991855
0.625 0.325 1.1542972 0.5970845
0.625 0.35 1.1891797 0.475168
0.625 0.375 1.1318028 0.5512817
0.625 0.4 1.1472161 0.5496212
0.625 0.425 1.1947044 0.5244681
0.625 0.45 1.1132214 0.5177419
0.625 0.475 1.086129 0.5379566
0.625 0.5 0.98881686 0.49945134
0.625 0.525 1.1418294 0.62777734
0.625 0.55 1.1447178 0.5715075
0.625 0.575 1.1159184 0.52827823
0.625 0.6 1.1494944 0.49776527
0.625 0.625 1.1181252 0.52611715
0.625 0.65 1.0382066 0.5364074
0.625 0.675 1.1295063 0.439867
0.625 0.7 1.2244834 0.66795564
0.625 0.725 1.2271339 0.7018872
0.625 0.75 1.1723312 0.594803
0.625 0.775 1.1457531 0.5962399
0.625 0.8 1.1471244 0.53095776
0.625 0.825 1.1314116 0.6190487
0.625 0.85 1.1930215 0.5641864
0.625 0.875 1.2415327 0.5891074
0.625 0.9 1.088381 0.51735574
0.625 0.925 1.1460221 0.60473526
0.625 0.95 1.2292968 0.5959185
0.625 0.975 1.0682694 0.518023
0.625 1.0 1.1265609 0.5179348
0.65 0.025 1.1097952 0.45882747
0.65 0.05 1.1526463 0.5172893
0.65 0.075 1.0890166 0.5935895
0.65 0.1 1.1110502 0.59373
0.65 0.125 1.0673195 0.4721418
0.65 0.15 1.1359291 0.47121117
0.65 0.175 1.1832312 0.57192796
0.65 0.2 1.0695465 0.44504878
0.65 0.225 1.1204655 0.68719065
0.65 0.25 1.1175655 0.5472771
0.65 0.275 1.292494 0.6448522
0.65 0.3 1.1127229 0.5822857
0.65 0.325 1.0930134 0.45216453
0.65 0.35 1.0700551 0.58369344
0.65 0.375 1.0761114 0.58099693
0.65 0.4 1.2104046 0.66521615
0.65 0.425 1.0513886 0.56116873
0.65 0.45 1.1809978 0.45809639
0.65 0.475 1.1894681 0.5306774
0.65 0.5 1.207205 0.5804955
0.65 0.525 1.1821096 0.5538041
0.65 0.55 1.083757 0.56022966
0.65 0.575 1.1404147 0.606937
0.65 0.6 1.0857754 0.5339678
0.65 0.625 1.2375034 0.4525459
0.65 0.65 1.0746204 0.548093
0.65 0.675 1.1761198 0.57373303
0.65 0.7 1.1007084 0.6214539
0.65 0.725 0.9811047 0.40641168
0.65 0.75 1.1438504 0.50511813
0.65 0.775 1.0959194 0.45640424
0.65 0.8 1.1953866 0.5599795
0.65 0.825 1.095237 0.5396504
0.65 0.85 1.1124337 0.5069618
0.65 0.875 1.0923756 0.523033
0.65 0.9 1.1209297 0.51569945
0.65 0.925 1.216377 0.64529043
0.65 0.95 1.0657637 0.58152336
0.65 0.975 1.1303747 0.46950907
0.65 1.0 1.0869502 0.51983136
0.675 0.025 1.1433347 0.53605133
0.675 0.05 1.2456863 0.6254699
0.675 0.075 1.1361406 0.5499464
0.675 0.1 1.1758273 0.5474903
0.675 0.125 1.1369308 0.5592613
0.675 0.15 1.1529675 0.58776504
0.675 0.175 1.1211879 0.6796504
0.675 0.2 1.0854304 0.43771335
0.675 0.225 1.1218752 0.57517886
0.675 0.25 1.1922896 0.54303163
0.675 0.275 1.0996523 0.4800875
0.675 0.3 1.2297902 0.6603908
0.675 0.325 1.1308897 0.39849252
0.675 0.35 1.0098455 0.48125726
0.675 0.375 1.2135984 0.6100907
0.675 0.4 1.110082 0.5528487
0.675 0.425 1.1391089 0.6951706
0.675 0.45 1.1445858 0.4814198
0.675 0.475 1.1547674 0.5009648
0.675 0.5 1.1778444 0.59104204
0.675 0.525 1.1572012 0.5695844
0.675 0.55 1.1715606 0.6224612
0.675 0.575 1.1712744 0.6771276
0.675 0.6 1.09499 0.51865
0.675 0.625 1.172579 0.6163701
0.675 0.65 1.1221993 0.4811605
0.675 0.675 1.2155063 0.59934247
0.675 0.7 0.9638194 0.46457773
0.675 0.725 1.1024313 0.5190142
0.675 0.75 1.1546913 0.5114881
0.675 0.775 1.0766405 0.5181158
0.675 0.8 1.1721758 0.5710125
0.675 0.825 1.1760844 0.5207457
0.675 0.85 1.0086687 0.45997766
0.675 0.875 1.0738199 0.47570202
0.675 0.9 1.128722 0.58629537
0.675 0.925 1.1414052 0.49880552
0.675 0.95 1.1281655 0.46215445
0.675 0.975 1.162719 0.5794248
0.675 1.0 1.1695282 0.54931957
0.7 0.025 1.1873713 0.5731634
0.7 0.05 1.1056572 0.5711455
0.7 0.075 1.1137947 0.53789943
0.7 0.1 1.1501582 0.45040277
0.7 0.125 1.1341369 0.55989563
0.7 0.15 1.2092763 0.6261066
0.7 0.175 1.1601197 0.48672363
0.7 0.2 1.1160537 0.5220849
0.7 0.225 1.1236858 0.4890883
0.7 0.25 1.1753342 0.53040427
0.7 0.275 1.229725 0.67295736
0.7 0.3 1.1570296 0.5684867
0.7 0.325 1.1413848 0.6037924
0.7 0.35 1.1037447 0.4558641
0.7 0.375 1.0588496 0.5615291
0.7 0.4 1.1108327 0.6252329
0.7 0.425 1.2115976 0.73646677
0.7 0.45 1.096983 0.6843097
0.7 0.475 1.1082287 0.6709587
0.7 0.5 1.1392916 0.43691638
0.7 0.525 1.1285521 0.46999288
0.7 0.55 1.2033161 0.69948936
0.7 0.575 1.1538817 0.5266964
0.7 0.6 1.1908869 0.46608403
0.7 0.625 1.1051924 0.56715995
0.7 0.65 1.1457964 0.56457335
0.7 0.675 1.2380584 0.5629949
0.7 0.7 1.1448746 0.5521231
0.7 0.725 1.0564959 0.6039063
0.7 0.75 1.2019372 0.5973559
0.7 0.775 1.0961522 0.5614296
0.7 0.8 1.0839771 0.518932
0.7 0.825 1.0836892 0.44750172
0.7 0.85 1.12917 0.5929228
0.7 0.875 1.2603555 0.5976683
