lengthscale l2regularizer rmse_mean rmse_std

0.625 0.025 1.1193981 0.403392
0.625 0.05 1.1437684 0.5216383
0.625 0.075 1.214466 0.69686866
0.625 0.1 1.179912 0.5660606
0.625 0.125 1.1604148 0.5630978
0.625 0.15 1.1938347 0.6001059
0.625 0.175 1.2064607 0.5386283
0.625 0.2 1.1350685 0.53473455
0.625 0.225 1.1247002 0.4472538
0.625 0.25 1.0650978 0.48116404
0.625 0.275 1.1520618 0.50318825
0.625 0.3 1.1056212 0.55652624
0.625 0.325 1.220536 0.6522149
0.625 0.35 1.0550058 0.53899854
0.625 0.375 1.1318423 0.5843109
0.625 0.4 1.137645 0.5001114
0.625 0.425 1.2403644 0.55761063
0.625 0.45 1.2206174 0.5465336
0.625 0.475 1.1899493 0.57930833
0.625 0.5 1.1858429 0.65132517
0.625 0.525 1.1036742 0.5731185
0.625 0.55 1.0954924 0.6893415
0.625 0.575 1.1459706 0.6035231
0.625 0.6 1.2741635 0.67895985
0.625 0.625 1.0778011 0.5406212
0.625 0.65 1.2076596 0.62938064
0.625 0.675 1.1117932 0.53240734
0.625 0.7 1.0668514 0.52661395
0.625 0.725 1.1813687 0.62367535
0.625 0.75 1.1068746 0.5237231
0.625 0.775 1.0474558 0.40463412
0.625 0.8 1.2354945 0.70933086
0.625 0.825 1.1245451 0.544519
0.625 0.85 1.1158775 0.58239734
0.625 0.875 1.1450894 0.6067841
0.625 0.9 1.1545924 0.54553694
0.625 0.925 1.2047441 0.61324716
0.625 0.95 1.1359236 0.50211245
0.625 0.975 1.0739768 0.50272655
0.625 1.0 1.1060774 0.4687779
0.65 0.025 1.1844221 0.56399536
0.65 0.05 1.0976574 0.6067895
0.65 0.075 1.2298776 0.6366337
0.65 0.1 1.1112077 0.41224372
0.65 0.125 1.0482668 0.47472918
0.65 0.15 1.1628047 0.6046878
0.65 0.175 1.1671463 0.5843848
0.65 0.2 1.1446211 0.523297
0.65 0.225 1.1174635 0.45207408
0.65 0.25 1.1738651 0.4845262
0.65 0.275 1.1649344 0.5617239
0.65 0.3 1.1693641 0.50566727
0.65 0.325 1.0216019 0.47964138
0.65 0.35 1.1651073 0.5277373
0.65 0.375 1.1621792 0.63398683
0.65 0.4 1.1216196 0.6132252
0.65 0.425 1.1742032 0.59522706
0.65 0.45 1.1866646 0.4543264
0.65 0.475 1.1710212 0.44291186
0.65 0.5 1.1751117 0.6183309
