lengthscale l2regularizer rmse_mean rmse_std

0.050 0.025 1.164728 0.570639
0.050 0.050 1.092598 0.509832
0.050 0.075 1.105638 0.530398
0.050 0.100 1.124934 0.529479
0.050 0.125 1.190955 0.480870
0.050 0.150 1.126907 0.466218
0.050 0.175 1.152719 0.531289
0.050 0.200 1.159865 0.485740
0.050 0.225 1.153948 0.533857
0.050 0.250 1.113101 0.492408
0.050 0.275 1.153098 0.583920
0.050 0.300 1.175155 0.558385
0.050 0.325 1.060334 0.475628
0.050 0.350 1.141718 0.550006
0.050 0.375 1.181728 0.487362
0.050 0.400 1.135719 0.490590
0.050 0.425 1.111492 0.494915
0.050 0.450 1.142695 0.569269
0.050 0.475 1.162957 0.527123
0.050 0.500 1.161185 0.499177
0.050 0.525 1.110923 0.512391
0.050 0.550 1.128049 0.515708
0.050 0.575 1.160398 0.492135
0.050 0.600 1.133205 0.521423
0.050 0.625 1.141798 0.524169
0.050 0.650 1.165303 0.547580
0.050 0.675 1.122917 0.492186
0.050 0.700 1.119391 0.488596
0.050 0.725 1.145341 0.533195
0.050 0.750 1.129541 0.512718
0.050 0.775 1.135667 0.481618
0.050 0.800 1.106482 0.515223
0.050 0.825 1.119667 0.523830
0.050 0.850 1.118586 0.505449
0.050 0.875 1.120472 0.496565
0.050 0.900 1.131840 0.510573
0.050 0.925 1.165203 0.565332
0.050 0.950 1.140379 0.488309
0.050 0.975 1.143251 0.506744
0.050 1.000 1.132979 0.540566
0.075 0.025 1.197897 0.584673
0.075 0.050 1.115244 0.540353
0.075 0.075 1.074325 0.356677
0.075 0.100 1.200025 0.576795
0.075 0.125 1.151127 0.536242
0.075 0.150 1.186233 0.542813
0.075 0.175 1.115076 0.488875
0.075 0.200 1.152429 0.480013
0.075 0.225 1.191267 0.565483
0.075 0.250 1.189202 0.449098
0.075 0.275 1.143958 0.456183
0.075 0.300 1.152929 0.598883
0.075 0.325 1.132954 0.454151
0.075 0.350 1.215679 0.630863
0.075 0.375 1.225645 0.548889
0.075 0.400 1.110401 0.488393
0.075 0.425 1.121452 0.491514
0.075 0.450 1.134849 0.487932
0.075 0.475 1.174737 0.499012
0.075 0.500 1.167606 0.523863
0.075 0.525 1.160701 0.466740
0.075 0.550 1.139688 0.489683
0.075 0.575 1.100683 0.508278
0.075 0.600 1.120978 0.449974
0.075 0.625 1.146490 0.506013
0.075 0.650 1.140863 0.484366
0.075 0.675 1.177755 0.484170
0.075 0.700 1.148996 0.517721
0.075 0.725 1.175832 0.519919
0.075 0.750 1.114054 0.471740
0.075 0.775 1.130181 0.538048
0.075 0.800 1.135258 0.452737
0.075 0.825 1.163000 0.507953
0.075 0.850 1.108230 0.482094
0.075 0.875 1.096517 0.491865
0.075 0.900 1.115290 0.463711
0.075 0.925 1.109558 0.475400
0.075 0.950 1.141786 0.500403
0.075 0.975 1.136195 0.512180
0.075 1.000 1.132502 0.477228
0.100 0.025 1.123411 0.513858
0.100 0.050 1.143822 0.545396
0.100 0.075 1.089111 0.590884
0.100 0.100 1.177771 0.466594
0.100 0.125 1.150166 0.491564
0.100 0.150 1.159214 0.495912
0.100 0.175 1.088457 0.506741
0.100 0.200 1.057517 0.502053
0.100 0.225 1.147137 0.513339
0.100 0.250 1.187427 0.483845
0.100 0.275 1.151736 0.442187
0.100 0.300 1.137532 0.500347
0.100 0.325 1.175385 0.521014
0.100 0.350 1.191529 0.530872
0.100 0.375 1.160747 0.555048
0.100 0.400 1.125096 0.489386
0.100 0.425 1.117870 0.468510
0.100 0.450 1.173385 0.529712
0.100 0.475 1.107211 0.505095
0.100 0.500 1.145979 0.523720
0.100 0.525 1.119296 0.525788
0.100 0.550 1.151269 0.542570
0.100 0.575 1.148620 0.518237
0.100 0.600 1.104959 0.478228
