lengthscale l2regularizer rmse_mean rmse_std

0.05 0.05 1.115434 0.463792
0.05 0.10 1.153778 0.568318
0.05 0.15 1.167477 0.543900
0.05 0.20 1.132026 0.488160
0.05 0.25 1.094901 0.475521
0.05 0.30 1.126180 0.495925
0.05 0.35 1.134825 0.496912
0.05 0.40 1.148951 0.515179
0.05 0.45 1.116594 0.512893
0.05 0.50 1.159514 0.541802
0.05 0.55 1.125187 0.517344
0.05 0.60 1.118756 0.517563
0.05 0.65 1.123475 0.487240
0.05 0.70 1.117737 0.490884
0.05 0.75 1.116709 0.516769
0.05 0.80 1.110736 0.480393
0.05 0.85 1.154435 0.482675
0.05 0.90 1.146431 0.479654
0.05 0.95 1.104014 0.517897
0.05 1.00 1.133317 0.487073
0.10 0.05 1.088854 0.490912
0.10 0.10 1.100914 0.452692
0.10 0.15 1.151582 0.498437
0.10 0.20 1.181341 0.548076
0.10 0.25 1.101608 0.505889
0.10 0.30 1.167045 0.504762
0.10 0.35 1.158014 0.524479
0.10 0.40 1.119147 0.514586
0.10 0.45 1.108761 0.513325
0.10 0.50 1.112980 0.488140
0.10 0.55 1.114005 0.478859
0.10 0.60 1.106606 0.497538
0.10 0.65 1.122666 0.493370
0.10 0.70 1.135134 0.515014
0.10 0.75 1.159107 0.528045
0.10 0.80 1.139418 0.504033
0.10 0.85 1.143531 0.487970
0.10 0.90 1.147117 0.511610
0.10 0.95 1.105227 0.494565
0.10 1.00 1.135035 0.510612
0.15 0.05 1.146703 0.511440
0.15 0.10 1.123457 0.470555
0.15 0.15 1.121863 0.517077
0.15 0.20 1.140480 0.497712
0.15 0.25 1.129356 0.539197
0.15 0.30 1.135530 0.523906
0.15 0.35 1.138725 0.536485
0.15 0.40 1.142968 0.500958
0.15 0.45 1.111760 0.499835
0.15 0.50 1.147863 0.541357
0.15 0.55 1.135191 0.512504
0.15 0.60 1.110588 0.495451
0.15 0.65 1.169065 0.504878
0.15 0.70 1.135345 0.525368
0.15 0.75 1.142454 0.517133
0.15 0.80 1.121788 0.491170
0.15 0.85 1.122054 0.508630
0.15 0.90 1.111163 0.467657
0.15 0.95 1.123730 0.506395
0.15 1.00 1.114436 0.483885
0.20 0.05 1.157245 0.505870
0.20 0.10 1.156205 0.505505
0.20 0.15 1.115039 0.521958
0.20 0.20 1.151814 0.503423
0.20 0.25 1.113324 0.464259
0.20 0.30 1.159735 0.553601
0.20 0.35 1.139318 0.523312
0.20 0.40 1.138440 0.494756
0.20 0.45 1.114497 0.454853
0.20 0.50 1.127598 0.473952
0.20 0.55 1.105197 0.492929
0.20 0.60 1.097917 0.508330
0.20 0.65 1.120715 0.520041
0.20 0.70 1.142696 0.497601
0.20 0.75 1.137190 0.504509
0.20 0.80 1.136868 0.497886
0.20 0.85 1.134820 0.505379
0.20 0.90 1.124494 0.494599
0.20 0.95 1.138168 0.534702
0.20 1.00 1.111324 0.469059
0.25 0.05 1.138146 0.448452
0.25 0.10 1.142078 0.484774
0.25 0.15 1.141493 0.530511
0.25 0.20 1.152565 0.523693
0.25 0.25 1.136068 0.523133
0.25 0.30 1.116831 0.502170
0.25 0.35 1.150678 0.528353
0.25 0.40 1.106533 0.493644
0.25 0.45 1.124942 0.459379
0.25 0.50 1.116637 0.478509
0.25 0.55 1.135641 0.493556
0.25 0.60 1.125838 0.515909
0.25 0.65 1.142856 0.490780
0.25 0.70 1.150927 0.509568
0.25 0.75 1.122791 0.510141
0.25 0.80 1.092515 0.481877
0.25 0.85 1.122601 0.515632
0.25 0.90 1.138124 0.506674
0.25 0.95 1.138124 0.506674
0.25 1.00 1.132529 0.481290
0.30 0.05 1.248402 0.550562
0.30 0.10 1.126841 0.502576
0.30 0.15 1.158443 0.486302
0.30 0.20 1.127646 0.492487
0.30 0.25 1.146548 0.516778
0.30 0.30 1.131061 0.506307
0.30 0.35 1.135138 0.494620
0.30 0.40 1.120256 0.486628
0.30 0.45 1.139512 0.506948
0.30 0.50 1.127449 0.481313
0.30 0.55 1.111441 0.504942
0.30 0.60 1.142667 0.488759
0.30 0.65 1.135224 0.489648
0.30 0.70 1.128721 0.508386
0.30 0.75 1.128892 0.481882
0.30 0.80 1.106358 0.496253
0.30 0.85 1.116017 0.504374
0.30 0.90 1.156590 0.502224
0.30 0.95 1.121058 0.517266
0.30 1.00 1.116634 0.503181
0.35 0.05 1.074641 0.480601
0.35 0.10 1.107007 0.451344
0.35 0.15 1.123681 0.502315
0.35 0.20 1.139571 0.518506
0.35 0.25 1.148399 0.500295
0.35 0.30 1.150921 0.517589
0.35 0.35 1.135190 0.488145
0.35 0.40 1.131421 0.484935
0.35 0.45 1.138689 0.487007
0.35 0.50 1.141641 0.492261
0.35 0.55 1.126970 0.514438
0.35 0.60 1.112469 0.497930
0.35 0.65 1.130124 0.480294
0.35 0.70 1.122405 0.481455
0.35 0.75 1.129685 0.456274
0.35 0.80 1.117222 0.497895
0.35 0.85 1.124226 0.480954
0.35 0.90 1.143010 0.492373
0.35 0.95 1.128598 0.511207
0.35 1.00 1.141200 0.517701
0.40 0.05 1.115184 0.592979
0.40 0.10 1.160304 0.512392
0.40 0.15 1.137782 0.502938
0.40 0.20 1.115287 0.486586
0.40 0.25 1.125248 0.480295
0.40 0.30 1.146720 0.506278
0.40 0.35 1.132754 0.512997
0.40 0.40 1.137892 0.524589
0.40 0.45 1.101118 0.490701
0.40 0.50 1.107085 0.501239
0.40 0.55 1.148593 0.499986
0.40 0.60 1.111838 0.479108
0.40 0.65 1.109389 0.456295
0.40 0.70 1.106414 0.494208
0.40 0.75 1.133804 0.497389
0.40 0.80 1.131507 0.490858
0.40 0.85 1.123604 0.495639
0.40 0.90 1.126998 0.490260
0.40 0.95 1.133120 0.510207
0.40 1.00 1.144017 0.499576
0.45 0.05 1.117857 0.549579
0.45 0.10 1.127012 0.497602
0.45 0.15 1.145704 0.557278
0.45 0.20 1.138480 0.536613
0.45 0.25 1.139835 0.495677
0.45 0.30 1.159651 0.512142
0.45 0.35 1.140332 0.536677
0.45 0.40 1.142114 0.509113
0.45 0.45 1.135289 0.500121
0.45 0.50 1.124583 0.495953
0.45 0.55 1.134854 0.513186
0.45 0.60 1.128644 0.498134
0.45 0.65 1.148494 0.492067
0.45 0.70 1.145099 0.506367
0.45 0.75 1.124225 0.496710
0.45 0.80 1.119159 0.479883
0.45 0.85 1.120606 0.497974
0.45 0.90 1.106864 0.483054
0.45 0.95 1.133452 0.492121
0.45 1.00 1.121191 0.510563
0.50 0.05 1.125630 0.496646
0.50 0.10 1.117467 0.484463
0.50 0.15 1.145420 0.497720
0.50 0.20 1.126290 0.497602
0.50 0.25 1.126115 0.458036
0.50 0.30 1.150450 0.517117
0.50 0.35 1.139000 0.501947
0.50 0.40 1.168634 0.504085
0.50 0.45 1.162383 0.515713
0.50 0.50 1.104054 0.463960
0.50 0.55 1.142475 0.508021
0.50 0.60 1.109144 0.463150
0.50 0.65 1.128096 0.487470
0.50 0.70 1.110636 0.479103
0.50 0.75 1.110343 0.511230
0.50 0.80 1.151798 0.535361
0.50 0.85 1.138642 0.489620
0.50 0.90 1.135408 0.505532
0.50 0.95 1.119678 0.497375
0.50 1.00 1.133720 0.493466
0.55 0.05 1.106369 0.512265
0.55 0.10 1.120835 0.480415
0.55 0.15 1.112276 0.501192
0.55 0.20 1.132247 0.526613
0.55 0.25 1.131778 0.506327
0.55 0.30 1.138846 0.503657
0.55 0.35 1.114526 0.527365
0.55 0.40 1.141639 0.474338
0.55 0.45 1.125267 0.523229
0.55 0.50 1.129631 0.523355
0.55 0.55 1.119335 0.505100
0.55 0.60 1.128033 0.485427
0.55 0.65 1.159696 0.504746
0.55 0.70 1.112447 0.494190
0.55 0.75 1.141393 0.534707
0.55 0.80 1.126732 0.517984
0.55 0.85 1.152520 0.518415
0.55 0.90 1.129862 0.506085
0.55 0.95 1.135647 0.490455
0.55 1.00 1.116164 0.474107
0.60 0.05 1.143699 0.563536
0.60 0.10 1.108392 0.520876
0.60 0.15 1.064396 0.446809
0.60 0.20 1.126146 0.536685
0.60 0.25 1.120216 0.501568
0.60 0.30 1.138920 0.479483
0.60 0.35 1.110100 0.511326
0.60 0.40 1.120645 0.507709
0.60 0.45 1.113607 0.486015
0.60 0.50 1.147841 0.507592
0.60 0.55 1.124863 0.467514
0.60 0.60 1.128939 0.486374
0.60 0.65 1.134004 0.501163
0.60 0.70 1.126736 0.515493
0.60 0.75 1.147468 0.542249
0.60 0.80 1.111513 0.482669
0.60 0.85 1.119610 0.487431
0.60 0.90 1.127930 0.498495
0.60 0.95 1.128212 0.487271
0.60 1.00 1.139283 0.494295
0.65 0.05 1.047370 0.500914
0.65 0.10 1.180833 0.488485
0.65 0.15 1.173737 0.515642
0.65 0.20 1.129468 0.505484
0.65 0.25 1.140169 0.513804
0.65 0.30 1.109029 0.456738
0.65 0.35 1.115505 0.518489
0.65 0.40 1.164173 0.497701
0.65 0.45 1.141733 0.498721
0.65 0.50 1.145142 0.497184
0.65 0.55 1.123127 0.509885
0.65 0.60 1.170765 0.514188
0.65 0.65 1.128706 0.494532
0.65 0.70 1.138315 0.509261
0.65 0.75 1.108719 0.470566
0.65 0.80 1.117961 0.487944
0.65 0.85 1.144768 0.517665
0.65 0.90 1.144810 0.484180
0.65 0.95 1.118874 0.513637
0.65 1.00 1.122492 0.482122
0.70 0.05 1.134990 0.453997
0.70 0.10 1.134607 0.563359
0.70 0.15 1.096088 0.466150
0.70 0.20 1.137807 0.501623
0.70 0.25 1.141129 0.487529
0.70 0.30 1.095880 0.463800
0.70 0.35 1.120038 0.513363
0.70 0.40 1.130195 0.518871
0.70 0.45 1.099896 0.487224
0.70 0.50 1.133130 0.521736
0.70 0.55 1.153239 0.519111
0.70 0.60 1.131681 0.500422
0.70 0.65 1.137959 0.550529
0.70 0.70 1.124355 0.496082
0.70 0.75 1.124663 0.497891
0.70 0.80 1.158448 0.518956
0.70 0.85 1.134320 0.476895
0.70 0.90 1.155078 0.540930
0.70 0.95 1.130207 0.518436
0.70 1.00 1.124188 0.497526
0.75 0.05 1.209531 0.576834
0.75 0.10 1.103024 0.462203
0.75 0.15 1.151311 0.483004
0.75 0.20 1.133989 0.510885
0.75 0.25 1.153746 0.517475
