lengthscale l2regularizer rmse_mean rmse_std

0.05 0.05 1.239133 0.652451
0.05 0.10 1.199641 0.600631
0.05 0.15 1.129998 0.449925
0.05 0.20 1.160937 0.439325
0.05 0.25 1.114505 0.554724
0.05 0.30 1.097248 0.465772
0.05 0.35 1.126581 0.478878
0.05 0.40 1.148004 0.503649
0.05 0.45 1.117468 0.539665
0.05 0.50 1.183384 0.500597
0.05 0.55 1.125913 0.484185
0.05 0.60 1.135040 0.517690
0.05 0.65 1.160251 0.611126
0.05 0.70 1.150548 0.571670
0.05 0.75 1.143420 0.513758
0.05 0.80 1.133576 0.546513
0.05 0.85 1.129006 0.538843
0.05 0.90 1.122196 0.513692
0.05 0.95 1.136607 0.475746
0.05 1.00 1.166280 0.501492
0.10 0.05 1.141119 0.443128
0.10 0.10 1.096166 0.449437
0.10 0.15 1.192135 0.541478
0.10 0.20 1.087980 0.467019
0.10 0.25 1.163540 0.551200
0.10 0.30 1.212949 0.552754
0.10 0.35 1.216282 0.552443
0.10 0.40 1.104841 0.477495
0.10 0.45 1.086808 0.445385
0.10 0.50 1.158410 0.566444
0.10 0.55 1.211029 0.597472
0.10 0.60 1.119927 0.518366
0.10 0.65 1.155583 0.502806
0.10 0.70 1.126002 0.535892
0.10 0.75 1.139648 0.500343
0.10 0.80 1.093253 0.494826
0.10 0.85 1.097013 0.470817
0.10 0.90 1.163305 0.519657
0.10 0.95 1.147713 0.541801
0.10 1.00 1.085707 0.505864
0.15 0.05 1.085831 0.577220
0.15 0.10 1.125150 0.482512
0.15 0.15 1.187523 0.560227
0.15 0.20 1.197665 0.488099
0.15 0.25 1.151517 0.555885
0.15 0.30 1.126116 0.516904
0.15 0.35 1.042242 0.494748
0.15 0.40 1.131093 0.512082
0.15 0.45 1.115529 0.462534
0.15 0.50 1.136711 0.489734
0.15 0.55 1.198015 0.575522
0.15 0.60 1.152708 0.451186
0.15 0.65 1.137345 0.485954
0.15 0.70 1.111026 0.518450
0.15 0.75 1.158728 0.470558
0.15 0.80 1.103413 0.486512
0.15 0.85 1.104093 0.470139
0.15 0.90 1.139823 0.519272
0.15 0.95 1.161518 0.529524
0.15 1.00 1.159556 0.509769
0.20 0.05 1.050301 0.415477
0.20 0.10 1.212433 0.570499
0.20 0.15 1.209512 0.610282
0.20 0.20 1.151426 0.541536
0.20 0.25 1.156482 0.439097
0.20 0.30 1.183618 0.579514
0.20 0.35 1.130498 0.489549
0.20 0.40 1.231089 0.656196
0.20 0.45 1.139921 0.535147
0.20 0.50 1.179632 0.578854
0.20 0.55 1.080759 0.507842
0.20 0.60 1.134960 0.482903
0.20 0.65 1.147561 0.546447
0.20 0.70 1.144420 0.474845
0.20 0.75 1.119530 0.515877
0.20 0.80 1.041231 0.420209
0.20 0.85 1.073185 0.557786
0.20 0.90 1.134341 0.445200
0.20 0.95 1.102982 0.605636
0.20 1.00 1.137605 0.522960
