lengthscale l2regularizer rmse_mean rmse_std

0.05 0.25 1.094901 0.47552136
0.05 0.3 1.12618 0.49592495
0.05 0.4 1.1489506 0.5151788
0.15 0.65 1.169065 0.50487787
0.05 0.35 1.1348251 0.49691233
0.05 0.1 1.1537783 0.5683184
0.15 0.2 1.1404803 0.49771237
0.05 0.2 1.1320261 0.48816034
0.1 0.4 1.1191473 0.51458555
0.1 0.05 1.0888538 0.49091178
0.1 0.15 1.1515825 0.49843717
0.05 1.0 1.1333166 0.48707345
0.1 0.1 1.1009136 0.45269206
0.05 0.55 1.1251873 0.5173439
0.1 0.55 1.1140045 0.47885942
0.1 0.2 1.1813414 0.5480758
0.15 0.4 1.1429684 0.50095844
0.1 0.3 1.167045 0.50476223
0.1 0.45 1.1087606 0.513325
0.15 0.05 1.1467032 0.51144
0.1 0.75 1.1591069 0.5280448
0.1 0.5 1.1129797 0.4881401
0.05 0.15 1.1674771 0.5439002
0.15 0.8 1.1217881 0.49116978
0.15 0.15 1.1218626 0.51707715
0.1 0.85 1.1435305 0.48796958
0.1 0.8 1.139418 0.50403345
0.15 0.7 1.1353449 0.5253681
0.15 0.45 1.1117601 0.49983484
0.15 0.55 1.1351906 0.51250356
0.1 0.65 1.1226661 0.49336982
0.1 0.7 1.1351339 0.5150139
0.05 0.95 1.1040143 0.5178968
0.1 0.9 1.1471167 0.51160955
0.15 0.35 1.1387252 0.5364847
0.05 0.9 1.1464307 0.4796536
0.1 0.6 1.1066058 0.4975384
0.1 0.95 1.1052272 0.4945654
0.15 0.25 1.1293558 0.53919727
0.05 0.8 1.110736 0.48039326
0.05 0.75 1.1167088 0.51676935
0.05 0.65 1.1234748 0.4872397
0.15 0.75 1.1424539 0.51713264
0.05 0.7 1.1177366 0.49088445
0.05 0.85 1.1544349 0.4826755
0.1 1.0 1.1350348 0.51061213
0.15 0.3 1.1355302 0.52390575
0.05 0.5 1.1595136 0.54180235
0.15 0.5 1.1478631 0.5413565
0.05 0.45 1.1165938 0.5128931
0.15 0.85 1.1220535 0.50863034
0.15 0.6 1.110588 0.49545118
0.15 0.1 1.1234572 0.47055537
0.2 0.2 1.1518143 0.50342345
0.05 0.6 1.1187563 0.517563
0.2 0.7 1.1426957 0.4976013
0.2 0.75 1.1371895 0.5045091
0.2 0.85 1.1348202 0.5053789
0.2 0.9 1.1244936 0.49459913
0.2 0.35 1.1393182 0.52331233
0.2 0.8 1.1368684 0.4978861
0.2 0.55 1.1051972 0.49292928
0.2 0.1 1.1562052 0.50550526
0.05 0.05 1.1154343 0.46379238
0.2 0.05 1.157245 0.50586957
0.15 0.9 1.1111629 0.4676572
0.15 0.95 1.1237304 0.5063951
0.15 1.0 1.1144364 0.4838849
0.2 0.5 1.1275985 0.47395197
0.2 0.15 1.1150389 0.5219576
0.1 0.25 1.1016083 0.5058895
0.1 0.35 1.158014 0.5244791
0.2 0.65 1.1207149 0.52004135
0.2 0.6 1.097917 0.5083303
0.2 0.95 1.1381681 0.5347015
0.2 0.25 1.1133243 0.46425876
0.2 1.0 1.1113243 0.46905872
0.2 0.3 1.1597354 0.5536011
0.2 0.45 1.1144965 0.45485327
0.2 0.4 1.1384404 0.49475574
0.25 0.35 1.1506783 0.5283527
0.25 0.2 1.1525648 0.5236933
0.25 0.4 1.1065332 0.4936436
0.25 0.25 1.1360683 0.5231325
0.25 0.5 1.1166366 0.4785094
0.25 0.3 1.1168311 0.5021703
0.25 0.15 1.1414926 0.5305114
0.25 0.1 1.142078 0.48477444
0.25 0.65 1.1428564 0.49078032
0.25 0.7 1.1509273 0.5095682
0.25 0.6 1.1258378 0.5159086
0.25 0.8 1.0925148 0.48187655
0.25 0.75 1.1227907 0.51014066
0.25 0.45 1.1249423 0.45937926
0.3 0.55 1.1114409 0.50494194
0.25 0.9 1.1381238 0.50667447
0.25 0.85 1.1226008 0.51563245
0.3 0.65 1.135224 0.48964837
0.3 0.45 1.1395117 0.5069481
0.25 1.0 1.1325295 0.48129037
