lengthscale l2regularizer rmse_mean rmse_std

0.05 0.45 1.1174679 0.53966486
0.05 0.15 1.1299982 0.44992536
0.05 0.55 1.1259125 0.48418513
0.05 0.25 1.1145052 0.5547239
0.05 0.3 1.0972477 0.4657716
0.05 0.4 1.1480037 0.5036493
0.05 0.2 1.1609374 0.43932545
0.05 0.35 1.1265806 0.47887763
0.15 0.05 1.0858314 0.5772198
0.1 0.2 1.0879797 0.4670193
0.1 0.4 1.1048414 0.47749478
0.1 0.1 1.0961657 0.44943708
0.1 0.5 1.1584096 0.5664441
0.1 0.3 1.2129493 0.5527542
0.1 0.35 1.2162818 0.55244285
0.1 0.8 1.0932531 0.49482593
0.1 0.45 1.0868081 0.4453849
0.1 0.15 1.1921346 0.5414785
0.1 0.85 1.0970128 0.4708168
0.05 0.5 1.183384 0.50059736
0.1 0.95 1.1477134 0.5418014
0.15 0.2 1.1976653 0.48809946
0.1 0.7 1.1260023 0.5358922
0.1 0.05 1.1411188 0.44312817
0.1 0.75 1.1396477 0.50034326
0.1 0.9 1.1633049 0.51965666
0.1 1.0 1.0857074 0.50586426
0.1 0.25 1.1635399 0.5512001
0.1 0.65 1.1555827 0.50280553
0.1 0.55 1.2110295 0.5974716
0.15 0.15 1.1875235 0.5602273
0.15 0.1 1.1251495 0.48251197
0.1 0.6 1.119927 0.5183661
0.15 0.75 1.1587279 0.4705584
0.15 0.9 1.1398226 0.51927215
0.2 0.65 1.1475611 0.5464475
0.2 0.55 1.0807592 0.5078424
0.15 0.95 1.1615183 0.52952397
0.2 0.7 1.1444199 0.47484475
0.25 0.55 1.116596 0.49824578
0.15 0.8 1.1034129 0.48651195
0.2 0.45 1.139921 0.53514725
0.2 1.0 1.1376054 0.5229604
0.25 0.5 1.0901462 0.512051
0.2 0.95 1.1029816 0.6056356
0.2 0.8 1.0412307 0.42020926
0.15 1.0 1.1595556 0.50976896
0.2 0.5 1.179632 0.5788535
0.25 0.7 1.1188878 0.42099708
0.15 0.35 1.0422425 0.49474764
0.2 0.6 1.1349598 0.48290324
0.25 0.65 1.1447451 0.53425866
0.25 0.05 1.1627408 0.48701635
0.25 0.6 1.1586932 0.5621306
0.2 0.2 1.1514256 0.5415361
0.25 0.15 1.0831482 0.5385956
0.15 0.85 1.1040934 0.47013918
0.25 1.0 1.0763583 0.42749298
0.15 0.25 1.1515175 0.5558854
0.25 0.95 1.1251882 0.5025273
0.2 0.4 1.2310889 0.656196
0.2 0.3 1.1836176 0.57951415
0.25 0.35 1.1545503 0.54806936
0.25 0.2 1.1843135 0.5590217
0.25 0.3 1.1299312 0.48468694
0.25 0.1 1.1940482 0.45200232
0.15 0.45 1.1155288 0.46253365
0.15 0.5 1.1367106 0.48973444
0.25 0.9 1.1638252 0.47279045
0.2 0.35 1.1304976 0.4895491
0.25 0.85 1.1525867 0.52182937
0.25 0.4 1.1282805 0.5802887
0.25 0.45 1.1931171 0.5745217
0.2 0.25 1.156482 0.43909737
0.25 0.8 1.1014626 0.50280213
0.15 0.7 1.1110256 0.5184504
0.15 0.55 1.1980153 0.57552207
0.25 0.75 1.1466115 0.5217769
0.2 0.9 1.134341 0.44519985
0.3 0.05 1.1255662 0.44546047
0.3 0.1 1.032897 0.41568825
0.2 0.05 1.050301 0.41547695
0.3 0.15 1.274238 0.6028019
0.3 0.95 1.1743786 0.5241196
0.2 0.1 1.2124326 0.57049906
0.2 0.85 1.0731847 0.5577862
0.15 0.4 1.1310935 0.51208204
0.15 0.3 1.1261165 0.5169045
0.2 0.15 1.209512 0.6102819
0.25 0.25 1.1715834 0.4604682
0.3 0.2 1.0552152 0.43128642
0.35 0.9 1.1117601 0.5368934
0.35 0.95 1.1059299 0.5228972
0.4 0.05 1.1058713 0.54866195
0.35 0.8 1.1141171 0.4532918
0.05 0.05 1.2391328 0.652451
