lengthscale l2regularizer rmse_bma_mean rmse_bma rmse_bae rmse_bne_vo rmse_bne_vs
18.0 4.0 0.9179398 0.9179398 0.8937788 0.893266 0.89530563
11.0 12.0 0.9179398 0.9179398 0.8932456 0.89298534 0.9026251
18.0 7.0 0.9179398 0.9179398 0.89330816 0.8932827 0.8963792
4.0 9.0 0.90442526 0.90442526 0.8851781 0.8832774 0.8878555
4.0 8.0 0.90442526 0.90442526 0.88546103 0.88354206 0.887115
4.0 11.0 0.9014802 0.9014802 0.88234776 0.88133276 0.88835967
1.0 3.0 0.9014802 0.9014802 0.9106644 0.89484584 0.91491586
1.0 9.0 0.9014802 0.9014802 0.89906263 0.89493644 0.9080734
1.0 13.0 0.9014802 0.9014802 0.89450777 0.8914329 0.91703236
1.0 11.0 0.9014802 0.9014802 0.8965975 0.89322644 0.9111797
1.0 19.0 0.9014802 0.9014802 0.88982785 0.8867303 0.9558588
1.0 6.0 0.9014802 0.9014802 0.90393555 0.89742744 0.90845555
1.0 14.0 0.9014802 0.9014802 0.8929345 0.89004195 0.9211084
1.0 5.0 0.9014802 0.9014802 0.90655345 0.8964182 0.9091811
1.0 12.0 0.9014802 0.9014802 0.895311 0.89188814 0.9138752
1.0 15.0 0.9014802 0.9014802 0.8924079 0.88923585 0.9266311
1.0 18.0 0.9014802 0.9014802 0.88987094 0.88739574 0.946627
1.0 1.0 0.9014802 0.9014802 0.91988456 0.8930586 0.94514596
1.0 17.0 0.9014802 0.9014802 0.8912508 0.88829404 0.9385395
1.0 20.0 0.9014802 0.9014802 0.8893589 0.8867952 0.96707755
1.0 16.0 0.9014802 0.9014802 0.8914089 0.8883867 0.93205917
14.0 7.0 0.9179398 0.9179398 0.89354485 0.89331186 0.8967037
1.0 7.0 0.9014802 0.9014802 0.9020998 0.89664376 0.90725386
18.0 2.0 0.9179398 0.9179398 0.8957429 0.894355 0.89502317
18.0 3.0 0.9179398 0.9179398 0.8941065 0.8934954 0.89516723
2.0 11.0 0.9014802 0.9014802 0.8871001 0.8852587 0.89405566
