lengthscale l2regularizer rmse_mean
 1.0  1.0 2.002097
 1.0  2.0 2.053638
 1.0  3.0 1.979245
 1.0  4.0 2.039574
 1.0  5.0 2.031954
 1.0  6.0 2.028268
 1.0  7.0 2.024116
 1.0  8.0 2.020938
 1.0  9.0 2.018678
 1.0 10.0 2.018366
 1.0 11.0 2.015936
 1.0 12.0 2.017353
 1.0 13.0 2.016818
 1.0 14.0 2.017538
 1.0 15.0 2.018449
 1.0 16.0 2.019896
 1.0 17.0 2.021554
 1.0 18.0 2.023943
 1.0 19.0 2.027121
 1.0 20.0 2.030973
 2.0  1.0 2.050008
 2.0  2.0 2.024425
 2.0  3.0 2.014689
 2.0  4.0 2.010004
 2.0  5.0 2.006530
 2.0  6.0 2.005431
 2.0  7.0 2.003450
 2.0  8.0 2.002323
 2.0  9.0 2.001742
 2.0 10.0 2.001422
 2.0 11.0 2.000753
 2.0 12.0 2.001374
 2.0 13.0 2.001807
 2.0 14.0 2.002225
 2.0 15.0 2.003167
 2.0 16.0 2.004291
 2.0 17.0 2.005770
 2.0 18.0 2.007794
 2.0 19.0 2.009910
 2.0 20.0 2.012155
 3.0  1.0 2.028781
 3.0  2.0 2.011760
 3.0  3.0 2.005298
 3.0  4.0 2.002764
 3.0  5.0 2.000826
 3.0  6.0 1.999238
 3.0  7.0 1.997892
 3.0  8.0 1.997102
 3.0  9.0 1.996614
 3.0 10.0 1.996519
 3.0 11.0 1.996678
 3.0 12.0 1.996558
 3.0 13.0 1.997213
 3.0 14.0 1.998333
 3.0 15.0 1.999418
 3.0 16.0 2.000835
 3.0 17.0 2.002634
 3.0 18.0 2.004227
 3.0 19.0 2.006314
 3.0 20.0 2.008888
 4.0  1.0 2.019417
 4.0  2.0 2.006185
 4.0  3.0 2.002212
 4.0  4.0 1.999131
 4.0  5.0 1.997392
 4.0  6.0 1.995726
 4.0  7.0 1.993897
 4.0  8.0 1.994014
 4.0  9.0 1.993859
 4.0 10.0 1.993596
 4.0 11.0 1.994124
 4.0 12.0 1.994750
 4.0 13.0 1.995817
 4.0 14.0 1.996501
 4.0 15.0 1.997910
 4.0 16.0 1.999432
 4.0 17.0 2.001058
 4.0 18.0 2.002942
 4.0 19.0 2.005310
 4.0 20.0 2.007926
 5.0  1.0 2.013171
 5.0  2.0 2.003776
 5.0  3.0 2.000137
 5.0  4.0 1.997302
 5.0  5.0 1.994301
 5.0  6.0 1.993280
 5.0  7.0 1.992515
 5.0  8.0 1.992287
 5.0  9.0 1.992170
 5.0 10.0 1.992385
 5.0 11.0 1.993150
 5.0 12.0 1.993470
 5.0 13.0 1.994280
 5.0 14.0 1.996312
 5.0 15.0 1.997208
 5.0 16.0 1.998870
 5.0 17.0 2.000590
 5.0 18.0 2.002350
 5.0 19.0 2.004672
 5.0 20.0 2.007380
 6.0  1.0 2.008913
 6.0  2.0 2.002044
 6.0  3.0 1.997773
 6.0  4.0 1.994496
 6.0  5.0 1.992780
 6.0  6.0 1.991543
 6.0  7.0 1.991329
 6.0  8.0 1.991052
 6.0  9.0 1.991020
 6.0 10.0 1.991812
 6.0 11.0 1.992544
 6.0 12.0 1.992944
 6.0 13.0 1.993648
 6.0 14.0 1.995144
 6.0 15.0 1.996592
 6.0 16.0 1.998490
 6.0 17.0 2.000202
 6.0 18.0 2.002016
 6.0 19.0 2.004313
 6.0 20.0 2.007093
 7.0  1.0 2.006548
 7.0  2.0 2.000051
 7.0  3.0 1.996229
 7.0  4.0 1.993111
 7.0  5.0 1.991490
 7.0  6.0 1.990165
 7.0  7.0 1.990479
 7.0  8.0 1.990285
 7.0  9.0 1.990636
 7.0 10.0 1.990883
 7.0 11.0 1.991454
 7.0 12.0 1.992580
 7.0 13.0 1.994006
 7.0 14.0 1.995053
 7.0 15.0 1.996273
 7.0 16.0 1.998228
 7.0 17.0 1.999913
 7.0 18.0 2.001826
 7.0 19.0 2.004096
 7.0 20.0 2.006915
 8.0  1.0 2.005907
 8.0  2.0 1.999046
 8.0  3.0 1.994921
 8.0  4.0 1.991761
 8.0  5.0 1.990470
 8.0  6.0 1.990495
 8.0  7.0 1.989752
 8.0  8.0 1.989975
 8.0  9.0 1.989822
 8.0 10.0 1.990771
 8.0 11.0 1.991202
 8.0 12.0 1.992485
 8.0 13.0 1.993765
 8.0 14.0 1.995091
 8.0 15.0 1.996110
 8.0 16.0 1.998157
 8.0 17.0 1.999774
 8.0 18.0 2.001716
 8.0 19.0 2.003949
 8.0 20.0 2.006817
 9.0  1.0 2.003797
 9.0  2.0 1.997556
 9.0  3.0 1.992941
 9.0  4.0 1.991115
 9.0  5.0 1.990019
 9.0  6.0 1.989407
 9.0  7.0 1.989407
 9.0  8.0 1.989292
 9.0  9.0 1.989931
 9.0 10.0 1.990728
 9.0 11.0 1.991155
 9.0 12.0 1.991756
 9.0 13.0 1.993328
 9.0 14.0 1.994690
 9.0 15.0 1.995978
 9.0 16.0 1.998038
 9.0 17.0 1.999693
 9.0 18.0 2.001818
 9.0 19.0 1.931591
 9.0 20.0 2.006590
10.0  1.0 2.002828
10.0  2.0 1.996444
10.0  3.0 1.992013
10.0  4.0 1.990206
10.0  5.0 1.989483
10.0  6.0 1.988955
10.0  7.0 1.989362
10.0  8.0 1.989060
10.0  9.0 1.989960
10.0 10.0 1.990631
10.0 11.0 1.992101
10.0 12.0 1.992000
10.0 13.0 1.993232
10.0 14.0 1.994519
10.0 15.0 1.995937
10.0 16.0 1.997782
10.0 17.0 1.999656
10.0 18.0 2.001727
10.0 19.0 2.003827
10.0 20.0 2.006542
11.0  1.0 2.002199
11.0  2.0 1.995678
11.0  3.0 1.991695
11.0  4.0 1.989623
11.0  5.0 1.988572
11.0  6.0 1.988598
11.0  7.0 1.988895
11.0  8.0 1.989151
11.0  9.0 1.989738
11.0 10.0 1.990576
11.0 11.0 1.991352
11.0 12.0 1.991759
11.0 13.0 1.993395
11.0 14.0 1.994324
11.0 15.0 1.995842
11.0 16.0 1.997733
11.0 17.0 1.999608
11.0 18.0 2.001661
11.0 19.0 2.003792
11.0 20.0 2.006507
12.0  1.0 2.001618
12.0  2.0 1.994291
12.0  3.0 1.990731
12.0  4.0 1.988979
12.0  5.0 1.988396
12.0  6.0 1.988623
12.0  7.0 1.988495
12.0  8.0 1.989354
12.0  9.0 1.989481
12.0 10.0 1.990440
12.0 11.0 1.991654
12.0 12.0 1.992778
12.0 13.0 1.993909
12.0 14.0 1.994275
12.0 15.0 1.995813
12.0 16.0 1.997688
12.0 17.0 1.999576
12.0 18.0 2.001673
12.0 19.0 2.003766
12.0 20.0 2.006481
13.0  1.0 2.000696
13.0  2.0 1.993408
13.0  3.0 1.990310
13.0  4.0 1.988790
13.0  5.0 1.988172
13.0  6.0 1.988443
13.0  7.0 1.988360
13.0  8.0 1.988904
13.0  9.0 1.989380
13.0 10.0 1.990187
13.0 11.0 1.991556
13.0 12.0 1.992169
13.0 13.0 1.993068
13.0 14.0 1.994142
13.0 15.0 1.995781
13.0 16.0 1.997649
13.0 17.0 1.999552
13.0 18.0 2.001621
13.0 19.0 2.003747
13.0 20.0 2.006763
14.0  1.0 2.001017
14.0  2.0 1.992714
14.0  3.0 1.989464
14.0  4.0 1.988377
14.0  5.0 1.988325
14.0  6.0 1.987834
14.0  7.0 1.988246
14.0  8.0 1.988710
14.0  9.0 1.989341
14.0 10.0 1.990031
14.0 11.0 1.991630
14.0 12.0 1.992172
14.0 13.0 1.993078
14.0 14.0 1.994112
14.0 15.0 1.995688
14.0 16.0 1.997629
14.0 17.0 1.999531
14.0 18.0 2.001708
14.0 19.0 2.003733
14.0 20.0 2.006748
15.0  1.0 1.998831
15.0  2.0 1.991906
15.0  3.0 1.988857
15.0  4.0 1.988444
15.0  5.0 1.987858
15.0  6.0 1.988007
15.0  7.0 1.988187
15.0  8.0 1.988680
15.0  9.0 1.989433
15.0 10.0 1.990339
15.0 11.0 1.990708
15.0 12.0 1.992150
15.0 13.0 1.993279
15.0 14.0 1.994098
15.0 15.0 1.995668
15.0 16.0 1.997612
15.0 17.0 1.999498
15.0 18.0 2.001594
15.0 19.0 2.003722
15.0 20.0 2.006735
16.0  1.0 1.998386
16.0  2.0 1.991471
16.0  3.0 1.988911
16.0  4.0 1.987798
16.0  5.0 1.987703
16.0  6.0 1.987764
16.0  7.0 1.988959
16.0  8.0 1.988666
16.0  9.0 1.989225
16.0 10.0 1.989736
16.0 11.0 1.991277
16.0 12.0 1.992195
16.0 13.0 1.993325
16.0 14.0 1.994077
16.0 15.0 1.995650
16.0 16.0 1.997598
16.0 17.0 1.999486
16.0 18.0 2.001643
16.0 19.0 2.003712
16.0 20.0 2.006482
17.0  1.0 1.997472
17.0  2.0 1.990712
17.0  3.0 1.988808
17.0  4.0 1.987880
17.0  5.0 1.987836
17.0  6.0 1.988137
17.0  7.0 1.987959
17.0  8.0 1.989421
17.0  9.0 1.989361
17.0 10.0 1.990144
17.0 11.0 1.990557
17.0 12.0 1.992171
17.0 13.0 1.993331
17.0 14.0 1.994108
17.0 15.0 1.995626
17.0 16.0 1.997586
17.0 17.0 1.999475
17.0 18.0 2.001634
17.0 19.0 2.003706
17.0 20.0 2.006766
18.0  1.0 1.996344
18.0  2.0 1.990499
18.0  3.0 1.988350
18.0  4.0 1.987953
18.0  5.0 1.987919
18.0  6.0 1.987864
18.0  7.0 1.987912
18.0  8.0 1.989395
18.0  9.0 1.989429
18.0 10.0 1.990232
18.0 11.0 1.991432
18.0 12.0 1.992197
18.0 13.0 1.993375
18.0 14.0 1.994082
18.0 15.0 1.995626
18.0 16.0 1.997631
18.0 17.0 1.999469
18.0 18.0 2.001626
18.0 19.0 2.003701
18.0 20.0 2.006473
