lengthscale l2regularizer rmse_mean rmse_std

0.1 0.55 1.1074538 0.49005538
0.2 0.2 1.0350751 0.60481954
0.2 0.15 1.1289394 0.5009102
0.05 0.55 1.0886574 0.5123542
0.1 0.1 1.1979822 0.5328467
0.2 0.8 1.1423668 0.56365925
0.1 0.3 1.1412345 0.49588197
0.2 0.6 1.1509364 0.635812
0.05 0.85 1.1161458 0.4957055
0.05 0.75 1.0522454 0.461913
0.05 0.65 1.0956976 0.5290847
0.1 0.6 1.0849373 0.41346177
0.15 0.7 1.0773226 0.49017778
0.15 0.1 1.0822742 0.5332934
0.1 0.9 1.0492828 0.46985897
0.1 0.75 1.0953834 0.54333717
0.1 0.95 1.1513379 0.55291593
0.15 0.75 1.156279 0.52744484
0.15 0.2 1.1759931 0.54504097
0.25 0.15 1.0859864 0.5398616
0.25 0.2 1.1625957 0.5155759
0.15 0.15 1.2225032 0.659128
0.05 0.25 1.0949743 0.660787
0.1 0.35 1.1269324 0.51150155
0.1 0.8 1.1313756 0.5339152
0.05 0.95 1.1688681 0.5960146
0.15 0.65 1.0702088 0.5074738
0.25 0.1 1.1229616 0.5131501
0.2 0.05 1.1032739 0.48631984
0.1 0.65 1.0556303 0.43383768
0.05 0.05 1.0618385 0.43772018
0.05 0.15 1.1090904 0.56711954
0.15 0.25 1.1460483 0.5576477
0.1 0.5 1.0535532 0.43915462
0.1 1.0 1.0644044 0.3997619
0.1 0.85 1.1705494 0.5312305
0.2 0.85 1.0743341 0.54707456
0.1 0.4 1.1454123 0.5655605
0.15 0.45 1.1264162 0.6091735
0.1 0.7 1.085403 0.4717481
0.2 1.0 1.0957258 0.4757318
0.05 0.2 1.1419972 0.48832402
0.2 0.3 1.1129984 0.49784553
0.15 0.35 1.0769094 0.538642
0.15 0.55 1.1026051 0.47880328
0.15 0.8 1.0974615 0.5015566
0.05 0.1 1.0571129 0.49129888
0.1 0.15 1.0523301 0.49993595
0.1 0.25 1.1923386 0.6775276
0.25 0.5 1.1424811 0.6758808
0.05 0.7 1.0924406 0.5157434
0.05 0.9 1.1134834 0.5183799
0.05 0.8 1.1260173 0.5143261
0.15 0.85 1.1686213 0.6087518
0.25 0.7 1.0836815 0.5006713
0.2 0.95 1.1265385 0.55368775
0.25 0.85 1.0536108 0.58945614
0.05 0.35 1.1344129 0.57632643
0.05 0.5 1.078833 0.54680574
0.2 0.65 1.1404768 0.54048264
0.25 0.6 1.0899718 0.5094617
0.15 0.3 1.0857155 0.4982834
0.1 0.05 1.1479042 0.6086261
0.2 0.1 1.0750774 0.51053166
0.15 0.95 1.1571109 0.58428097
0.25 0.65 1.0972222 0.4778524
0.2 0.25 1.0709898 0.48209584
0.1 0.45 1.0739526 0.51239574
0.25 0.9 1.052498 0.41081044
0.15 0.4 1.1666886 0.694928
0.3 0.9 1.0652173 0.48373848
0.25 0.3 1.1204691 0.5548948
0.35 0.3 1.0899512 0.4585233
0.05 0.6 1.13261 0.5706112
0.25 0.55 1.0347118 0.5010187
0.35 0.95 1.124646 0.5078244
0.25 0.75 1.1398569 0.58384097
0.3 0.4 1.0988779 0.6363184
0.35 0.75 1.1175162 0.5452657
0.4 0.05 1.1136109 0.5233967
0.35 0.1 1.2011417 0.6435627
0.05 0.45 1.0948938 0.5227499
0.1 0.2 1.1561941 0.61966753
0.4 0.5 1.0775217 0.44777778
0.4 0.55 1.1482167 0.5131385
0.25 0.25 1.1032536 0.5739346
0.3 0.75 1.0701506 0.5372369
0.35 0.45 1.0940559 0.39315164
0.4 0.25 1.0551587 0.45997334
0.35 0.8 1.0983217 0.5578576
0.35 0.5 1.1057483 0.6100571
0.3 0.5 1.1246178 0.59305036
0.05 0.3 1.0988423 0.5957358
0.45 0.05 1.1563021 0.5453373
0.4 0.2 1.1412667 0.6123494
0.3 0.85 1.0897056 0.554398
0.35 0.05 1.2410586 0.6755709
0.35 0.6 1.0833901 0.50834817
0.35 0.25 1.0995281 0.46720195
0.55 0.2 1.0483096 0.4745063
0.35 0.35 1.0517324 0.5771472
0.35 0.4 1.1350924 0.5636863
0.35 0.85 1.0052531 0.46011737
0.35 0.7 1.0696326 0.42222247
0.3 0.45 1.057713 0.51324224
0.25 0.45 1.1296079 0.55541325
0.4 0.45 1.1376431 0.52305645
0.4 0.1 1.079879 0.5377123
0.45 0.1 1.1549925 0.64091754
0.3 0.55 1.045604 0.46872827
0.3 0.6 1.1528592 0.5656856
0.25 1.0 1.0895468 0.5154151
0.3 0.7 1.1225092 0.4169505
0.4 0.65 1.1639253 0.5365342
0.4 0.7 1.0496128 0.50886893
0.4 0.15 1.219919 0.59294
0.3 0.65 1.0798643 0.57595056
0.3 0.35 1.0181637 0.5290588
0.3 0.05 1.083029 0.4997112
0.3 0.1 1.0313375 0.4463319
0.4 0.6 1.1051983 0.5420894
0.3 0.3 1.0716 0.5484945
0.4 0.85 1.1121039 0.53031594
0.4 0.8 1.0547777 0.5195872
0.3 0.2 1.1841457 0.5697371
0.45 0.95 1.143265 0.5213569
0.4 0.9 1.0877697 0.55491555
0.45 0.4 1.0692592 0.5812384
0.45 1.0 1.0533347 0.58539146
0.65 0.2 1.1395054 0.5619246
0.5 0.4 1.0691121 0.57589483
0.5 0.75 1.1394228 0.5598892
0.3 0.15 1.140868 0.60640055
0.5 0.9 1.0854881 0.4677008
0.45 0.35 1.0726637 0.5187587
0.45 0.5 1.0781424 0.547531
0.55 0.3 0.9967626 0.4302925
0.5 0.1 1.0373801 0.463106
0.45 0.3 1.0681652 0.51699686
0.45 0.25 1.0932842 0.4787888
0.4 1.0 1.1369456 0.53493303
0.6 0.2 1.2029145 0.63734716
0.5 0.35 1.1309946 0.53614515
0.6 0.15 1.0702653 0.5136195
0.5 0.05 1.058493 0.49504626
0.5 0.15 1.1092377 0.59906864
0.05 1.0 1.17603 0.5823
0.5 0.55 1.0043972 0.3647589
0.55 0.6 1.1185086 0.52683634
0.6 0.3 1.1531053 0.59123456
0.5 0.3 1.1358486 0.57659423
0.45 0.2 1.1376454 0.5234696
0.6 0.4 1.0944684 0.53382254
0.55 0.15 1.0553268 0.47064933
0.45 0.15 1.1911561 0.67422646
0.55 0.05 1.122195 0.55975246
0.6 0.7 1.0988668 0.61827457
0.5 0.45 1.0112574 0.441131
0.55 0.75 1.0806925 0.50059134
0.6 0.8 1.1361625 0.5138087
0.5 0.7 1.1177622 0.6006608
0.45 0.7 1.0524489 0.5341159
0.4 0.95 1.1120156 0.6056565
0.45 0.45 1.1478306 0.56717366
0.6 0.45 1.1165503 0.6190685
0.45 0.65 1.1665373 0.6059915
0.4 0.75 1.1854389 0.46755904
0.45 0.6 1.1338155 0.58701
0.55 0.55 1.1459897 0.7137697
0.6 0.9 1.1713631 0.4862265
0.6 0.35 1.1608092 0.5483075
0.5 0.25 1.0742017 0.48975903
0.6 0.55 1.1198609 0.4627793
0.55 0.85 1.1003425 0.47333136
0.5 0.2 1.1649843 0.6929909
0.65 0.05 1.0732203 0.5493344
0.5 1.0 1.1331931 0.53277296
0.7 0.05 1.0723405 0.5799136
0.5 0.95 1.1389701 0.56420994
0.55 0.1 1.1730238 0.49599278
0.8 0.95 1.0883703 0.56917703
0.65 0.15 1.1870975 0.57009995
0.65 0.3 1.0783546 0.43831798
0.65 0.35 1.0994735 0.4306309
0.55 0.65 1.131685 0.5633811
0.65 0.6 0.9910162 0.4512686
0.65 0.95 1.0840639 0.47295147
0.7 0.55 1.1278973 0.53790516
0.6 0.5 1.0437119 0.52573353
0.7 0.4 1.0494409 0.43532616
0.55 0.95 1.1529169 0.51744574
0.45 0.55 1.1639962 0.5157512
0.65 0.1 1.0072278 0.46245122
0.55 1.0 1.1625434 0.58175343
0.65 0.75 1.0858395 0.5348855
0.6 0.25 1.1427171 0.6189561
0.5 0.5 1.0985353 0.5193089
0.6 1.0 1.1023562 0.5890531
0.7 0.85 1.1443512 0.51370764
0.8 0.35 1.1657531 0.55243456
0.55 0.8 1.0674143 0.4986127
0.55 0.45 1.1007687 0.4477023
0.55 0.9 1.0508069 0.5198644
0.5 0.65 1.1440327 0.48082852
0.6 0.6 1.1154597 0.5249469
0.55 0.35 1.1178159 0.48774117
0.6 0.95 1.1103699 0.64653605
0.7 0.5 1.1212758 0.50439566
0.65 0.55 1.1961658 0.49382845
0.75 0.2 1.1212969 0.5191285
0.75 0.85 1.1783588 0.59232277
0.7 0.2 1.1139294 0.6075117
0.8 0.9 1.1791811 0.5498788
0.55 0.25 1.102059 0.39791584
0.8 0.1 0.936726 0.48691553
0.85 0.55 1.0576284 0.5298032
0.65 1.0 1.082118 0.55036765
0.85 0.6 1.053742 0.4978268
0.55 0.7 1.0454352 0.5107523
0.6 0.05 1.1187217 0.4492933
0.8 0.6 1.1346371 0.5962545
0.7 0.65 0.99805415 0.45570806
0.75 0.8 1.0974171 0.50385445
0.7 0.6 0.9857534 0.4668113
0.5 0.6 1.0657624 0.45650363
0.75 0.3 1.0536509 0.48681098
0.75 0.45 1.1527197 0.6729403
