lengthscale l2regularizer rmse_mean rmse_std

0.05 0.05 1.052747 0.397593
0.05 0.10 1.137892 0.502696
0.05 0.15 1.177835 0.491296
0.05 0.20 1.107194 0.532928
0.05 0.25 1.148052 0.688558
0.05 0.30 1.215989 0.575807
0.05 0.35 1.087125 0.412268
0.05 0.40 1.024728 0.605166
0.05 0.45 1.092546 0.569967
0.05 0.50 1.077974 0.445837
0.05 0.55 1.178238 0.526438
0.05 0.60 1.057692 0.505092
0.05 0.65 1.094461 0.570182
0.05 0.70 1.093831 0.458046
0.05 0.75 1.119715 0.464934
0.05 0.80 1.122784 0.473683
0.05 0.85 1.155983 0.493745
0.05 0.90 1.160332 0.488291
0.05 0.95 1.273175 0.634766
0.05 1.00 1.159823 0.471300
0.10 0.05 1.187975 0.551991
0.10 0.10 1.182654 0.614246
0.10 0.15 1.183404 0.614576
0.10 0.20 0.973713 0.408922
0.10 0.25 1.207662 0.606724
0.10 0.30 1.064068 0.542280
0.10 0.35 1.074879 0.420695
0.10 0.40 1.161493 0.505613
0.10 0.45 1.044979 0.493941
0.10 0.50 1.199598 0.544005
0.10 0.55 1.092318 0.433908
0.10 0.60 1.205800 0.572068
0.10 0.65 1.097208 0.601758
0.10 0.70 1.139973 0.484588
0.10 0.75 1.182986 0.736916
0.10 0.80 1.133176 0.505462
0.10 0.85 1.182414 0.667346
0.10 0.90 1.065330 0.399191
0.10 0.95 1.193857 0.563076
0.10 1.00 1.159583 0.584503
0.15 0.05 1.143775 0.663078
0.15 0.10 1.081076 0.525372
0.15 0.15 1.154991 0.553794
0.15 0.20 1.283402 0.662647
0.15 0.25 0.989022 0.527909
0.15 0.30 1.216098 0.612808
0.15 0.35 1.114540 0.691498
0.15 0.40 1.029070 0.450245
0.15 0.45 1.080578 0.407124
0.15 0.50 1.104713 0.558052
0.15 0.55 1.057211 0.483131
0.15 0.60 1.157936 0.550669
0.15 0.65 1.077163 0.509259
0.15 0.70 1.077949 0.466986
0.15 0.75 1.164047 0.649231
0.15 0.80 1.075214 0.502629
0.15 0.85 1.075527 0.451522
0.15 0.90 1.095484 0.436812
0.15 0.95 1.155167 0.657954
0.15 1.00 1.065053 0.456661
0.20 0.05 1.176694 0.545185
0.20 0.10 1.048740 0.585882
0.20 0.15 1.162608 0.489404
0.20 0.20 1.202804 0.554872
0.20 0.25 1.188951 0.580333
0.20 0.30 1.144284 0.631837
0.20 0.35 1.165115 0.619878
0.20 0.40 1.139778 0.556550
0.20 0.45 1.068424 0.424977
0.20 0.50 1.100180 0.486661
