"mon_id","aqs","pred_av","pred_gs","pred_caces","lon","lat","hc","Mon","fold"
"New York-Suffolk-0002-88101-1",8.83565217391304,9.19999980926514,10.3777174861096,9.45647592535787,-73.41919,40.74529,1,1,9
"New York-Suffolk-0009-88502-3",8.39644173958333,8.60000038146973,11.20044037076,10.3677524708495,-73.05754,40.82799,2,1,10
"Connecticut-Fairfield-3005-88101-1",9.97563025210084,10,11.6314067539629,10.2878360753221,-73.407222,41.1125,3,6,2
"Connecticut-Fairfield-9003-88101-1",9.485,8.80000019073486,10.5242843268248,9.58938701476793,-73.336667,41.118333,3,6,2
"Connecticut-Fairfield-0010-88101-1",9.96974789915966,9.5,11.542563428422,10.0032052892562,-73.194722,41.170833,3,6,2
"Connecticut-New Haven-0027-88101-1",10.035838150289,10.1000003814697,10.520914846697,9.62525597580645,-72.902871,41.3014,3,6,2
"Connecticut-New Haven-1123-88101-1",10.0411764705882,10.1000003814697,10.520914846697,9.647230609319,-72.916944,41.310833,3,6,2
"Massachusetts-Dukes-0001-88502-1",6.34695652173913,5.40000009536743,9.25756796778634,8.49985498392283,-70.785225,41.330469,4,1,9
"Connecticut-Fairfield-1123-88101-1",9.5280701754386,9.80000019073486,11.0169941784124,9.3161782638106,-73.443056,41.399167,5,1,10
"Connecticut-New London-3002-88101-1",9.03589743589744,8,10.3846698330658,8.5503156946929,-72.076667,41.524167,6,1,6
"Connecticut-New Haven-2123-88101-1",9.83739130434782,9.69999980926514,10.649560687969,9.94215342857143,-73.043611,41.550556,3,6,2
"Rhode Island-Kent-0002-88101-2",6.33269230769231,6,6.70289508602116,6.53766403082672,-71.72,41.615237,7,1,7
"Massachusetts-Bristol-1004-88101-1",7.89310344827586,8.19999980926514,9.80110393147491,7.86814892523364,-71.169235,41.685707,8,5,3
"Connecticut-Hartford-2006-88101-1",9.36283185840708,10.1000003814697,9.64449006761477,9.28996198124267,-72.634444,41.7425,9,2,6
"Connecticut-Hartford-1003-88101-1",8.80315457413249,10.1000003814697,9.64449006761477,9.4253689015544,-72.631667,41.784722,9,2,6
"Rhode Island-Providence-0022-88101-1",8.64098837209302,9.10000038146973,9.56192363389003,8.87746936430318,-71.412968,41.807469,8,5,3
"Rhode Island-Providence-0028-88101-1",8.65454545454545,9.10000038146973,9.56192363389003,8.87746936430318,-71.40743,41.809235,8,5,3
"Connecticut-Litchfield-0005-88101-1",5.68275862068965,6.30000019073486,7.34610624243082,6.61328537349398,-73.297257,41.821342,10,1,8
"Rhode Island-Providence-1010-88101-1",8.72816091954023,8.5,9.60332800512658,9.20511930589185,-71.36097,41.841039,8,5,3
"Rhode Island-Providence-0026-88101-1",9.95585585585586,9.5,9.60332800512658,9.02759161574618,-71.379971,41.874668,8,5,3
"Massachusetts-Barnstable-0002-88502-1",5.46034482758621,4.59999990463257,8.37744738286474,6.02794716150082,-70.023598,41.975804,11,1,9
"Massachusetts-Plymouth-0004-88101-1",8.19173553719008,8.69999980926514,7.6746787649957,8.94827310696095,-71.014739,42.081936,12,12,1
"Massachusetts-Hampden-2009-88101-1",9.2525,9.89999961853027,8.44262529392162,9.19035931707317,-72.597133,42.105792,13,4,4
"Massachusetts-Hampden-0016-88101-1",9.7575,10,8.44262529392162,9.02407586800574,-72.590803,42.108992,13,4,4
"Massachusetts-Hampden-0008-88101-1",7.83697478991597,10,8.44262529392162,8.7193446683199,-72.555112,42.19438,13,4,4
