"method","p","l","int_effect","disType","dim_in","d"
"matern",1,2,0,0,3,1
"matern",2,2,0,0,3,1
"matern",1,1,0,0,3,1
"matern",2,1,0,0,3,1
"matern",1,0.666666666666667,0,0,3,1
"matern",2,0.666666666666667,0,0,3,1
"matern",1,2,0.1,0,3,1
"matern",2,2,0.1,0,3,1
"matern",1,1,0.1,0,3,1
"matern",2,1,0.1,0,3,1
"matern",1,0.666666666666667,0.1,0,3,1
"matern",2,0.666666666666667,0.1,0,3,1
"matern",1,2,0.2,0,3,1
"matern",2,2,0.2,0,3,1
"matern",1,1,0.2,0,3,1
"matern",2,1,0.2,0,3,1
"matern",1,0.666666666666667,0.2,0,3,1
"matern",2,0.666666666666667,0.2,0,3,1
"matern",1,2,0.3,0,3,1
"matern",2,2,0.3,0,3,1
"matern",1,1,0.3,0,3,1
"matern",2,1,0.3,0,3,1
"matern",1,0.666666666666667,0.3,0,3,1
"matern",2,0.666666666666667,0.3,0,3,1
"matern",1,2,0.4,0,3,1
"matern",2,2,0.4,0,3,1
"matern",1,1,0.4,0,3,1
"matern",2,1,0.4,0,3,1
"matern",1,0.666666666666667,0.4,0,3,1
"matern",2,0.666666666666667,0.4,0,3,1
"matern",1,2,0.5,0,3,1
"matern",2,2,0.5,0,3,1
"matern",1,1,0.5,0,3,1
"matern",2,1,0.5,0,3,1
"matern",1,0.666666666666667,0.5,0,3,1
"matern",2,0.666666666666667,0.5,0,3,1
"matern",1,2,0.6,0,3,1
"matern",2,2,0.6,0,3,1
"matern",1,1,0.6,0,3,1
"matern",2,1,0.6,0,3,1
"matern",1,0.666666666666667,0.6,0,3,1
"matern",2,0.666666666666667,0.6,0,3,1
"matern",1,2,0.7,0,3,1
"matern",2,2,0.7,0,3,1
"matern",1,1,0.7,0,3,1
"matern",2,1,0.7,0,3,1
"matern",1,0.666666666666667,0.7,0,3,1
"matern",2,0.666666666666667,0.7,0,3,1
"matern",1,2,0.8,0,3,1
"matern",2,2,0.8,0,3,1
"matern",1,1,0.8,0,3,1
"matern",2,1,0.8,0,3,1
"matern",1,0.666666666666667,0.8,0,3,1
"matern",2,0.666666666666667,0.8,0,3,1
"matern",1,2,0.9,0,3,1
"matern",2,2,0.9,0,3,1
"matern",1,1,0.9,0,3,1
"matern",2,1,0.9,0,3,1
"matern",1,0.666666666666667,0.9,0,3,1
"matern",2,0.666666666666667,0.9,0,3,1
"matern",1,2,1,0,3,1
"matern",2,2,1,0,3,1
"matern",1,1,1,0,3,1
"matern",2,1,1,0,3,1
"matern",1,0.666666666666667,1,0,3,1
"matern",2,0.666666666666667,1,0,3,1
"matern",1,2,0,0,3,2
